"Ictalurus_punctatus"	"Rhinichthys_osculus"	"Gila_cypha"	"Pimephales_promelas"	"Fundulus_zebrinus"	"Catostomus_discobolus"	"Oncorhynchus_mykiss"	"Cyprinella_lutrensis"	"Catostomus_latipinnis"	"Cyprinus_carpio"	"Ameiurus_natalis"	"Bothriocephalus_acheilognathi"	"Ornithodiplostomum_sp."	"Lernaea_cyprinacea"	"Contracaecum_sp."	"Rhabdochona_sp."	"Unidenti?ed_metacercaria"	"Corallobothriinae"	"Posthodiplostomum_sp."	"Eustrongylides_sp."	"Oribatida_gen._sp."	"Henneguya_exilis"	"Ligictaluridus_?oridanus"	"Dactylogyrus_extensus"	"Gyrodactylus_hoffmani"	"Corallobothrium_?mbriatum"	"Megathylacoides_giganteum"	"Truttaedacnitis_truttae"	"Ergasilus_arthrosis"	"Myzobdella_lugubris"	"Gyrodactylus_sp."
"Ameiurus_natalis"	0.88330157785737	0.764139897654741	0.491229217882803	0.291990380717651	0.310682427027696	0.238185486988378	0.249310770483426	0.37231202902739	0.174877183540017	0.186090129769833	1.30103879378754	1.3532887770484	0.427690375513105	0.395962417999168	0.845845184775505	0.209475578145923	0.211027678161205	0.135428171396639	0.128855877960689	0.148684118862895	0.146317535846706	0.0722701290974212	0.0722701290974211	0.083740558396425	0.0656978356614715	0.0722701290974212	0.0722701290974212	0.0747932311450278	0.0722701290974212	0.0722701290974212	0.0764139897654741
"Bothriocephalus_acheilognathi"	0.811959225563104	0.757899686000574	0.614603190150322	0.402767626161798	0.393821602245177	0.320121855792134	0.338103571736445	0.325714313805277	0.244867775142169	0.280930753748267	0.246052504917891	2.04299087031379	0.518093177746335	0.442565604929923	0.350660917500763	0.243420239267406	0.250846935499882	0.145453437708256	0.169643126048589	0.14222299614613	0.164399829105222	0.0664330275460722	0.0664330275460722	0.12641883918672	0.0906227158864047	0.0664330275460722	0.0664330275460722	0.101431071520934	0.0664330275460722	0.0664330275460722	0.0757899686000574
"Ornithodiplostomum_sp."	0.966194691936476	0.828371475125491	0.72299618856149	0.525729332798133	0.279605152378759	0.414227136584843	0.195077981419065	0.207256408278335	0.324208554193928	0.130611725482269	0.142563458504368	0.949837492534947	1.64329718354652	0.359405276522039	0.288219919299636	0.238704959612819	0.300061941303051	0.172008945791669	0.211245752694629	0.16188944048917	0.14574830679777	0.0790522929766208	0.0790522929766208	0.0587752764670212	0.11828909987958	0.0790522929766208	0.0790522929766208	0.0585233944257194	0.0790522929766208	0.0790522929766208	0.0828371475125491
"Lernaea_cyprinacea"	0.634772523884943	0.928310953485081	0.738443502884753	0.268695138096496	0.560021391305349	0.22053506383677	0.503303615322788	0.446134797497916	0.144354758661353	0.133885393088044	0.158384967199667	0.973644330845831	0.431286331826447	1.59861016832361	0.349880703610138	0.313778644477394	0.253934350584721	0.146878669857587	0.155399142156894	0.144767029120912	0.218835908392212	0.0519359337724044	0.0519359337724044	0.0602484268896198	0.0604564060717116	0.0519359337724044	0.0519359337724044	0.150991084596836	0.0519359337724044	0.0519359337724044	0.0928310953485081
"Contracaecum_sp."	1.15093316967549	0.940188975454407	0.477017294033684	0.246099886544093	0.296583791149702	0.209179226404262	0.215920362671168	0.501645750700034	0.14374818828009	0.132602867962474	0.422922592387752	0.9643175231271	0.432329878949454	0.437350879512672	1.52899504866702	0.222081045501311	0.218103460413907	0.155498054284274	0.116703269419609	0.188186156882527	0.160750250554124	0.0941672593370859	0.0941672593370859	0.0596712905831131	0.0553724744724209	0.0941672593370859	0.0941672593370859	0.0647761088013504	0.0941672593370859	0.0941672593370859	0.0940188975454406
"Rhabdochona_sp."	0.64580017546567	1.10291997418024	0.899219436784761	0.282461511063617	0.703233493489254	0.233416854027976	0.22898584263485	0.233783978773834	0.144637559664067	0.122732893748272	0.139650385430615	0.892540877313824	0.477409919225637	0.522964407462323	0.296108060668415	1.38413346103972	0.295930981213029	0.168452123761076	0.179167767575926	0.163130193592488	0.268519533453107	0.0528381961744639	0.0528381961744639	0.0552298021867225	0.0635538399893137	0.0528381961744639	0.0528381961744639	0.0686957527904549	0.0528381961744639	0.0528381961744639	0.110291997418024
"Unidenti?ed_metacercaria"	0.683967178011138	1.06475732323798	0.912513197949934	0.313203690475687	0.320587215282335	0.585068483926627	0.207444364144357	0.216865423949553	0.16527266304088	0.126477446470529	0.140685118774137	0.9197720968329	0.600123882606102	0.423223917641202	0.29080461388521	0.295930981213029	1.39931940295249	0.17328407637889	0.187793955807735	0.162436683251982	0.178607855762324	0.055960950928184	0.055960950928184	0.0569148509117379	0.0704708303570297	0.055960950928184	0.055960950928184	0.0622333092433073	0.055960950928184	0.055960950928184	0.106475732323798
"Corallobothriinae"	1.54781371713528	0.629570554610445	1.01669778796172	0.289667937860839	0.262234858475198	0.220835906945467	0.180204723841958	0.201523572832553	0.142858072574967	0.110006801628093	0.135428171396639	0.79999390739541	0.516026837375008	0.367196674643967	0.310996108568548	0.252678185641614	0.259926114568335	1.2573575911529	0.195893573042339	0.189596359590294	0.121959898617964	0.12663930412925	0.12663930412925	0.0495030607326419	0.0651752860186888	0.12663930412925	0.12663930412925	0.0540614171525875	0.12663930412925	0.12663930412925	0.0629570554610445
"Posthodiplostomum_sp."	0.652425694388321	0.624054620912029	1.10843669188017	0.984604632624284	0.283701779185174	0.255907275547929	0.200368521496531	0.198785491931291	0.171399995434448	0.128301523902294	0.128855877960689	0.933037193267239	0.633737258083886	0.388497855392235	0.233406538839217	0.268751651363889	0.281690933711603	0.195893573042339	1.36404933129649	0.11578574617752	0.126238362407867	0.0533802840863172	0.0533802840863172	0.0577356857560324	0.221536042340464	0.0533802840863172	0.0533802840863172	0.0601105564489592	0.0533802840863172	0.0533802840863172	0.0624054620912028
"Eustrongylides_sp."	1.5536958652335	1.18195104894727	0.485922801765824	0.23693314390692	0.28455287420241	0.209947103949277	0.17691165941119	0.213829281967306	0.136850596485885	0.107563610530686	0.148684118862895	0.782226478803712	0.48566832146751	0.361917572802281	0.376372313765053	0.244695290388732	0.243655024877973	0.189596359590294	0.11578574617752	1.24531567568656	0.182219501590269	0.127120570791831	0.127120570791831	0.0484036247388088	0.053309957379057	0.127120570791831	0.127120570791831	0.0530734978233571	0.127120570791831	0.127120570791831	0.118195104894727
"Oribatida_gen._sp."	0.624859127686234	1.31094663870487	0.550939362541409	0.246236895598604	0.892664779604409	0.219940196249392	0.236241208046363	0.244793694623201	0.139566661156346	0.12433600520563	0.146317535846706	0.904199060078722	0.43724492039331	0.547089770980529	0.321500501108247	0.40277930017966	0.267911783643485	0.121959898617964	0.126238362407867	0.182219501590269	1.33194423928148	0.0511248377197828	0.0511248377197828	0.0559512023425336	0.0554033015096859	0.0511248377197828	0.0511248377197828	0.070872362413909	0.0511248377197828	0.0511248377197828	0.131094663870487
"Henneguya_exilis"	2.40794516324601	0.572274464089891	0.437615990651981	0.224425133728037	0.200098795691451	0.181301644305789	0.145934335872094	0.191282598590006	0.130936788470424	0.10048693242263	0.144540258194842	0.730763303006794	0.474313757859725	0.259679668862022	0.376669037348344	0.158514588523392	0.167882852784552	0.2532786082585	0.106760568172634	0.254241141583663	0.102249675439566	1.19701369517467	0.197013695174674	0.0452191195901836	0.0504956550888082	0.197013695174674	0.197013695174674	0.0437803007616283	0.197013695174674	0.197013695174674	0.0572274464089891
"Ligictaluridus_?oridanus"	2.40794516324601	0.572274464089891	0.437615990651981	0.224425133728037	0.200098795691451	0.181301644305789	0.145934335872094	0.191282598590006	0.130936788470424	0.10048693242263	0.144540258194842	0.730763303006794	0.474313757859725	0.259679668862022	0.376669037348344	0.158514588523392	0.167882852784552	0.2532786082585	0.106760568172634	0.254241141583663	0.102249675439566	0.197013695174674	1.19701369517467	0.0452191195901836	0.0504956550888082	0.197013695174674	0.197013695174674	0.0437803007616283	0.197013695174674	0.197013695174674	0.0572274464089891
"Dactylogyrus_extensus"	0.552678128324466	0.51588129887434	0.418343347917446	0.274152753942064	0.268063443545036	0.217898069908931	0.230137725299597	0.221704700993508	0.166674704088367	1.70382681557655	0.16748111679285	1.39060723105392	0.352651658802127	0.301242134448099	0.238685162332452	0.165689406560167	0.170744552735214	0.0990061214652838	0.115471371512065	0.0968072494776176	0.111902404685067	0.0452191195901836	0.0452191195901836	1.76672206700945	0.0616843696369645	0.0452191195901836	0.0452191195901836	0.0690413175898792	0.0452191195901836	0.0452191195901836	0.051588129887434
"Gyrodactylus_hoffmani"	0.6171691177521	0.561242596693058	0.621093798488873	1.61429852325493	0.243032637111404	0.251444381510713	0.186261931181239	0.185806436787483	0.188020634189386	0.137076376971032	0.131395671322943	0.996849874750451	0.70973459927748	0.302282030358558	0.221489897889683	0.190661519967941	0.211412491071089	0.130350572037378	0.443072084680928	0.106619914758114	0.110806603019372	0.0504956550888082	0.0504956550888082	0.0616843696369645	1.36321716773236	0.0504956550888082	0.0504956550888082	0.0558785793543718	0.0504956550888082	0.0504956550888082	0.0561242596693058
"Corallobothrium_?mbriatum"	2.40794516324601	0.572274464089891	0.437615990651981	0.224425133728037	0.200098795691451	0.181301644305789	0.145934335872094	0.191282598590006	0.130936788470424	0.10048693242263	0.144540258194842	0.730763303006794	0.474313757859725	0.259679668862022	0.376669037348344	0.158514588523392	0.167882852784552	0.2532786082585	0.106760568172634	0.254241141583663	0.102249675439566	0.197013695174674	0.197013695174674	0.0452191195901836	0.0504956550888082	1.19701369517467	0.197013695174674	0.0437803007616283	0.197013695174674	0.197013695174674	0.0572274464089891
"Megathylacoides_giganteum"	2.40794516324601	0.572274464089891	0.437615990651981	0.224425133728037	0.200098795691451	0.181301644305789	0.145934335872094	0.191282598590006	0.130936788470424	0.10048693242263	0.144540258194842	0.730763303006794	0.474313757859725	0.259679668862022	0.376669037348344	0.158514588523392	0.167882852784552	0.2532786082585	0.106760568172634	0.254241141583663	0.102249675439566	0.197013695174674	0.197013695174674	0.0452191195901836	0.0504956550888082	0.197013695174674	1.19701369517467	0.0437803007616283	0.197013695174674	0.197013695174674	0.0572274464089891
"Truttaedacnitis_truttae"	0.535092564864346	0.623666948850859	0.500441927560919	0.248349241574986	0.352791244189921	0.199968997670964	1.54408211028218	0.285478438427209	0.143959019351988	0.153425150199732	0.149586462290056	1.11574178673027	0.351140366554317	0.754955422984182	0.259104435205402	0.206087258371365	0.186699927729922	0.108122834305175	0.120221112897918	0.106146995646714	0.141744724827818	0.0437803007616283	0.0437803007616283	0.0690413175898792	0.0558785793543718	0.0437803007616283	0.0437803007616283	1.46322463308465	0.0437803007616283	0.0437803007616283	0.0623666948850859
"Ergasilus_arthrosis"	2.40794516324601	0.572274464089891	0.437615990651981	0.224425133728037	0.200098795691451	0.181301644305789	0.145934335872094	0.191282598590006	0.130936788470424	0.10048693242263	0.144540258194842	0.730763303006794	0.474313757859725	0.259679668862022	0.376669037348344	0.158514588523392	0.167882852784552	0.2532786082585	0.106760568172634	0.254241141583663	0.102249675439566	0.197013695174674	0.197013695174674	0.0452191195901836	0.0504956550888082	0.197013695174674	0.197013695174674	0.0437803007616283	1.19701369517467	0.197013695174674	0.0572274464089891
"Myzobdella_lugubris"	2.40794516324601	0.572274464089891	0.437615990651981	0.224425133728037	0.200098795691451	0.181301644305789	0.145934335872094	0.191282598590006	0.130936788470424	0.10048693242263	0.144540258194842	0.730763303006794	0.474313757859725	0.259679668862022	0.376669037348344	0.158514588523392	0.167882852784552	0.2532786082585	0.106760568172634	0.254241141583663	0.102249675439566	0.197013695174674	0.197013695174674	0.0452191195901836	0.0504956550888082	0.197013695174674	0.197013695174674	0.0437803007616283	0.197013695174674	1.19701369517467	0.0572274464089891
"Gyrodactylus_sp."	0.699446567220978	1.79162763380465	0.534229612879666	0.249441154085804	0.369006952713368	0.238592563592764	0.207888982950286	0.236375965344605	0.142764404501346	0.114640288638742	0.152827979530948	0.833689654600631	0.497022885075295	0.46415547674254	0.376075590181763	0.330875992254073	0.319427196971394	0.125914110922089	0.124810924182406	0.236390209789454	0.262189327740973	0.0572274464089891	0.0572274464089891	0.051588129887434	0.0561242596693058	0.0572274464089891	0.0572274464089891	0.0623666948850859	0.0572274464089891	0.0572274464089891	1.17916276338047
