"Entacmaea_quadricolor"	"Heteractis_aurora"	"Heteractis_crispa"	"Heteractis_magnifica"	"Stichodactyla_mertensii"	"Amphiprion_melanopus"	"Amphiprion_clarkii"	"Amphiprion_perideraion"	"Amphiprion_ocellaris"	"Amphiprion_sandaracinos"
"Entacmaea_quadricolor"	5.26315789473684	0	0	0	0	4.73684210526316	0	0	0	0
"Heteractis_aurora"	0	1.8757385096235	1.26364547595137	0.65194448122332	1.47182942793865	0	2.91912836541166	0.862015480728612	0.293375016550494	0.662323242572394
"Heteractis_crispa"	0	0.631822737975687	2.35463599891717	1.214812203263	1.06188695458099	0	2.10607579325229	1.60625169098108	0.54666549146835	0.477849129561444
"Heteractis_magnifica"	0	0.32597224061166	1.214812203263	3.1745209456325	0.547852505229681	0	1.0865741353722	1.97519991700298	1.42853442553463	0.246533627353356
"Stichodactyla_mertensii"	0	0.735914713969326	1.06188695458099	0.547852505229681	2.91750372095685	0	2.45304904656442	0.7243827569148	0.246533627353356	1.31287667443058
"Amphiprion_melanopus"	4.73684210526316	0	0	0	0	5.26315789473684	0	0	0	0
"Amphiprion_clarkii"	0	0.973042788470553	1.40405052883486	0.7243827569148	1.63536603104295	0	3.24347596156851	0.957794978587347	0.32597224061166	0.735914713969326
"Amphiprion_perideraion"	0	0.431007740364306	1.60625169098108	1.97519991700298	0.7243827569148	0	1.43669246788102	2.61165322359282	0.888839962651339	0.32597224061166
"Amphiprion_ocellaris"	0	0.293375016550494	1.0933309829367	2.85706885106925	0.493067254706713	0	0.97791672183498	1.77767992530268	2.28568098298116	0.221880264618021
"Amphiprion_sandaracinos"	0	0.662323242572394	0.955698259122888	0.493067254706713	2.62575334886117	0	2.20774414190798	0.65194448122332	0.221880264618021	2.18158900698752
