"Lagurus_lagurus"	"Allactaga_major"	"Allocricetulus_eversmanni"	"Alticola_strelzowi"	"Spermophilus_erythrogenys"	"Clethrionomys_rutilus"	"Cricetulus_barabensis"	"Microtus_oeconomus"	"Apodemus_uralensis"	"Microtus_arvalis"	"Apodemus_agrarius"	"Sicista_subtilis"	"Allactaga_sibirica"	"Microtus_gregalis"	"Ctenophthalmus_arvalis"	"Mesopsylla_hebes"	"Pectinoctenus_pavlovskii"	"Frontopsylla_elata"	"Citellophilus_tesquorum"	"Callopsylla_caspia"	"Neopsylla_pleskei"	"Amphipsylla_primaris"	"Pectinoctenus_nemorosa"	"Amphipsylla_rossica"	"Megabothris_walkeri"	"Leptopsylla_segnis"	"Ophthalmopsylla_volgensis"
"Frontopsylla_elata"	0.250918191369213	0	0.30237230149809	1.29094926109394	0.544536301855313	0.832147752066628	0.0514541101288767	0.250918191369213	0	0.230556143243384	0.079299565191992	0.179682917545889	0	0.724007369900616	0.841091861291202	0	0.114342466953059	2.41335789966872	0.397458529888204	0.387284778328183	0.316601216992555	0.485301312662139	0	0.167183377306972	0.104851647309412	0.0356848043363964	0
"Citellophilus_tesquorum"	0.680337549448787	0	0.81984980642436	0.243620498524473	0.906316805459072	0.22444597007487	0.139512256975574	0.680337549448787	0	0.342719749815645	0.11787813050984	0.510281253201875	0	0.0715425353798768	1.18924893651662	0	0.310027237723498	0.238475117932923	1.98543232503823	0.073086149557342	0.755805761097386	0.236223174539975	0	0.265952949927327	0.155861083674121	0.0530451587294279	0
"Callopsylla_caspia"	0.212700045989177	0	0.256317017445185	2.18524473395009	0.637831064258529	0.427956098563762	0.0436169714560084	0.212700045989177	0	0.198476642786728	0.0682658516591295	0.145177332670005	0	0.348556300495365	0.617553984976421	0	0.0969266032355742	1.16185433498455	0.36543074778671	1.65557342018503	0.300100948085208	0.770383011751563	0	0.174352584402554	0.0902626260826268	0.0307196332466083	0
"Neopsylla_pleskei"	0.722740528528076	0	0.870948079947758	0.25008412340434	0.957589871632808	0.218475398404715	0.148207551419682	0.722740528528076	0	0.340432794375044	0.117091534371034	0.317296420828302	0	0.0712352738233248	1.14520096896637	0	0.329350114265959	0.237450912744416	0.944757201371733	0.075025237021302	1.801973811999	0.247391413915207	0	0.274496015206419	0.154821028779479	0.0526911904669654	0
"Amphipsylla_primaris"	0.324159710749672	0	0.390632967890743	1.28397168625261	1.17996990891775	0.324918736642802	0.0664732571410719	0.324159710749672	0	0.30606589095777	0.105271070775284	0.212833574487828	0	0.218385590697963	0.828591135126529	0	0.147718349202382	0.727951968993209	0.590557936349938	0.385191505875782	0.494782827830415	1.59758608948098	0	0.304214350892526	0.139191749136209	0.0473719818488778	0
"Pectinoctenus_nemorosa"	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0
"Amphipsylla_rossica"	0.381057305521731	0	0.459198170704668	0.290587640670923	1.20576699272916	0.213087790999682	0.0781408651829372	0.381057305521731	0	1.03811928070171	0.357060134763644	0.257534098678842	0	0.0752325197881373	1.07220766497868	0	0.173646367073194	0.250775065960458	0.664882374818316	0.0871762922012769	0.548992030412837	0.304214350892526	0	1.52847384290176	0.472112844854152	0.16067706064364	0
"Megabothris_walkeri"	0.247470911009312	0	0.298218110482108	0.150437710137711	0.522557978304975	0.154847201694428	0.0507471994727957	0.247470911009312	0	1.26017469586419	1.57993269794055	0.177801448058547	0	0.0471832412892353	0.837386358707052	0	0.11277155438399	0.157277470964118	0.389652709185303	0.0451313130413134	0.309642057558957	0.139191749136209	0	0.472112844854152	2.0890221228325	0.710969714073247	0
"Leptopsylla_segnis"	0.16844658648533	0	0.202988797891183	0.102398777488694	0.355690724728596	0.105400196111333	0.0345422114058525	0.16844658648533	0	0.857765969453774	2.58802141624525	0.121024515065061	0	0.0321163239027568	0.569985672733371	0	0.0767604697907834	0.107054413009189	0.265225793647139	0.0307196332466083	0.210764761867862	0.0947439636977555	0	0.32135412128728	1.42193942814649	2.16460963731036	0
"Ophthalmopsylla_volgensis"	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	5.26315789473684
