"Entacmaea_quadricolor"	"Heteractis_crispa"	"Heteractis_magnifica"	"Stichodactyla_mertensii"	"Premnas_biaculeatus"	"Amphiprion_clarkii"	"Amphiprion_perideraion"	"Amphiprion_ocellaris"	"Amphiprion_sandaracinos"
"Entacmaea_quadricolor"	5.26315789473684	0	0	0	4.73684210526316	0	0	0	0
"Heteractis_crispa"	0	3.4719150818222	0	1.79124281291464	0	2.36842105263158	1.56236178681999	0	0.806059265811588
"Heteractis_magnifica"	0	0	5.26315789473684	0	0	0	0	4.73684210526316	0
"Stichodactyla_mertensii"	0	1.79124281291464	0	3.4719150818222	0	2.36842105263158	0.806059265811588	0	1.56236178681999
"Premnas_biaculeatus"	4.73684210526316	0	0	0	5.26315789473684	0	0	0	0
"Amphiprion_clarkii"	0	2.36842105263158	0	2.36842105263158	0	3.13157894736842	1.06578947368421	0	1.06578947368421
"Amphiprion_perideraion"	0	3.12472357363998	0	1.61211853162318	0	2.13157894736842	2.40612560813799	0	0.725453339230429
"Amphiprion_ocellaris"	0	0	4.73684210526316	0	0	0	0	5.26315789473684	0
"Amphiprion_sandaracinos"	0	1.61211853162318	0	3.12472357363998	0	2.13157894736842	0.725453339230429	0	2.40612560813799
