"Cordia_nodosa"	"Hirtella_myrmecophila"	"Maieta_guianensis"	"Myrcia_madida"	"Hirtella_physophora"	"Azteca_r.am.1"	"Allomerus_octoarticulatus"	"Pheidole_minutula"	"Myrcidris_sp."	"Allomerus_septemarticulatus"	"Pheidole_sp2"
"Cordia_nodosa"	5.26315789473684	0	0	0	0	2.36842105263158	0	0	0	0	2.36842105263158
"Hirtella_myrmecophila"	0	3.9267447615905	0	0	1.33641313314635	0	2.96980696254743	0	0	1.76703514271572	0
"Maieta_guianensis"	0	0	5.26315789473684	0	0	0	0	4.73684210526316	0	0	0
"Myrcia_madida"	0	0	0	5.26315789473684	0	0	0	0	4.73684210526316	0	0
"Hirtella_physophora"	0	2.67282626629269	0	0	2.59033162844415	0	3.53407028543145	0	0	1.20277181983171	0
"Azteca_r.am.1"	4.73684210526316	0	0	0	0	3.13157894736842	0	0	0	0	2.13157894736842
"Allomerus_octoarticulatus"	0	2.96980696254744	0	0	1.76703514271572	0	3.9267447615905	0	0	1.33641313314635	0
"Pheidole_minutula"	0	0	4.73684210526316	0	0	0	0	5.26315789473684	0	0	0
"Myrcidris_sp."	0	0	0	4.73684210526316	0	0	0	0	5.26315789473684	0	0
"Allomerus_septemarticulatus"	0	3.53407028543145	0	0	1.20277181983171	0	2.67282626629269	0	0	2.59033162844415	0
"Pheidole_sp2"	4.73684210526316	0	0	0	0	2.13157894736842	0	0	0	0	3.13157894736842
