"Pistacia_lentiscus"	"Rubus_ulmifolius"	"Rhamnus_lycioides"	"Phillyrea_angustifolia"	"Myrtus_communis"	"Olea_europaea"	"Daphne_gnidium"	"Smilax_aspera"	"Asparagus_aphyllus"	"Asparagus_aculeatus"	"Lonicera_periclymenum"	"Osyris_alba"	"Crataegus_monogyna"	"Tamus_communis"	"Pyrus_bourgaeana"	"Rubia_pregrina"	"Sylvia_atricapilla"	"Turdus_merula"	"Sylvia_borin"	"Sylvia_melanocephala"	"Erithacus_rubecula"	"Cyanopica_cyanus"	"Sylvia_cantillans"	"Turdus_philomelos"	"Ficedula_hypoleuca"	"Sylvia_communis"	"Phoenicurus_phoenicurus"	"Sturnus_unicolor"	"Sylvia_hortensis"	"Luscinia_megarhynchos"	"Muscicapa_striata"	"Saxicola_torquata"	"Sylvia_undata"
"Pistacia_lentiscus"	1.65960254493913	0.481132359297141	0.43992764416212	0.383288999049553	0.374990709753709	0.315554348449675	0.243844195784977	0.238012317783334	0.194301675808616	0.157904807344107	0.160511221538718	0.160970108074987	0.137017297390507	0.127540466245863	0.0956184669768842	0.0929407321375162	0.51561404357353	0.512959251877924	0.451047052595086	0.456913996831665	0.370350752595879	0.33904069249797	0.279517637219649	0.242645789763397	0.21612664057892	0.216876453464846	0.185516444451701	0.183994801838325	0.183132067266761	0.154165047850775	0.154165047850775	0.153165909925461	0.121610475080494
"Rubus_ulmifolius"	0.629173085234723	1.52143961423784	0.475610264980187	0.396885639035382	0.312650722441445	0.279572844903221	0.26116259369516	0.25335284455651	0.191246416493307	0.164439277315497	0.167989897712433	0.15638791383208	0.125179700046559	0.1326832316407	0.0987263498413498	0.0966574987704452	0.532485289407879	0.52876096876623	0.476417114044426	0.475558429433022	0.387316696235852	0.350515743509033	0.298737623785717	0.178714261185401	0.239356766574208	0.240360877177749	0.207888415802127	0.117570445356484	0.203685996700694	0.174310368041321	0.174310368041321	0.0894050128460081	0.0614477283556859
"Rhamnus_lycioides"	0.62323082922967	0.515244453728536	1.48575710306479	0.385777299950477	0.316130263740061	0.282687415322858	0.266181915042338	0.239757399657402	0.193435685215836	0.166622447571284	0.170521131087057	0.158116272212462	0.126852522065919	0.134657042085459	0.100244729455596	0.0979413853070987	0.539590306747254	0.53566475213961	0.482821181178366	0.481890489322842	0.3924379222597	0.357294259223838	0.305029639593355	0.178754917630344	0.242486674568731	0.24588411226108	0.214320514992404	0.118256856045882	0.131054891838871	0.180097125915532	0.180097125915532	0.0897150385810502	0.0614462970487644
"Phillyrea_angustifolia"	0.592355725803855	0.469046664314543	0.420847963582338	1.42388967373113	0.335789731454243	0.303061343734716	0.249809775293362	0.263541546298739	0.211873842634516	0.17110243747241	0.174304745811134	0.175783377335191	0.130081541890503	0.138111905217919	0.102821539508359	0.100736080653886	0.554356665132875	0.553313444126331	0.495095959198154	0.49509621083287	0.4010051699925	0.363613329528064	0.305610461629269	0.271809367747376	0.24578004496736	0.244014531552383	0.127514467338018	0.121155566142862	0.214216447698685	0.0953960676574428	0.0953960676574428	0.0918872192174988	0.0615810848440271
"Myrtus_communis"	0.637484206581305	0.406445939173878	0.379356316488073	0.369368704599668	1.44818666890733	0.361849268276223	0.225953501643279	0.220029586930057	0.210136281683821	0.166146955823018	0.169537429082062	0.173609796748775	0.159368691054142	0.134289633997157	0.106239700615425	0.0951552131326279	0.56389276287277	0.565056766025137	0.396041264648661	0.497831500910533	0.405849832611622	0.385027288815503	0.310465230398475	0.293262172405351	0.14885004678463	0.149611692962044	0.119390617131162	0.236128846394298	0.120398323048025	0.0903394526341693	0.0903394526341693	0.200270890907116	0.164085964079494
"Olea_europaea"	0.596047102627164	0.403827442637986	0.37691655376381	0.370408309009097	0.402054742529137	1.37933409644813	0.223046884407178	0.231661864335463	0.223586890200489	0.178133890886135	0.168081562883393	0.186122534489335	0.164044799615235	0.145253518673103	0.109463433088298	0.105174269142886	0.581328747122702	0.585333332257513	0.508076752156611	0.512709398241368	0.416270619012828	0.394637083254848	0.213204659954317	0.303019995429028	0.147872692084178	0.146765051807684	0.116458917434212	0.242583851230831	0.119603950551892	0.0877814608675754	0.0877814608675754	0.205673771317403	0.0677403616725898
"Daphne_gnidium"	0.592193046906372	0.485016245433868	0.456311854358294	0.39255821831814	0.322790716633256	0.286774565666371	1.31296309981239	0.237433990925349	0.206931084242601	0.17960587695548	0.185563837001216	0.166277603329372	0.116611010714623	0.130194193040482	0.0906645743226698	0.101267977076363	0.598854045570328	0.459338197599987	0.545659724799853	0.544330496173937	0.451705343480323	0.271730397324509	0.362533429680841	0.182168048580808	0.161798460523867	0.300080774523629	0.267962374843053	0.115317495075346	0.127575071446995	0.0991528334386039	0.0991528334386039	0.0890800176645558	0.0604025610979186
"Smilax_aspera"	0.578029914616668	0.470512425604948	0.411012685126974	0.414136715612304	0.314327981328653	0.29785096843131	0.237433990925349	1.30187444368643	0.217270370362126	0.189226239576865	0.176774861935029	0.17672335763423	0.126762625187168	0.139923687283629	0.100393122539583	0.110904504885575	0.606062922060418	0.607018524294547	0.550616705950668	0.545634872804574	0.450522363643291	0.276082357582855	0.218521606224913	0.186960871901742	0.295269242397739	0.158412612757029	0.124528699661476	0.117197789544823	0.264443291013216	0.0940014722567887	0.0940014722567887	0.0886761988777098	0.0588911020345788
"Asparagus_aphyllus"	0.550521414791079	0.414367235735498	0.386871370431671	0.38843537816328	0.350227136139702	0.335380335300734	0.241419598283034	0.253482098755814	1.25146808669689	0.198766777708098	0.18394611114138	0.209094685397954	0.132273603560137	0.145894679734836	0.104381413770269	0.116627969126466	0.637627289035319	0.639413929339267	0.577857164790973	0.574389216305606	0.470815569988188	0.277589406677937	0.214299047917253	0.351342059925282	0.15121919857716	0.149668305659231	0.117887229264054	0.12396528795497	0.122203845794785	0.0868475666276638	0.0868475666276638	0.094203727153939	0.0606656936238656
"Asparagus_aculeatus"	0.536876344969963	0.427542121020291	0.399893874171082	0.376425362439302	0.332293911646037	0.320641003595043	0.251448227737672	0.264916735407611	0.238520133249718	1.20975132377772	0.192418487063715	0.193456592691942	0.135519552653976	0.152291171764218	0.108320356311711	0.122842696236838	0.670004335665239	0.671940791460201	0.611375391023387	0.604429034200479	0.500706006197511	0.278036486841848	0.215683252118192	0.191792063146628	0.152873137670429	0.15114147239858	0.120343033653546	0.120885317076731	0.122881097107598	0.0880139758015597	0.0880139758015597	0.0903934177295869	0.0583293173700825
