"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"
"R1"	1.62580742898951	0.722714400140407	0	0.625807428989512	0.625807428989512	0.226824149957856	0.129917178806962	0	0.226824149957856	0.625807428989512	0.226824149957856	0.226824149957856	1.44352420896624	0.918315278115835	0.918315278115835	0.918315278115835	0.538372061949415	0	0	0	0	0	0	0
"R2"	0.578171520112326	1.7229191599575	0	0.578171520112326	0.578171520112326	0.274460058835043	0.129712418989866	0	0.274460058835043	0.578171520112326	0.274460058835043	0.274460058835043	1.4412490998874	0.830479816893444	0.830479816893444	0.830479816893444	0.804153554695428	0	0	0	0	0	0	0
"R3"	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0
"R4"	0.625807428989512	0.722714400140407	0	1.62580742898951	0.625807428989512	0.226824149957856	0.129917178806962	0	0.226824149957856	0.625807428989512	0.226824149957856	0.226824149957856	1.44352420896624	0.918315278115835	0.918315278115835	0.918315278115835	0.538372061949415	0	0	0	0	0	0	0
"R5"	0.625807428989512	0.722714400140407	0	0.625807428989512	1.62580742898951	0.226824149957856	0.129917178806962	0	0.226824149957856	0.625807428989512	0.226824149957856	0.226824149957856	1.44352420896624	0.918315278115835	0.918315278115835	0.918315278115835	0.538372061949415	0	0	0	0	0	0	0
"R6"	0.453648299915713	0.686150147087608	0	0.453648299915713	0.453648299915713	1.39898327903166	0.166481431859761	0	0.398983279031656	0.453648299915713	0.398983279031656	0.398983279031656	1.84979368733068	0.531790496399911	0.531790496399911	0.531790496399911	1.29167692873275	0	0	0	0	0	0	0
"R7"	0.519668715227847	0.64856209494933	0	0.519668715227847	0.519668715227847	0.332962863719522	1.20406948399804	0	0.332962863719522	0.519668715227847	0.332962863719522	0.332962863719522	2.26743871108932	0.584443020795942	0.584443020795942	0.584443020795942	0.716074331786019	0	0	0	0	0	0	0
"R8"	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0.789473684210527	0.789473684210526	0.789473684210526	0.789473684210527	0.789473684210526	0.789473684210526
"R9"	0.453648299915713	0.686150147087608	0	0.453648299915713	0.453648299915713	0.398983279031656	0.166481431859761	0	1.39898327903166	0.453648299915713	0.398983279031656	0.398983279031656	1.84979368733068	0.531790496399911	0.531790496399911	0.531790496399911	1.29167692873275	0	0	0	0	0	0	0
"R10"	0.625807428989512	0.722714400140407	0	0.625807428989512	0.625807428989512	0.226824149957856	0.129917178806962	0	0.226824149957856	1.62580742898951	0.226824149957856	0.226824149957856	1.44352420896624	0.918315278115835	0.918315278115835	0.918315278115835	0.538372061949415	0	0	0	0	0	0	0
"R11"	0.453648299915713	0.686150147087608	0	0.453648299915713	0.453648299915713	0.398983279031656	0.166481431859761	0	0.398983279031656	0.453648299915713	1.39898327903166	0.398983279031656	1.84979368733068	0.531790496399911	0.531790496399911	0.531790496399911	1.29167692873275	0	0	0	0	0	0	0
"R12"	0.453648299915713	0.686150147087608	0	0.453648299915713	0.453648299915713	0.398983279031656	0.166481431859761	0	0.398983279031656	0.453648299915713	0.398983279031656	1.39898327903166	1.84979368733068	0.531790496399911	0.531790496399911	0.531790496399911	1.29167692873275	0	0	0	0	0	0	0
"C1"	0.577409683586497	0.720624549943701	0	0.577409683586497	0.577409683586497	0.369958737466135	0.226743871108932	0	0.369958737466135	0.577409683586497	0.369958737466135	0.369958737466135	2.51937634565479	0.649381134217713	0.649381134217713	0.649381134217713	0.79563814642891	0	0	0	0	0	0	0
"C2"	0.734652222492668	0.830479816893444	0	0.734652222492668	0.734652222492668	0.212716198559964	0.116888604159188	0	0.212716198559964	0.734652222492668	0.212716198559964	0.212716198559964	1.29876226843543	1.81067336728422	0.810673367284221	0.810673367284221	0.532375524448756	0	0	0	0	0	0	0
"C3"	0.734652222492668	0.830479816893444	0	0.734652222492668	0.734652222492668	0.212716198559964	0.116888604159188	0	0.212716198559964	0.734652222492668	0.212716198559964	0.212716198559964	1.29876226843543	0.810673367284221	1.81067336728422	0.810673367284221	0.532375524448756	0	0	0	0	0	0	0
"C4"	0.734652222492668	0.830479816893444	0	0.734652222492668	0.734652222492668	0.212716198559964	0.116888604159188	0	0.212716198559964	0.734652222492668	0.212716198559964	0.212716198559964	1.29876226843543	0.810673367284221	0.810673367284221	1.81067336728422	0.532375524448756	0	0	0	0	0	0	0
"C5"	0.430697649559532	0.804153554695428	0	0.430697649559532	0.430697649559532	0.5166707714931	0.143214866357204	0	0.5166707714931	0.430697649559532	0.5166707714931	0.5166707714931	1.59127629285782	0.532375524448756	0.532375524448756	0.532375524448756	2.07475502853276	0	0	0	0	0	0	0
"C6"	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0
