"Clethrionomys_centralis"	"Alticola_argentatus"	"Microtus_gregalis"	"Sicista_tianshanica"	"Sorex_minutus"	"Sorex_asper"	"Apodemus_uralensis"	"Amalaraeus_penicilliger"	"Amphipsylla_primaris"	"Paraneopsylla_ioffi"	"Corrodopsylla_birulai"	"Frontopsylla_ornata"	"Amphipsylla_kuznetzovi"	"Neopsylla_mana"	"Rhadinopsylla_dahurica"	"Frontopsylla_elata"	"Amphipsylla_sibirica"	"Stenoponia_suknevi"	"Rhadinopsylla_angusta"	"Pectinoctenus_nemorosa"	"Palaeopsylla_soricis"	"Callopsylla_caspia"	"Ctenophthalmus_assimilis"
"Clethrionomys_centralis"	2.19224471438581	0.88939594093294	0.784726023817338	0.348421690428464	0.368098073748099	0.501158363396485	0.179113088027702	0.455852439201452	0.328701888201923	0.262674025155525	0.455852439201452	0.455852439201452	0.389594785926794	0.32687888164967	0.262444234927265	0.325160139204389	0.212135572475615	0.262444234927265	0.32687888164967	0.278840268045585	0.197792336137807	0.131534682863149	0.0642048564941458
"Alticola_argentatus"	1.11174492616617	1.93472876929438	0.829216840608693	0.366789252730242	0.35000178645397	0.529453800258321	0.141222519225059	0.476749386013612	0.342654689060384	0.279881984728833	0.476749386013612	0.476749386013612	0.413749064451897	0.347726998960454	0.27965436749867	0.345676432990113	0.130254829221247	0.27965436749867	0.347726998960454	0.275359486918326	0.129705017131685	0.0667046955699705	0.0678450142316203
"Microtus_gregalis"	1.0700809415691	0.904600189754937	1.93389391839078	0.377017098282974	0.357680121369538	0.516478611573145	0.103407013796371	0.488927447411738	0.354659976804256	0.198454263642313	0.488927447411738	0.488927447411738	0.424545025565221	0.356681947874286	0.290277554957739	0.358140632648674	0.110738012702513	0.290277554957739	0.356681947874286	0.178583026934133	0.128587278340663	0.0642048564941459	0.158227684231973
"Sicista_tianshanica"	1.04526507128539	0.880294206552582	0.829437616222543	1.47026466077887	0.390750777439053	0.546249641167426	0.100895921290982	0.601815923060254	0.266936187398532	0.198970066490093	0.601815923060254	0.601815923060254	0.531480783121224	0.266833144181029	0.196601047459502	0.461248686399698	0.108119068858065	0.196601047459502	0.266833144181029	0.174141134349509	0.133051044216153	0.0627159042771234	0.0678630776909353
"Sorex_minutus"	1.1042942212443	0.840004287489528	0.786896267012984	0.390750777439053	1.53160361437768	0.506071615589143	0.103537111584163	0.604730537785647	0.469329047270871	0.194324325412119	0.604730537785647	0.604730537785648	0.329041887197666	0.258706747258636	0.193640396682889	0.263975536621919	0.112849353487531	0.193640396682889	0.258706747258636	0.175849675049246	0.341946303862639	0.0662576532746578	0.0643824218465169
"Sorex_asper"	1.07391077870675	0.907635086157121	0.811609246757799	0.39017831511959	0.361479725420817	1.61457451694406	0.103770225630701	0.541798270576532	0.263978021676484	0.340095430362711	0.541798270576532	0.541798270576532	0.476731920000784	0.406499823279259	0.198911671100737	0.269143767822263	0.111131248256221	0.198911671100737	0.406499823279259	0.179203879718005	0.129500997298152	0.0644346467224052	0.0664043929165472
"Apodemus_uralensis"	1.34334816020777	0.847335115350353	0.568738575880038	0.252239803227455	0.258842778960407	0.363195789707452	1.62945767140337	0.32937564579974	0.237275879684982	0.190847624797558	0.32937564579974	0.32937564579974	0.282783945586866	0.237380781005925	0.190684179472109	0.236087344053051	0.813856841743982	0.190684179472109	0.237380781005925	0.877406975395259	0.127192589825339	0.080600889612466	0.0465331562083667
"Amalaraeus_penicilliger"	1.13963109800363	0.953498772027224	0.89636698692152	0.501513269216878	0.503942114821373	0.632097982339287	0.109791881933247	1.47548110060739	0.303938971561867	0.221160014368739	0.475481100607385	0.475481100607385	0.384771519939538	0.2944991314805	0.21322939089402	0.303501779353058	0.117784212750179	0.21322939089402	0.2944991314805	0.18929662065222	0.159087446548065	0.0683778658802177	0.0733391171117607
"Amphipsylla_primaris"	1.23263208075721	1.02796406718115	0.975314936211704	0.333670234248165	0.586661309088588	0.461961537933846	0.118637939842491	0.455908457342801	1.33645276030092	0.210450284761228	0.455908457342801	0.455908457342801	0.350309421706855	0.290248779542185	0.230853724664977	0.290914366829646	0.127344997774554	0.230853724664977	0.290248779542185	0.20444230281314	0.179556960481379	0.0739579248454327	0.0797984947809576
"Paraneopsylla_ioffi"	1.31337012577762	1.11952793891533	0.727665633355149	0.331616777483489	0.323873875686866	0.79355600417966	0.127231749865038	0.442320028737479	0.280600379681637	1.26479543207412	0.442320028737479	0.442320028737479	0.384022731113843	0.324331711166815	0.222303082058001	0.281994102005029	0.136056494985925	0.222303082058001	0.324331711166815	0.220021090404575	0.137099505170293	0.0788022075466574	0.059536279092694
