"Cyprinus_carpio_(exotic)"	"Chalcalburnus_sp"	"Mastacembelus_mastacembelus"	"Hypophthalmichthys_molitrix"	"Capoeta_damascina"	"Ctenopharyngodon"	"Carassius_carassius_(exotic)"	"Barbus_cyclolepis"	"Diplostomum_spathaceum"	"Argulus_sp1"	"Argulus_sp2"	"Lernaea_cyprinacea"	"Myxobolus_molnari"	"Mastacembelocleidus_heteranchorus"	"Dactylogyrus_extensus"	"Dactylogyrus_alatus"	"Dactylogyrus_hypophthalmichthys"	"Dactylogyrus_carassobarbi"	"Dactylogyrus_lenkorani"	"Dactylogyrus_lamellatus"	"Dactylogyrus_goktschaicus"	"Dactylogyrus_suchengtaii"	"Dogielius_molnari"	"Gyrodactylus_sp"	"Gyrodactylus_stankovici"	"Ligula_intestinalis"	"Polyonchobothrium_sp"	"Pseudocapillaria_tomentosa"
"Cyprinus_carpio_(exotic)"	2.67359222186014	0.742494112036958	0.939247504358566	0.653526622281051	0	0.159434128025156	0.0948633061749675	0	0.527018367638709	0.770934867748939	0.770934867748939	0.541925958932806	0.111374116805544	0.140887125653785	0.401038833279022	0.111374116805544	0.117634792010589	0	0	0.07174535761132	0	0.117634792010589	0	0	0.401038833279022	0.111374116805544	0.140887125653785	0.401038833279022
"Chalcalburnus_sp"	0.742494112036958	2.51857951573195	0.828185908563029	0.737507118136853	0	0.273599523679027	0.162791716589021	0	0.904398425494562	0.746140211714425	0.746140211714424	0.235602003089998	0.377786927359793	0.124227886284454	0.111374116805544	0.377786927359793	0.132751281264634	0	0	0.123119785655562	0	0.132751281264633	0	0	0.111374116805544	0.377786927359793	0.124227886284454	0.111374116805544
"Mastacembelus_mastacembelus"	0.939247504358566	0.828185908563029	2.34893558058748	0.728950614785507	0	0.261967577706746	0.155870708735514	0	0.865948381863966	0.748666459687753	0.748666459687752	0.493227462741907	0.124227886284454	0.352340337088122	0.140887125653785	0.124227886284454	0.131211110661391	0	0	0.117885409968036	0	0.131211110661391	0	0	0.140887125653785	0.124227886284454	0.352340337088122	0.140887125653785
"Hypophthalmichthys_molitrix"	0.784231946737261	0.885008541764223	0.874740737742608	2.25825455968892	0	0.288979378560393	0.171942730243434	0	0.955237390241298	0.78808300468062	0.78808300468062	0.24884590267198	0.132751281264633	0.131211110661391	0.117634792010589	0.132751281264633	0.406485820744006	0	0	0.130040720352177	0	0.406485820744006	0	0	0.117634792010589	0.132751281264634	0.131211110661391	0.117634792010589
"Capoeta_damascina"	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	1.18421052631579	1.18421052631579	0	0	0	1.18421052631579	1.18421052631579	0	0	0	0
"Ctenopharyngodon"	0.478302384075467	0.820798571037082	0.785902733120238	0.722448446400982	0	2.1665866834502	0.289119076652871	0	1.60621709251595	0.442791273587095	0.442791273587095	0.189630767579356	0.123119785655562	0.117885409968036	0.07174535761132	0.123119785655562	0.130040720352177	0	0	0.974964007552592	0	0.130040720352177	0	0	0.07174535761132	0.123119785655562	0.117885409968036	0.07174535761132
"Carassius_carassius_(exotic)"	0.569179837049805	0.976750299534127	0.935224252413083	0.859713651217169	0	0.578238153305742	1.34405170121692	0	1.91139834009398	0.526921615568643	0.526921615568643	0.225660613419433	0.146512544930119	0.140283637861962	0.0853769755574708	0.146512544930119	0.15474845721909	0	0	0.260207168987584	0	0.15474845721909	0	0	0.0853769755574708	0.146512544930119	0.140283637861962	0.0853769755574708
"Barbus_cyclolepis"	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0
"Diplostomum_spathaceum"	0.63242204116645	1.08527811059347	1.03913805823676	0.955237390241299	0	0.64248683700638	0.382279668018796	0	2.12377593343776	0.585468461742936	0.585468461742936	0.250734014910481	0.162791716589021	0.155870708735514	0.0948633061749676	0.162791716589021	0.171942730243434	0	0	0.289119076652871	0	0.171942730243434	0	0	0.0948633061749676	0.162791716589021	0.155870708735514	0.0948633061749676
"Argulus_sp1"	1.15640230162341	1.11921031757164	1.12299968953163	0.985103755850775	0	0.221395636793547	0.131730403892161	0	0.73183557717867	1.68711052236214	0.687110522362141	0.341910298673256	0.167881547635746	0.168449953429744	0.173460345243511	0.167881547635746	0.17731867605314	0	0	0.0996280365570963	0	0.17731867605314	0	0	0.173460345243511	0.167881547635746	0.168449953429744	0.173460345243511
