"Memecylon_eleagni"	"Mimusops_sechellarum"	"Roscheria_melanochaetes"	"Excoecaria_benthiamiana"	"Apis_mellifera"	"Unidentified_sp1_M_PL_124"	"Unidentified_sp2_M_PL_124"	"Unidentified_sp4_M_PL_124"	"Cratopus_aurostriatus"	"Lasioglossum_mahense"	"Lygistorrhina_sp1_M_PL_124"	"Simosyrphus_aegyptius"	"Unidentified_sp3_M_PL_124"
"Memecylon_eleagni"	3.51088046806263	1.3929496505714	0.359327776102814	0	1.36667781179735	0.475111170624831	0.161697499246266	0	0.313413671378565	1.05326414041879	0.313413671378565	1.05326414041879	0
"Mimusops_sechellarum"	1.04471223792855	3.35339730693115	0.865048349877144	0	1.06792806543807	1.14378615150422	0.389271757444715	0	0.754514394059508	0.313413671378565	0.754514394059509	0.313413671378565	0
"Roscheria_melanochaetes"	0.538991664154221	1.73009669975429	2.99406953082834	0	0.550969256690981	1.73660304631747	1.34733128887275	0	0.389271757444715	0.161697499246266	0.389271757444715	0.161697499246266	0
"Excoecaria_benthiamiana"	0	0	0	5.26315789473684	0	0	0	2.36842105263158	0	0	0	0	2.36842105263158
"Apis_mellifera"	2.05001671769603	2.13585613087615	0.550969256690981	0	2.09557264475594	0.728503794958075	0.247936165510941	0	0.480567629447133	0.615005015308809	0.480567629447133	0.615005015308809	0
"Unidentified_sp1_M_PL_124"	0.712666755937247	2.28757230300845	1.73660304631747	0	0.728503794958074	2.29617513901976	0.78147137084286	0	0.5147037681769	0.213800026781174	0.5147037681769	0.213800026781174	0
"Unidentified_sp2_M_PL_124"	0.485092497738798	1.55708702977886	2.6946625777455	0	0.495872331021883	1.56294274168572	2.21259815998548	0	0.350344581700243	0.14552774932164	0.350344581700243	0.14552774932164	0
"Unidentified_sp4_M_PL_124"	0	0	0	4.73684210526316	0	0	0	3.13157894736842	0	0	0	0	2.13157894736842
"Cratopus_aurostriatus"	0.940241014135695	3.01805757623803	0.778543514889429	0	0.961135258894266	1.0294075363538	0.350344581700243	0	1.67906295465356	0.282072304240709	0.679062954653558	0.282072304240709	0
"Lasioglossum_mahense"	3.15979242125637	1.25365468551426	0.323394998492532	0	1.23001003061762	0.427600053562348	0.14552774932164	0	0.282072304240709	1.94793772637691	0.282072304240709	0.94793772637691	0
"Lygistorrhina_sp1_M_PL_124"	0.940241014135695	3.01805757623803	0.778543514889429	0	0.961135258894266	1.0294075363538	0.350344581700243	0	0.679062954653558	0.282072304240709	1.67906295465356	0.282072304240709	0
"Simosyrphus_aegyptius"	3.15979242125637	1.25365468551426	0.323394998492532	0	1.23001003061762	0.427600053562348	0.14552774932164	0	0.282072304240709	0.94793772637691	0.282072304240709	1.94793772637691	0
"Unidentified_sp3_M_PL_124"	0	0	0	4.73684210526316	0	0	0	2.13157894736842	0	0	0	0	3.13157894736842
