"Catostomus_catostomus"	"Coregonus_clupeaformis"	"Cottus_cognatus"	"Esox_lucius"	"Prosopium_cylindraceum"	"Salvelinus_namaycush"	"Thymallus_arcticus"	"Anonchohaptor_anomalus"	"Dactylogyrus_buddi"	"Discocotyle_sagittata"	"Tetraonchus_borealis"	"Tetraonchus_monenteron"	"Tetraonchus_variabilis"	"Allocreadium_isosporum"	"Crepidostomum_farionis"	"Diplostomum_spathaceum_(L)"	"Heterophyid_meta_(L)"	"Neascus_sp._(L)"	"Tetracotyle_sp._(L)"	"Cyathocephalus_truncatus"	"Diphyllobothrium_sp._(L)"	"Eubothrium_salvelini"	"Glaridacris_catostomi"	"Proteocephalus_tumidocollus"	"Schistocephalus_solidus_(L)"	"Triaenophorus_crassus"	"Triaenophorus_crassus_(L)"	"Capillaria_salvelini"	"Cystidicola_farionis"	"Raphidascaris_acus"	"Raphidascaris_acus_(L)"	"Neoechinorhynchus_tumidus"	"Piscicola_milneri"	"Salmincola_extensus"	"Salmincola_edwardsii"	"Salmincola_thymalli"
"Catostomus_catostomus"	2.01546339280261	0.631565649325432	0.326069236667687	0.361335567804535	0.63167830267466	0.63167830267466	0.665367442787263	0.453479263380587	0.0366827891251148	0.161738477224898	0.0399220465672358	0.0361335567804534	0.0406078908862281	0.0760556033476893	0.234554823130467	0.688034086511053	0.0366827891251148	0.0366827891251148	0.161738477224898	0.121816430657662	0.161738477224898	0.161738477224898	0.453479263380587	0.234554823130467	0.0366827891251148	0.0361335567804535	0.161738477224898	0.121137828339692	0.615217740605485	0.0361335567804535	0.0805226954524421	0.234554823130467	0.157949987438116	0.0406006488852063	0.0406078908862281	0.0399220465672358
"Coregonus_clupeaformis"	0.180447328378695	1.88735090457667	0.354531051500676	0.427958994284374	0.792527806371767	0.792527806371767	0.827814003252893	0.0406006488852063	0.0398847432938261	0.272894973451472	0.0496688401951736	0.0427958994284374	0.0509482161238993	0.092464739623611	0.355575616173736	0.396176265058942	0.0398847432938261	0.0398847432938261	0.272894973451472	0.223226133256299	0.272894973451472	0.272894973451472	0.0406006488852063	0.355575616173736	0.0398847432938261	0.0427958994284374	0.272894973451472	0.151565272442972	0.313495622336679	0.0427958994284374	0.170998541203674	0.355575616173736	0.266022032684736	0.1213297010085	0.0509482161238993	0.0496688401951736
"Cottus_cognatus"	0.163034618333844	0.620429340126184	2.12011997996954	0.462069381333727	0.620511658095385	0.620511658095385	0.656481258782782	0.0366827891251148	0.238513497746573	0.159053689147343	0.0393888755269669	0.0462069381333727	0.0398900351632748	0.0855958136603396	0.443774125027288	0.480456914152403	0.238513497746573	0.238513497746573	0.159053689147343	0.119664813620376	0.159053689147343	0.159053689147343	0.0366827891251148	0.443774125027288	0.238513497746573	0.0462069381333727	0.159053689147343	0.119168945853516	0.195736478272457	0.0462069381333727	0.079273618820793	0.443774125027288	0.165871751753748	0.0398847432938261	0.0398900351632748	0.0393888755269669
"Esox_lucius"	0.160593585690904	0.665713991109026	0.410728338963313	1.95218967638361	0.665416833860506	0.665416833860507	0.743098634868981	0.0361335567804534	0.0462069381333727	0.172935410445498	0.0445859180921388	0.195218967638361	0.0427767964624611	0.239804885730499	0.414361316217232	0.450494872997685	0.0462069381333727	0.0462069381333727	0.172935410445498	0.12834949235336	0.172935410445498	0.172935410445498	0.0361335567804534	0.414361316217232	0.0462069381333727	0.195218967638361	0.172935410445498	0.130139511017061	0.209068967225952	0.195218967638361	0.0873818175205762	0.414361316217232	0.32356845999172	0.0427958994284374	0.0427767964624611	0.0445859180921388
"Prosopium_cylindraceum"	0.180479515049903	0.792527806371767	0.35457809034022	0.427767964624611	1.87692903791766	0.815518878706135	0.815356601726546	0.0406078908862281	0.0398900351632748	0.272955549724736	0.0489213961035928	0.0427767964624611	0.120659723866135	0.0916981925660539	0.355622381350472	0.3962302722367	0.0398900351632748	0.0398900351632748	0.272955549724736	0.224034153621143	0.272955549724736	0.272955549724736	0.0406078908862281	0.355622381350472	0.0398900351632748	0.0427767964624611	0.272955549724736	0.222007333600837	0.313563440610964	0.0427767964624611	0.0998696122274921	0.355622381350472	0.266810950083604	0.0509482161238993	0.0524262136311087	0.0489213961035928
"Salvelinus_namaycush"	0.180479515049903	0.792527806371767	0.35457809034022	0.427767964624611	0.815518878706135	1.87692903791766	0.815356601726546	0.0406078908862281	0.0398900351632748	0.272955549724736	0.0489213961035928	0.0427767964624611	0.0524262136311087	0.0916981925660539	0.355622381350472	0.3962302722367	0.0398900351632748	0.0398900351632748	0.272955549724736	0.224034153621143	0.272955549724736	0.272955549724736	0.0406078908862281	0.355622381350472	0.0398900351632748	0.0427767964624611	0.272955549724736	0.222007333600837	0.313563440610964	0.0427767964624611	0.0998696122274921	0.355622381350472	0.266810950083604	0.0509482161238993	0.120659723866135	0.0489213961035928
"Thymallus_arcticus"	0.177431318076603	0.772626403036034	0.350123338017484	0.445859180921388	0.760999494944776	0.760999494944776	1.99511866479578	0.0399220465672358	0.0393888755269669	0.267218752290106	0.119707119887747	0.0445859180921388	0.0489213961035928	0.164293037979886	0.351193545909212	0.391115592476448	0.0393888755269669	0.0393888755269669	0.267218752290106	0.147511632402359	0.267218752290106	0.267218752290106	0.0399220465672358	0.351193545909212	0.0393888755269669	0.0445859180921388	0.267218752290106	0.217549912094932	0.307140798857342	0.0445859180921388	0.16937596008292	0.351193545909212	0.192097550494498	0.0496688401951736	0.0489213961035928	0.119707119887747
"Anonchohaptor_anomalus"	1.81391705352235	0.568409084392888	0.293462313000919	0.325202011024081	0.568510472407194	0.568510472407194	0.598830698508537	1.40813133704253	0.0330145102126034	0.145564629502408	0.0359298419105122	0.0325202011024081	0.0365471017976053	0.0684500430129203	0.21109934081742	0.619230677859948	0.0330145102126033	0.0330145102126034	0.145564629502408	0.109634787591896	0.145564629502408	0.145564629502408	0.408131337042528	0.21109934081742	0.0330145102126034	0.0325202011024081	0.145564629502408	0.109024045505723	0.553695966544936	0.0325202011024081	0.0724704259071979	0.21109934081742	0.142154988694304	0.0365405839966857	0.0365471017976053	0.0359298419105122
"Dactylogyrus_buddi"	0.146731156500459	0.558386406113565	1.90810798197258	0.415862443200354	0.558460492285847	0.558460492285847	0.590833132904504	0.0330145102126033	1.21466214797192	0.143148320232608	0.0354499879742702	0.0415862443200354	0.0359010316469473	0.0770362322943057	0.399396712524559	0.432411222737163	0.214662147971916	0.214662147971916	0.143148320232608	0.107698332258338	0.143148320232608	0.143148320232608	0.0330145102126033	0.399396712524559	0.214662147971916	0.0415862443200354	0.143148320232608	0.107252051268165	0.176162830445212	0.0415862443200354	0.0713462569387137	0.399396712524559	0.149284576578373	0.0358962689644435	0.0359010316469473	0.0354499879742702
"Discocotyle_sagittata"	0.161738477224898	0.955132407080154	0.318107378294685	0.389104673502371	0.955344424036576	0.955344424036576	1.0020703210879	0.0363911573756021	0.0357870800581521	1.24435558566799	0.0601242192652738	0.0389104673502371	0.0614149986880656	0.099034686615511	0.319053133076376	0.355444290451978	0.0357870800581521	0.0357870800581521	0.244355585667986	0.184231366402712	0.244355585667986	0.244355585667986	0.0363911573756021	0.319053133076376	0.0357870800581521	0.0389104673502371	0.244355585667986	0.182954216641405	0.280746743043588	0.0389104673502371	0.121525588291855	0.319053133076376	0.22314183375295	0.0614013690265813	0.0614149986880656	0.0601242192652738
