"Dipterocarpus_geniculatus"	"Dipterocarpus_crinitus"	"Dipterocarpus_globosus"	"Dipterocarpus_palembanicus"	"Dipterocarpus_tempehes"	"Dryobalanops_aromatica"	"Dryobalanops_lanceolata"	"Shorea_smithiana"	"Shorea_xantophylla"	"Shorea_domatiosa"	"Shorea_laxa"	"Shorea_confusa"	"Shorea_falciferoides"	"Shorea_ochracea"	"Shorea_parvifolia"	"Shorea_pilosa"	"Shorea_quadrinervis"	"Shorea_scabrida"	"Shorea_agami"	"Shorea_kunsitleri"	"Ctenomerus_sp._1"	"Ctenomerus_sp._2"	"Nanophyes_shoreae"	"Endaenidius_spinipes"	"Sternuchopsis_toyi"	"Sternuchopsis_dipterocarpi"	"Sternuchopsis_sp._1"	"Sternuchopsis_shoreaphilus"	"Niphades_sp._1"	"Idotasia_sp._1"	"Orchestes_sp._1"	"Orchestes_sp._3"	"Involvulus_sp._1"	"Coccotrypes_advena"	"Coccotrypes_cinnamoni"	"Coccotrypes_gedeanus"	"Coccotrypes_myristicae"	"Coccotrypes_nitidus"	"Coccotripes_papuanus"	"Hypothenemus_areccae"	"Xyleborinus_exiguus"	"Xyleborinus_ferrugineus"	"Xyleborinus_subdentatus"	"Andrioplecta_shoreae"	"Andrioplecta_subpulverula"	"Assara_albicostalis"	"Lamoria_adaptella"	"Crambidae_Gn._Sp._A"	"Crambidae_Gn._Sp._B"
"Dipterocarpus_geniculatus"	1.17503174722203	0.110680271235974	0.209079614414586	0.325887783260304	0.422113773767661	0.811908963985378	0.481683658620102	0.0260501540455294	0.150080773676001	0.0600980212380806	0.0310785741949075	0.0655209453073481	0.531254247668747	0.0573841377840368	0.475186051490789	0.0803069103873041	0.0462590431947529	0.122185102377307	0.0553179668204712	0.0260501540455294	0.133775517627236	0.0249030610280941	0.204076381584807	0.04490864255383	0.162598959860788	0.134695318601958	0.120397558442904	0.150431617214423	0.0754258349943498	0.0332144576175837	1.36135803394916	0.0586598009868547	0.0255008995740054	0.276253992843622	0.156254016936781	0.247539344456576	0.0255008995740054	0.104910260382656	0.204076381584807	0.0255008995740054	0.0332144576175837	0.0332144576175837	0.0255008995740054	0.347335387273725	0.09549449741481	0.302647708378233	0.161865004208041	0.0975942159499263	0.0699935978408046
"Dipterocarpus_crinitus"	0.0276700678089934	1.60473503927015	0.0515424836368942	0.186760482087303	0.284920614701688	0.824687817441722	0.599681050527624	0.0243228147844773	0.175409489874971	0.0481952306123781	0.0700585665913476	0.0491805814306988	0.569934657305628	0.0572581408460835	0.388804386323549	0.0654506662750614	0.0415782504471606	0.116043045361156	0.0526016946254803	0.0243228147844773	0.466070895439597	0.361065383835783	0.191355078602293	0.0383454125837407	0.157104888005572	0.130771674984551	0.466007447789721	0.154636188747553	0.062229290365512	0.0337372288953432	0.215211638514393	0.0336168867757145	0.0317478203220507	0.622742814145312	0.130913203965035	0.228053612085333	0.0317478203220507	0.0843605520093265	0.191355078602293	0.0317478203220507	0.0337372288953432	0.0337372288953432	0.0317478203220507	0.324304197126364	0.104942063953937	0.212199251803563	0.162863017132124	0.0972963171893206	0.0731942436318867
"Dipterocarpus_globosus"	0.104539807207293	0.103084967273788	1.20015549930315	0.231665940011922	0.422795689145147	0.787906974084061	0.543803092918939	0.0320115469581296	0.215090624103484	0.127627239053982	0.0297529562153555	0.136380728531121	0.444615306638761	0.0551098622545998	0.390359840191796	0.163418960610674	0.0678032685148221	0.113928893353767	0.0610951514079251	0.0320115469581296	0.118146267737019	0.0231941176366024	0.191655295527002	0.0795371590148722	0.161575580276642	0.119751588114986	0.114997310865163	0.156476416270711	0.0745121269452263	0.0322325580307116	0.813087389390056	0.041699869202146	0.0287895755074732	0.264470721914271	0.13466053511966	0.22979190815326	0.0287895755074732	0.135883454784231	0.191655295527002	0.0287895755074732	0.0322325580307116	0.0322325580307116	0.0287895755074732	0.426820626108395	0.0918031932285606	0.849917263074241	0.149375726612487	0.0929606659175136	0.0630136177210874
"Dipterocarpus_palembanicus"	0.0651775566520608	0.149408385669842	0.092666376004769	1.51532623336194	0.320375298157855	0.790850527295556	0.610384132432775	0.0252473690498169	0.20277308040539	0.0527361884025251	0.059152891072179	0.0541109492860517	0.47646662520831	0.0582942187734937	0.445396143325462	0.0711995509186441	0.0437107315659359	0.151759655453804	0.0528746126506206	0.0252473690498169	0.13539751650403	0.0336168867757145	0.200278536091178	0.0410296944802644	0.153484686671132	0.128013028176388	0.131270467938281	0.163840485743369	0.0643905059324219	0.0323529761166364	0.506936551738251	0.272758722005148	0.0323144540699704	0.525803476197146	0.373867654827475	0.477498882753511	0.0323144540699704	0.0887404331111452	0.200278536091178	0.0323144540699704	0.0323529761166364	0.0323529761166364	0.0323144540699704	0.336631587330893	0.0976535811625667	0.244345060912961	0.168241006275392	0.101108932822326	0.0653391270925963
"Dipterocarpus_tempehes"	0.046901530418629	0.126631384311861	0.0939545975878105	0.177986276754364	1.47663135395707	0.867668158216912	0.596917334567276	0.0399641391622746	0.188326379725753	0.087017206331456	0.0428965567703034	0.117919840990658	0.483994755262383	0.0568644997564898	0.386163858142523	0.11696446827124	0.069911401102059	0.154366535830501	0.0921134784149997	0.0399641391622746	0.129090131001176	0.0284920614701688	0.314595181436257	0.0665494709772987	0.289718551404028	0.126187094421428	0.12909641219174	0.15818001950927	0.183158650959127	0.0354955155634191	0.364789681033781	0.0320375298157855	0.0316015059476793	0.381302726847141	0.130729776083999	0.23286832420697	0.0316015059476793	0.236222579404923	0.314595181436257	0.0316015059476793	0.0354955155634191	0.0354955155634191	0.0316015059476793	0.532855188830328	0.100604350721571	0.41824948594828	0.166932046040549	0.098692246268214	0.0690028447738918
"Dryobalanops_aromatica"	0.0369049529084263	0.149943239534859	0.0716279067349146	0.179738756203535	0.354955155634192	2.0046267542342	0.628739473637425	0.0319763896551429	0.178833383272122	0.0666993434816313	0.0357123650535349	0.0808946195766971	0.523361529197312	0.0825799453662012	0.433923550046043	0.0900648231422904	0.055341869315802	0.153831624276756	0.0714258238106126	0.0319763896551429	0.187480244188086	0.0337372288953432	0.257136853746295	0.051923288134798	0.219163523085943	0.190903990707533	0.185263615703091	0.220147485872257	0.117502973691182	0.0820074581277629	0.287038522621093	0.0323529761166364	0.0332862074278637	0.31744324492031	0.183149477585121	0.286184323288495	0.0332862074278637	0.153905552500696	0.257136853746295	0.0332862074278637	0.0820074581277629	0.0820074581277629	0.0332862074278637	0.426351862068572	0.151526386807748	0.308648478457674	0.221641338182876	0.150796501468485	0.118240179379884
"Dryobalanops_lanceolata"	0.028334332860006	0.141101423653559	0.0639768344610516	0.179524744833169	0.316015059476793	0.813662848236667	1.91173233788754	0.0336883604589888	0.188558985200731	0.0693308620600344	0.0373241183514373	0.0637096134262526	0.492241680912811	0.0728492196966585	0.425421721054985	0.0937558573370908	0.0581133557360452	0.164263192630452	0.0758649860035779	0.0336883604589888	0.133919529689636	0.0317478203220507	0.271941792721751	0.0542777672823475	0.234314586358829	0.134953858231081	0.20032165703159	0.236025564414807	0.064887713375543	0.0332862074278637	0.220378144466713	0.0323144540699704	0.101209359064635	0.331769940901664	0.201617252285149	0.306595358180173	0.101209359064635	0.0935570394173566	0.271941792721751	0.101209359064635	0.0332862074278637	0.0332862074278637	0.101209359064635	0.449178139453183	0.168573836709539	0.316822236453739	0.240340286774071	0.169302798215179	0.0673644776449044
"Shorea_smithiana"	0.0260501540455293	0.0972912591379091	0.0640230939162592	0.126236845249085	0.359677252460471	0.703480572413144	0.572702127802809	1.12121796085861	0.242004981931244	0.159190900729339	0.0268260935250412	0.0663547776317139	0.448797814793493	0.0548219688935511	0.388875083812848	0.228681328913987	0.190708389043257	0.10839154618252	0.156607782537422	0.121217960858609	0.11355695425486	0.0218905333060295	0.182341768499035	0.154423173743662	0.196610120437847	0.116336306950929	0.11205942635599	0.159146110164401	0.0647464759356757	0.0287787506896286	0.202612309243006	0.0227226321448352	0.0303195244130899	0.238454164667033	0.113637959559514	0.212657572145447	0.0303195244130899	0.094606125869947	0.182341768499035	0.0303195244130899	0.0287787506896286	0.0287787506896286	0.0303195244130899	1.61623947811479	0.0901688930499603	0.337537243295376	0.146374043252988	0.0909153274146788	0.0598493686368704
"Shorea_xantophylla"	0.0300161547352002	0.140327591899977	0.0860362496413937	0.20277308040539	0.338987483506355	0.786866886397336	0.641100549682484	0.0484009963862489	1.28119612940102	0.104421091292442	0.0538465917909304	0.087684071801247	0.454377419090138	0.0995127678425513	0.411685017531121	0.140493618224812	0.0844735233186189	0.144137081810366	0.0784205935929598	0.0484009963862489	0.128903935027361	0.0315737081774948	0.197600435943966	0.0801611709608222	0.166775540037283	0.142110972379015	0.12916123274731	0.375209994762628	0.0660887573396174	0.0321900089889819	0.23345898127378	0.0364991544729703	0.0339406173361315	0.478636371474937	0.136313100414266	0.430816145358485	0.0339406173361315	0.105546589650179	0.197600435943966	0.0339406173361315	0.0321900089889819	0.0321900089889819	0.0339406173361315	0.645346618483319	0.0975875245698153	0.497956399166164	0.16370168759333	0.0998139459412961	0.0636469072336838
"Shorea_domatiosa"	0.0300490106190403	0.0963904612247562	0.127627239053982	0.131840471006313	0.391577428491552	0.733692778297944	0.589312327510292	0.0795954503646697	0.261052728231106	1.17717367879961	0.0276267158804224	0.136797644693304	0.403387090201134	0.0538287778093569	0.347204356352826	0.237606169874016	0.140027941439074	0.107032115256374	0.1117400592664	0.0795954503646697	0.108036986050831	0.0216878537755701	0.180787988984115	0.134294424609788	0.178581160565171	0.110572082289471	0.110828244821706	0.160833662745699	0.0691724474158893	0.0300147045667341	0.23371452703698	0.0237312847811363	0.0311988879270155	0.245570807825977	0.113352506431026	0.212351021997696	0.0311988879270155	0.130731387527876	0.180787988984115	0.0311988879270155	0.0300147045667341	0.0300147045667341	0.0311988879270155	1.06127267152893	0.0891403910461357	0.867362030532812	0.14163024613496	0.0896212216498898	0.0579415031191202
