"Allomerus_demararae"	"Pseudomyrmex_dendroicus"	"Pachychondyla_luteola"	"Crematogaster_victima"	"Pheidole_minutula"	"Azteca_sp8_M_PA_001"	"Myrmelachista_sp1_M_PA_001"	"Azteca_sp7_M_PA_001"	"Azteca_sp9_M_PA_001"	"Camponotus_balzani"	"Azteca_sp12_M_PA_001"	"Azteca_sp11_M_PA_001"	"Crematogaster_limata"	"Azteca_sp10_M_PA_001"	"Azteca_sp13_M_PA_001"	"Gnamptogenys_pleurodon"	"Cordia_nodosa"	"Triplaris_americana"	"Cecropia_sp1_M_PA_001"	"Clidemia_heterophylla"	"Pleurothyrium_sp1_M_PA_001"	"Triplaris_poeppigiana"	"Maieta_guianensis"	"Tococa_sp1_M_PA_001"
"Allomerus_demararae"	1.68252527871403	0	0	0	0	0	0	0.966035779102931	0.283510500388904	0	0	0	0.682525278714027	0.283510500388904	0.682525278714027	0.682525278714027	3.79180710396682	0	0	0	0	0	0	0.945035001296345
"Pseudomyrmex_dendroicus"	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0
"Pachychondyla_luteola"	0	0	3.13157894736842	0	0	0	0	0	0	2.13157894736842	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0
"Crematogaster_victima"	0	0	0	3.13157894736842	2.13157894736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.36842105263158	0	0	2.36842105263158	0
"Pheidole_minutula"	0	0	0	2.13157894736842	3.13157894736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.36842105263158	0	0	2.36842105263158	0
"Azteca_sp8_M_PA_001"	0	0	0	0	0	3.13157894736842	0	0	0	0	0	2.13157894736842	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0
"Myrmelachista_sp1_M_PA_001"	0	0	0	0	0	0	3.13157894736842	0	0	0	2.13157894736842	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0
"Azteca_sp7_M_PA_001"	0.483017889551465	0	0	0	0	0	0	2.0990407052113	0.61602281565984	0	0	0	0.483017889551465	0.61602281565984	0.483017889551465	0.483017889551465	2.68343271973036	0	0	0	0	0	0	2.0534093855328
"Azteca_sp9_M_PA_001"	0.283510500388904	0	0	0	0	0	0	1.23204563131968	1.94853513093078	0	0	0	0.283510500388904	0.948535130930775	0.283510500388904	0.283510500388904	1.57505833549391	0	0	0	0	0	0	3.16178376976925
"Camponotus_balzani"	0	0	2.13157894736842	0	0	0	0	0	0	3.13157894736842	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0
"Azteca_sp12_M_PA_001"	0	0	0	0	0	0	2.13157894736842	0	0	0	3.13157894736842	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0
"Azteca_sp11_M_PA_001"	0	0	0	0	0	2.13157894736842	0	0	0	0	0	3.13157894736842	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0
"Crematogaster_limata"	0.682525278714027	0	0	0	0	0	0	0.966035779102931	0.283510500388904	0	0	0	1.68252527871403	0.283510500388904	0.682525278714027	0.682525278714027	3.79180710396682	0	0	0	0	0	0	0.945035001296345
"Azteca_sp10_M_PA_001"	0.283510500388904	0	0	0	0	0	0	1.23204563131968	0.948535130930775	0	0	0	0.283510500388904	1.94853513093078	0.283510500388904	0.283510500388904	1.57505833549391	0	0	0	0	0	0	3.16178376976925
"Azteca_sp13_M_PA_001"	0.682525278714027	0	0	0	0	0	0	0.966035779102931	0.283510500388904	0	0	0	0.682525278714027	0.283510500388904	1.68252527871403	0.682525278714027	3.79180710396682	0	0	0	0	0	0	0.945035001296345
"Gnamptogenys_pleurodon"	0.682525278714027	0	0	0	0	0	0	0.966035779102931	0.283510500388904	0	0	0	0.682525278714027	0.283510500388904	0.682525278714027	1.68252527871403	3.79180710396682	0	0	0	0	0	0	0.945035001296345
"Cordia_nodosa"	0.758361420793364	0	0	0	0	0	0	1.07337308789215	0.315011667098782	0	0	0	0.758361420793364	0.315011667098782	0.758361420793364	0.758361420793364	4.21311900440757	0	0	0	0	0	0	1.05003889032927
"Triplaris_americana"	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0
"Cecropia_sp1_M_PA_001"	0	0	2.36842105263158	0	0	0	0	0	0	2.36842105263158	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0
"Clidemia_heterophylla"	0	0	0	2.36842105263158	2.36842105263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.13157894736842	0	0	2.13157894736842	0
"Pleurothyrium_sp1_M_PA_001"	0	0	0	0	0	0	2.36842105263158	0	0	0	2.36842105263158	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0
"Triplaris_poeppigiana"	0	0	0	0	0	2.36842105263158	0	0	0	0	0	2.36842105263158	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0
"Maieta_guianensis"	0	0	0	2.36842105263158	2.36842105263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.13157894736842	0	0	3.13157894736842	0
"Tococa_sp1_M_PA_001"	0.315011667098782	0	0	0	0	0	0	1.3689395903552	1.05392792325642	0	0	0	0.315011667098782	1.05392792325642	0.315011667098782	0.315011667098782	1.75006481721545	0	0	0	0	0	0	3.51309307752139
