"Buffalo"	"Bushbuck"	"Bushpig"	"common_duiker"	"Giraffe"	"Hippo"	"Impala"	"Klipspringer"	"Kudu"	"Nyala"	"Reedbuck"	"Steenbok"	"Tsessebe"	"Warthog"	"Waterbuck"	"White_Rhino"	"Wildebeest"	"Zebra"	"Lion"	"Leopard"	"Cheetah"	"wild_dog"
"Buffalo"	1.19963215641837	0.337015717567133	0.0995769853956861	0.337015717567133	0.199632156418373	0.0995769853956861	0.337015717567133	0.100055171022686	0.337015717567133	0.337015717567133	0.169193049364102	0.337015717567133	0.199632156418373	0.268770034759788	0.337015717567133	0.0995769853956861	0.268770034759788	0.199632156418373	1.77025751814553	1.66758618371144	0.768198648237953	0.530799755168234
"Bushbuck"	0.168507858783566	1.36453225386468	0.0835351206807626	0.364532253864675	0.168507858783566	0.0835351206807626	0.364532253864675	0.0849727381028037	0.364532253864675	0.364532253864675	0.178250780347744	0.364532253864675	0.168507858783566	0.261785901028507	0.364532253864675	0.0835351206807626	0.261785901028507	0.168507858783566	1.48506881210245	1.4162123017134	1.03642269161045	0.799138299836863
"Bushpig"	0.199153970791372	0.33414048272305	1.12897355680373	0.33414048272305	0.199153970791372	0.128973556803731	0.33414048272305	0.0701804139876412	0.33414048272305	0.33414048272305	0.137503478167902	0.33414048272305	0.199153970791372	0.266477034971633	0.33414048272305	0.128973556803731	0.266477034971633	0.199153970791372	2.29286323206633	1.16967356646069	0.74803404644734	0.526271260288804
"common_duiker"	0.168507858783566	0.364532253864675	0.0835351206807626	1.36453225386468	0.168507858783566	0.0835351206807626	0.364532253864675	0.0849727381028037	0.364532253864675	0.364532253864675	0.178250780347744	0.364532253864675	0.168507858783566	0.261785901028507	0.364532253864675	0.0835351206807626	0.261785901028507	0.168507858783566	1.48506881210245	1.4162123017134	1.03642269161045	0.799138299836863
"Giraffe"	0.199632156418373	0.337015717567133	0.0995769853956861	0.337015717567133	1.19963215641837	0.0995769853956861	0.337015717567133	0.100055171022686	0.337015717567133	0.337015717567133	0.169193049364102	0.337015717567133	0.199632156418373	0.268770034759788	0.337015717567133	0.0995769853956861	0.268770034759788	0.199632156418373	1.77025751814553	1.66758618371144	0.768198648237953	0.530799755168234
"Hippo"	0.199153970791372	0.33414048272305	0.128973556803731	0.33414048272305	0.199153970791372	1.12897355680373	0.33414048272305	0.0701804139876412	0.33414048272305	0.33414048272305	0.137503478167902	0.33414048272305	0.199153970791372	0.266477034971633	0.33414048272305	0.128973556803731	0.266477034971633	0.199153970791372	2.29286323206633	1.16967356646069	0.74803404644734	0.526271260288804
"Impala"	0.168507858783566	0.364532253864675	0.0835351206807626	0.364532253864675	0.168507858783566	0.0835351206807626	1.36453225386468	0.0849727381028037	0.364532253864675	0.364532253864675	0.178250780347744	0.364532253864675	0.168507858783566	0.261785901028507	0.364532253864675	0.0835351206807626	0.261785901028507	0.168507858783566	1.48506881210245	1.4162123017134	1.03642269161045	0.799138299836863
"Klipspringer"	0.200110342045373	0.339890952411215	0.0701804139876412	0.339890952411215	0.200110342045373	0.0701804139876412	0.339890952411215	1.12992992805773	0.339890952411215	0.339890952411215	0.200882620560303	0.339890952411215	0.200110342045373	0.271063034547944	0.339890952411215	0.0701804139876412	0.271063034547944	0.200110342045373	1.24765180422473	2.1654988009622	0.788363250028566	0.535328250047663
"Kudu"	0.168507858783566	0.364532253864675	0.0835351206807626	0.364532253864675	0.168507858783566	0.0835351206807626	0.364532253864675	0.0849727381028037	1.36453225386468	0.364532253864675	0.178250780347744	0.364532253864675	0.168507858783566	0.261785901028507	0.364532253864675	0.0835351206807626	0.261785901028507	0.168507858783566	1.48506881210245	1.4162123017134	1.03642269161045	0.799138299836863
"Nyala"	0.168507858783566	0.364532253864675	0.0835351206807626	0.364532253864675	0.168507858783566	0.0835351206807626	0.364532253864675	0.0849727381028037	0.364532253864675	1.36453225386468	0.178250780347744	0.364532253864675	0.168507858783566	0.261785901028507	0.364532253864675	0.0835351206807626	0.261785901028507	0.168507858783566	1.48506881210245	1.4162123017134	1.03642269161045	0.799138299836863
