"Lathyrus_latifolius"	"Lathyrus_pratensis"	"Lathyrus_tuberosus"	"Lathyrus_niger"	"Lathyrus_pannonicus"	"Lathyrus_sylvestris"	"Lathyrus_vernus"	"Vicia_cassubica"	"Vicia_pisiformis"	"Vicia_sepium"	"Vicia_sparsifolia"	"Vicia_tenuifolia"	"Vicia_villosa"	"Vicia_cracca"	"Lathyrus_nissolia"	"Vicia_angustifolia"	"Vicia_grandiflora"	"Pisum_sativum"	"Vicia_pannonica_spp._pannonica"	"Vicia_pannonica_spp._striata"	"Lathyrus_hirsutus"	"Lathyrus_odoratus"	"Trifolium_pratense"	"Trifolium_striatum"	"Glycyrrhiza_echinata"	"Galega_officinalis"	"Cytisus_scoparius"	"Astragalus_glycyphyllos"	"Trifolium_fragiferum"	"Coronilla_coronata"	"Anthyllis_vulneraria_ssp._polyphylla"	"Onobrychis_arenaria"	"Coronilla_varia"	"Tetragonolobus_maritimus"	"Trifolium_rubens"	"Astragalus_asper"	"Astragalus_onobrychis"	"Astragalus_varius"	"Astragalus_vesicarius"	"Oxytropis_pilosa"	"Trifolium_alpestre"	"Trifolium_diffusum"	"Trifolium_medium"	"Chamaecytisus_hirsutus"	"Chamaecytisus_supinus"	"Cytisus_sessilifolius"	"Genista_pilosa"	"Genista_tinctoria"	"Laburnum_anagyroides"	"Petteria_ramentacea"	"Spartium_junceum"	"Brucchus_affinis"	"Brucchus_atomarius"	"Brucchus_brachialis"	"Brucchus_libanensis"	"Brucchus_loti"	"Brucchus_luteicornis"	"Brucchus_pisorum"	"Brucchus_rufimanus"	"Brucchus_occidentalis"	"Brucchus_tristiculus"	"Brucchus_venustus"	"Brucchus_viciae"	"Bruchidius_dispar"	"Bruchidius_glycyrhizae"	"Bruchidius_imbricornis"	"Bruchidius_lividimanus"	"Bruchidius_marginalis"	"Bruchidius_martinezi"	"Bruchidius_pauper"	"Bruchidius_picipis"	"Bruchidius_poupillieri"	"Bruchidius_pusillus"	"Bruchidius_seminarius"	"Bruchidius_sericatus"	"Bruchidius_varipes"	"Bruchidius_varius"	"Bruchidius_villosus"
"Lathyrus_latifolius"	1.5659574689034	0.636868082985274	0.324570511667015	0.409185047541179	0.409185047541179	0.565957468903401	0.241386957236386	0.241386957236386	0.241386957236386	0.241386957236386	0.241386957236386	0	0	0	0.144499481013465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.44253560740896	2.41386957236386	0	0	0.321109957807701	0	0	0	0	0	0	0.559326967682643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lathyrus_pratensis"	0.424578721990182	2.05364044268894	0.281627487253311	0.449012156957365	0.449012156957365	0.424578721990182	0.142951234736871	0.142951234736871	0.142951234736871	0.142951234736871	0.142951234736871	0	0	0	0.465952033215138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25167772112583	1.42951234736871	0	0	1.03544896270031	0	0	0	0	0	0	1.02020307406831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lathyrus_tuberosus"	0.649141023334031	0.844882461759934	1.49025783497672	0.321811794405071	0.321811794405071	0.649141023334031	0.158883188357307	0.158883188357307	0.158883188357307	0.158883188357307	0.158883188357307	0	0	0	0.191696020735447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.17892371100766	1.58883188357307	0	0	0.425991157189882	0	0	0	0	0	0	0.543095353492544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lathyrus_niger"	0.409185047541179	0.673518235436047	0.160905897202535	1.60807642675053	0.608076426750531	0.409185047541179	0.248279150338643	0.248279150338643	0.248279150338643	0.248279150338643	0.248279150338643	0	0	0	0.152815061821624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.715137320900157	2.48279150338643	0	0	0.339589026270276	0	0	0	0	0	0	1.19932425470629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lathyrus_pannonicus"	0.409185047541179	0.673518235436047	0.160905897202535	0.608076426750531	1.60807642675053	0.409185047541179	0.248279150338643	0.248279150338643	0.248279150338643	0.248279150338643	0.248279150338643	0	0	0	0.152815061821624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.715137320900157	2.48279150338643	0	0	0.339589026270276	0	0	0	0	0	0	1.19932425470629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lathyrus_sylvestris"	0.565957468903401	0.636868082985274	0.324570511667015	0.409185047541179	0.409185047541179	1.5659574689034	0.241386957236386	0.241386957236386	0.241386957236386	0.241386957236386	0.241386957236386	0	0	0	0.144499481013465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.44253560740896	2.41386957236386	0	0	0.321109957807701	0	0	0	0	0	0	0.559326967682643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lathyrus_vernus"	0.482773914472772	0.428853704210614	0.158883188357307	0.496558300677287	0.496558300677287	0.482773914472772	1.32389072611546	0.323890726115464	0.323890726115464	0.323890726115464	0.323890726115464	0	0	0	0.0973029412914839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.706147503810255	3.23890726115464	0	0	0.21622875842552	0	0	0	0	0	0	0.575558581872742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Vicia_cassubica"	0.482773914472772	0.428853704210614	0.158883188357307	0.496558300677287	0.496558300677287	0.482773914472772	0.323890726115464	1.32389072611546	0.323890726115464	0.323890726115464	0.323890726115464	0	0	0	0.0973029412914839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.706147503810255	3.23890726115464	0	0	0.21622875842552	0	0	0	0	0	0	0.575558581872742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Vicia_pisiformis"	0.482773914472772	0.428853704210614	0.158883188357307	0.496558300677287	0.496558300677287	0.482773914472772	0.323890726115464	0.323890726115464	1.32389072611546	0.323890726115464	0.323890726115464	0	0	0	0.0973029412914839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.706147503810255	3.23890726115464	0	0	0.21622875842552	0	0	0	0	0	0	0.575558581872742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Vicia_sepium"	0.482773914472772	0.428853704210614	0.158883188357307	0.496558300677287	0.496558300677287	0.482773914472772	0.323890726115464	0.323890726115464	0.323890726115464	1.32389072611546	0.323890726115464	0	0	0	0.0973029412914839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.706147503810255	3.23890726115464	0	0	0.21622875842552	0	0	0	0	0	0	0.575558581872742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Vicia_sparsifolia"	0.482773914472772	0.428853704210614	0.158883188357307	0.496558300677287	0.496558300677287	0.482773914472772	0.323890726115464	0.323890726115464	0.323890726115464	0.323890726115464	1.32389072611546	0	0	0	0.0973029412914839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.706147503810255	3.23890726115464	0	0	0.21622875842552	0	0	0	0	0	0	0.575558581872742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
