"Ficus_sp1_M_SD_018"	"Ficus_sp3_M_SD_018"	"Dysoxylum_sp2_M_SD_018"	"Elmerillia_tsiampaca"	"Piper_sp2_M_SD_018"	"Elaeocarpus_sp1_M_SD_018"	"Psychotriasp._sp1_M_SD_018"	"Rhus_sp1_M_SD_018"	"Aglaia_sp1_M_SD_018"	"Ficus_dammaropsis"	"Gynotroches_sp1_M_SD_018"	"Myristica_subaluata"	"Symplocos_sp1_M_SD_018"	"Dracantomelon_sp1_M_SD_018"	"Dysoxylum_sp1_M_SD_018"	"Eurya_sp1_M_SD_018"	"Ficus_sp2_M_SD_018"	"Ficus_sp4_M_SD_018"	"Ficus_sp5_M_SD_018"	"Heritiera_sp1_M_SD_018"	"Musa_sp1_M_SD_018"	"Myristica_fatua"	"Osmoxylum_sp1_M_SD_018"	"Pandanus_limbatus"	"Piper_sp1_M_SD_018"	"Poikilospermum_sp1_M_SD_018"	"Schefflera_sp1_M_SD_018"	"Sloanea_sp1_M_SD_018"	"Syzigium_sp1_M_SD_018"	"Manucodia_chalybata"	"Parasidea_raggiana"	"Meliphaga_sp1_M_SD_018"	"Rhyticeros_plicatus"	"Cicinnurus_magnificus"	"Oriolus_szalayi"	"Ailuroedus_buccoides"	"Coracina_boyeri"	"Coracina_schisticeps"	"Ducula_rufigaster"	"Ducula_zoeae"	"Melanocharis_nigra"	"Pitohui_kirhocephalus"	"Ptilinopus_pulchellus"	"Ptilinopus_rivoli"	"Cacatua_galerita"	"Coracina_melaena"	"Cracticus_cassicus"	"Cyclopsittaca_gulielmiterti"	"Dicrurus_hottentottus"	"Glycichaera_fallax"	"Gymnophaps_albertisii"	"Macropygia_amboinensis"	"Melilestes_megarhycus"	"Microdynamis_parva"	"Mino_dumonti"	"Parotia_lawesii"	"Philemon_buceroides"	"Ptilinopus_ornatus"	"Reinwardtoena_reinwardtii"	"Xanthotis_flaviventer"	"Xanthotis_polygramma"
"Gynotroches_sp1_M_SD_018"	0.455938950739645	0.141722352896291	0.190229621289775	0.827685622151197	0.354255458959069	0.0835879697988497	0.333639241693174	0.0252296935925265	0.141071566680204	0.29962924957319	1.54752123259091	0.0523274269373495	0.29962924957319	0.0104454145446766	0.0566357949322569	0.048226373404512	0.0104454145446766	0	0.0311348190277229	0	0.0566357949322569	0.0104454145446766	0	0.0311348190277229	0.0311348190277229	0	0.0652772429399689	0.0652772429399689	0.0938971083953039	0.276753946913093	0.440500627250887	1.18852935664032	0.0464240646430071	0.217590809799896	0.105376610803801	0.0888423735522874	0.0467558885658466	0.0536108341331212	0.208660240878453	0.187635048328771	0.107169718676693	0.0257903534501382	0.0432978363120352	0.820537397988591	0.00756890807775796	0.0285344431934663	0	0	0.00756890807775796	0	0.12415284332268	0.134833162307936	0.134833162307936	0.0182214453723803	0.0586207222379544	0.0235473421218073	0.100091772507952	0.12415284332268	0	0.0586207222379544	0.0586207222379544
"Myristica_subaluata"	0.486960197451303	0.481413330410593	0.455985540739629	0.132704925317908	0.357556782376032	0.147217349921483	0.0613337210774842	0.0857021533258418	0.0622659486330759	0.0550815807118948	0.0523274269373494	1.99423780067234	0.0550815807118948	0.0354817832240746	0.0406995115759192	0.0486757972646363	0.0354817832240746	0	0.186571491400041	0	0.0406995115759192	0.0354817832240746	0	0.186571491400041	0.186571491400041	0	0.012000075862986	0.012000075862986	0.0150547604352249	1.65841325688925	0.316551756701594	0.218490270157183	0.15769681432922	0.0400002528766201	0.192902998978902	0.108525425804131	0.130293830735163	0.112563036087389	0.0334550231893886	0.0479254156825703	0.108168438365859	0.0876066456219716	0.106061204600664	0.0434530809194935	0.0257106459977525	0.0683978311109444	0	0	0.0257106459977525	0	0.0199057387976862	0.0247867113203527	0.0247867113203527	0.061895999624219	0.062609168243739	0.897407010302552	0.0184001163232452	0.0199057387976862	0	0.062609168243739	0.062609168243739
"Symplocos_sp1_M_SD_018"	0.499288472254567	0.143715726660826	0.167957089218544	0.231995654400953	0.389886431448914	0.08610569041655	0.417882527000713	0.0255845579330261	0.0667033632590949	0.375285075399252	0.29962924957319	0.0550815807118948	2.05595734430682	0.0105923329022083	0.0375362255270639	0.053076976382121	0.0105923329022083	0	0.0327735405235774	0	0.0375362255270639	0.0105923329022083	0	0.0327735405235774	0.0327735405235774	0	0.0817596248479657	0.0817596248479657	0.0263188347429652	0.291320360209577	0.291948420766052	1.4886307990837	0.0470770351209257	0.272532082826552	0.107865531814761	0.0960112647857694	0.043671299667745	0.0510252705077466	0.0584862994288116	0.0648158616267356	0.117948836404713	0.0261531036648712	0.0443094434099283	0.169632510468079	0.00767536737990784	0.0251935633827816	0	0	0.00767536737990784	0	0.0347993481601429	0.925180804938067	0.168878283929664	0.0184777362849633	0.0641942321470158	0.0247867113203527	0.125364758100214	0.0347993481601429	0	0.0641942321470158	0.0641942321470158
"Dracantomelon_sp1_M_SD_018"	0.208331701936797	1.07707198793012	0.282750038206291	0.0600823710389824	0.120573051526706	0.153224122059979	0.0235892718904345	0.191742485763384	0.0287581106199901	0.0211846658044166	0.0208908290893532	0.0709635664481492	0.0211846658044166	1.59530739856446	0.0188790331743108	0.0164141465103583	0.595307398564458	0	0.0422233220366488	0	0.0188790331743108	0.595307398564458	0	0.0422233220366488	0.0422233220366488	0	0.00461529232638937	0.00461529232638937	0.0068160673027417	0.375318418103545	0.146836924689084	0.0840325076908523	2.64581066028648	0.0153843077546312	0.207678694428119	0.0676703858928008	0.180893189893388	0.0883797423489374	0.0151468162283149	0.0219535054348429	0.0364758811341296	0.196003429891459	0.184447920780438	0.0184132287460563	0.0575227457290152	0.0424125057309436	0	0	0.0575227457290152	0	0.00901235565584736	0.00953309961198745	0.00953309961198745	0.138480684162444	0.026785504534731	0.0319336049016671	0.00707678156713036	0.00901235565584736	0	0.026785504534731	0.026785504534731
"Dysoxylum_sp1_M_SD_018"	0.582886074137185	0.25614885751318	0.506720091404357	0.676533104292499	0.440163136156334	0.142314052504691	0.0835936934642586	0.0456001262825661	0.348516130797908	0.0750724510541278	0.113271589864514	0.0813990231518385	0.0750724510541278	0.0188790331743108	1.23227562977159	0.0599213681154001	0.0188790331743108	0	0.0484324187753439	0	0.232275629771588	0.0188790331743108	0	0.0484324187753439	0.0484324187753439	0	0.0163552878517028	0.0163552878517028	0.0767495538483087	0.430510389114168	1.8065882315568	0.297787389181373	0.083906814108048	0.0545176261723426	0.183883933494272	0.121923580259547	0.108941438248062	0.118702229462061	0.170554564107353	0.258312224502933	0.133158595812	0.0466134624221787	0.0756276402888161	0.152452181082906	0.0136800378847698	0.0760080137106535	0	0	0.0136800378847698	0	0.101479965643875	0.0337826029743575	0.0337826029743575	0.0329334245374088	0.0749424952462095	0.0366295604183273	0.0250781080392776	0.101479965643875	0	0.0749424952462095	0.0749424952462095
"Eurya_sp1_M_SD_018"	0.327874141529619	0.222705518702269	0.262470276960193	0.203843906451446	1.13621587483124	0.206109805994579	0.118203160584105	0.0396464769557885	0.092389757744041	0.106153952764242	0.0964527468090239	0.0973515945292727	0.106153952764242	0.0164141465103583	0.0599213681154001	1.8353503964056	0.0164141465103583	0	0.0579241987449172	0	0.0599213681154001	0.0164141465103583	0	0.0579241987449172	0.0579241987449172	0	0.0231267053316727	0.0231267053316727	0.0231251490512144	0.514881766621487	0.466055085342001	0.421077345964827	0.0729517622682592	0.0770890177722425	0.110159355002415	0.266351799267996	0.0680041082343207	0.101203483342403	0.0513892201138098	0.0721519769525353	1.85633421423466	0.0405275097770283	0.0904665084886654	0.0739803220317776	0.0118939430867366	0.039370541544029	0	0	0.0118939430867366	0	0.0305765859677169	0.0477692787439089	0.0477692787439089	0.0286335666902917	0.0421552467680939	0.0438082175381727	0.0354609481752316	0.0305765859677169	0	0.0421552467680939	0.0421552467680939
"Ficus_sp2_M_SD_018"	0.208331701936797	1.07707198793012	0.282750038206291	0.0600823710389824	0.120573051526706	0.153224122059979	0.0235892718904345	0.191742485763384	0.0287581106199901	0.0211846658044166	0.0208908290893532	0.0709635664481492	0.0211846658044166	0.595307398564458	0.0188790331743108	0.0164141465103583	1.59530739856446	0	0.0422233220366488	0	0.0188790331743108	0.595307398564458	0	0.0422233220366488	0.0422233220366488	0	0.00461529232638937	0.00461529232638937	0.0068160673027417	0.375318418103545	0.146836924689084	0.0840325076908523	2.64581066028648	0.0153843077546312	0.207678694428119	0.0676703858928008	0.180893189893388	0.0883797423489374	0.0151468162283149	0.0219535054348429	0.0364758811341296	0.196003429891459	0.184447920780438	0.0184132287460563	0.0575227457290152	0.0424125057309436	0	0	0.0575227457290152	0	0.00901235565584736	0.00953309961198745	0.00953309961198745	0.138480684162444	0.026785504534731	0.0319336049016671	0.00707678156713036	0.00901235565584736	0	0.026785504534731	0.026785504534731
"Ficus_sp4_M_SD_018"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ficus_sp5_M_SD_018"	0.579482634967051	0.572881863188605	0.542622793480159	0.15791886112831	0.425492571027478	0.175188646406564	0.0729871280822061	0.101985562457752	0.0740964788733603	0.0655470810471548	0.0622696380554458	0.373142982800081	0.0655470810471548	0.0422233220366488	0.0484324187753439	0.0579241987449172	0.0422233220366488	0	1.22202007476605	0	0.0484324187753439	0.0422233220366488	0	0.222020074766048	0.222020074766048	0	0.0142800902769534	0.0142800902769534	0.0179151649179176	1.97351177569821	0.376696590474897	0.260003421487047	0.187659209051772	0.0476003009231779	0.229554568784894	0.129145256706915	0.155049658574844	0.133950012943993	0.0398114775953724	0.0570312446622587	0.128720441655372	0.104251908290146	0.12621283347479	0.0517091662941972	0.0305956687373255	0.0813934190220238	0	0	0.0305956687373255	0	0.0236878291692466	0.0294961864712197	0.0294961864712197	0.0736562395528207	0.0745049102100494	0.167914342260037	0.0218961384246618	0.0236878291692466	0	0.0745049102100494	0.0745049102100494
"Heritiera_sp1_M_SD_018"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Musa_sp1_M_SD_018"	0.582886074137185	0.25614885751318	0.506720091404357	0.676533104292499	0.440163136156334	0.142314052504691	0.0835936934642586	0.0456001262825661	0.348516130797908	0.0750724510541278	0.113271589864514	0.0813990231518385	0.0750724510541278	0.0188790331743108	0.232275629771588	0.0599213681154001	0.0188790331743108	0	0.0484324187753439	0	1.23227562977159	0.0188790331743108	0	0.0484324187753439	0.0484324187753439	0	0.0163552878517028	0.0163552878517028	0.0767495538483087	0.430510389114168	1.8065882315568	0.297787389181373	0.083906814108048	0.0545176261723426	0.183883933494272	0.121923580259547	0.108941438248062	0.118702229462061	0.170554564107353	0.258312224502933	0.133158595812	0.0466134624221787	0.0756276402888161	0.152452181082906	0.0136800378847698	0.0760080137106535	0	0	0.0136800378847698	0	0.101479965643875	0.0337826029743575	0.0337826029743575	0.0329334245374088	0.0749424952462095	0.0366295604183273	0.0250781080392776	0.101479965643875	0	0.0749424952462095	0.0749424952462095
"Myristica_fatua"	0.208331701936797	1.07707198793012	0.282750038206291	0.0600823710389824	0.120573051526706	0.153224122059979	0.0235892718904345	0.191742485763384	0.0287581106199901	0.0211846658044166	0.0208908290893532	0.0709635664481492	0.0211846658044166	0.595307398564458	0.0188790331743108	0.0164141465103583	0.595307398564458	0	0.0422233220366488	0	0.0188790331743108	1.59530739856446	0	0.0422233220366488	0.0422233220366488	0	0.00461529232638937	0.00461529232638937	0.0068160673027417	0.375318418103545	0.146836924689084	0.0840325076908523	2.64581066028648	0.0153843077546312	0.207678694428119	0.0676703858928008	0.180893189893388	0.0883797423489374	0.0151468162283149	0.0219535054348429	0.0364758811341296	0.196003429891459	0.184447920780438	0.0184132287460563	0.0575227457290152	0.0424125057309436	0	0	0.0575227457290152	0	0.00901235565584736	0.00953309961198745	0.00953309961198745	0.138480684162444	0.026785504534731	0.0319336049016671	0.00707678156713036	0.00901235565584736	0	0.026785504534731	0.026785504534731
"Osmoxylum_sp1_M_SD_018"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0
"Pandanus_limbatus"	0.579482634967051	0.572881863188605	0.542622793480159	0.15791886112831	0.425492571027478	0.175188646406564	0.0729871280822061	0.101985562457752	0.0740964788733603	0.0655470810471548	0.0622696380554458	0.373142982800081	0.0655470810471548	0.0422233220366488	0.0484324187753439	0.0579241987449172	0.0422233220366488	0	0.222020074766048	0	0.0484324187753439	0.0422233220366488	0	1.22202007476605	0.222020074766048	0	0.0142800902769534	0.0142800902769534	0.0179151649179176	1.97351177569821	0.376696590474897	0.260003421487047	0.187659209051772	0.0476003009231779	0.229554568784894	0.129145256706915	0.155049658574844	0.133950012943993	0.0398114775953724	0.0570312446622587	0.128720441655372	0.104251908290146	0.12621283347479	0.0517091662941972	0.0305956687373255	0.0813934190220238	0	0	0.0305956687373255	0	0.0236878291692466	0.0294961864712197	0.0294961864712197	0.0736562395528207	0.0745049102100494	0.167914342260037	0.0218961384246618	0.0236878291692466	0	0.0745049102100494	0.0745049102100494
"Piper_sp1_M_SD_018"	0.579482634967051	0.572881863188605	0.542622793480159	0.15791886112831	0.425492571027478	0.175188646406564	0.0729871280822061	0.101985562457752	0.0740964788733603	0.0655470810471548	0.0622696380554458	0.373142982800081	0.0655470810471548	0.0422233220366488	0.0484324187753439	0.0579241987449172	0.0422233220366488	0	0.222020074766048	0	0.0484324187753439	0.0422233220366488	0	0.222020074766048	1.22202007476605	0	0.0142800902769534	0.0142800902769534	0.0179151649179176	1.97351177569821	0.376696590474897	0.260003421487047	0.187659209051772	0.0476003009231779	0.229554568784894	0.129145256706915	0.155049658574844	0.133950012943993	0.0398114775953724	0.0570312446622587	0.128720441655372	0.104251908290146	0.12621283347479	0.0517091662941972	0.0305956687373255	0.0813934190220238	0	0	0.0305956687373255	0	0.0236878291692466	0.0294961864712197	0.0294961864712197	0.0736562395528207	0.0745049102100494	0.167914342260037	0.0218961384246618	0.0236878291692466	0	0.0745049102100494	0.0745049102100494
"Poikilospermum_sp1_M_SD_018"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0
"Schefflera_sp1_M_SD_018"	0.217550021881465	0.06261983045311	0.0731822793136944	0.101085169187722	0.169881353979571	0.0375179798356896	1.28053384313172	0.0111477060806636	0.0290639959521931	0.163519249695931	0.130554485879938	0.0240001517259721	0.163519249695931	0.00461529232638937	0.0163552878517028	0.0231267053316727	0.00461529232638937	0	0.0142800902769534	0	0.0163552878517028	0.00461529232638937	0	0.0142800902769534	0.0142800902769534	0	1.83749575191708	0.837495751917075	0.0114676452439853	0.126934135795141	0.127207794402133	0.648626357127194	0.0205124103395083	2.79165250639025	0.0469991800543567	0.0418340376670297	0.0190284629553112	0.022232735847761	0.025483656097745	0.0282415735566452	0.0513926785148283	0.0113954328824561	0.0193065150089639	0.0739122940241303	0.00334431182419906	0.0109773418970542	0	0	0.00334431182419906	0	0.0151627753781583	0.0735836623631691	0.0735836623631691	0.008051121058257	0.0279707170990455	0.0108000682766874	0.384160152939515	0.0151627753781583	0	0.0279707170990455	0.0279707170990455
