"Nephrosperma_vanhoutteanum"	"Erythroxylum_sechellarum"	"Memecylon_eleagni"	"Dillenia_ferruginea"	"Soulamea_terminaloides"	"Lasioglossum_mahense"	"Apis_mellifera"	"Unidentified_sp1_M_PL_093"	"Lygistorrhina_sp1_M_PL_093"	"Cratopus_aurostriatus"	"Ornidia_obesa"	"Pachycerina_seychellensis"	"Plagiostenopterina_cyanosoma"	"Unidentified_sp2_M_PL_093"	"Unidentified_sp4_M_PL_093"	"Unidentified_sp5_M_PL_093"	"Hemipyrellia_sp1_M_PL_093"	"Phelsuma_sp1_M_PL_093"	"Unidentified_sp3_M_PL_093"
"Nephrosperma_vanhoutteanum"	2.96160340715437	0.90632355281966	0.428988450583451	0.529682200322216	0.436560283857149	0.736960623189939	0.693000878754899	0.577229708655564	0.543915820427386	0.119178495072499	0.119178495072499	0.163138239507539	0.163138239507539	0.380777580919847	0.119178495072499	0.163138239507539	0.196452127735717	0.380777580919847	0.380777580919847
"Erythroxylum_sechellarum"	1.26885297394752	3.10115919273937	0.392486329019007	0.313621926984085	0.18703747204686	0.897965742259178	0.410322021137511	0.247305101928626	0.721346894200625	0.0705649335714191	0.0705649335714191	0.558208654693086	0.558208654693086	0.163138239507539	0.0705649335714191	0.558208654693086	0.0841668624210869	0.163138239507539	0.163138239507539
"Memecylon_eleagni"	1.50145957704208	0.981215822547517	1.68220144202662	0.876955801545723	0.221325251574902	1.12665429973309	1.14735050702232	0.292641165971259	0.369663650821106	0.197315055347788	0.197315055347788	0.176618848058553	0.176618848058553	0.193044802762553	0.197315055347788	0.176618848058553	0.0995963632087057	0.193044802762553	0.193044802762553
"Dillenia_ferruginea"	0.926943850563877	0.392027408730106	0.438477900772862	3.36907096961873	0.136637765051272	0.387058483991705	1.0745345185845	0.180665489345571	0.189743428643918	0.758040968164213	0.758040968164213	0.0705649335714191	0.0705649335714191	0.119178495072499	0.758040968164213	0.0705649335714191	0.0614869942730725	0.119178495072498	0.119178495072499
"Soulamea_terminaloides"	1.52796099350002	0.46759368011715	0.221325251574902	0.273275530102544	2.77300243944222	0.38021535336551	0.357535485217495	1.44430322548472	0.280618990156804	0.0614869942730725	0.0614869942730725	0.0841668624210869	0.0841668624210869	0.196452127735717	0.0614869942730725	0.0841668624210869	1.247851097749	0.196452127735717	0.196452127735717
"Lasioglossum_mahense"	1.71957478744319	1.49660957043196	0.751102866488724	0.516077978655607	0.253476902243673	1.82847419955466	0.675202022074419	0.335152792966635	0.490477909634735	0.116117545197512	0.116117545197512	0.269389722677753	0.269389722677753	0.221088186956982	0.116117545197512	0.269389722677753	0.114064606009653	0.221088186956982	0.221088186956982
"Apis_mellifera"	1.6170020504281	0.683870035229185	0.76490033801488	1.432712691446	0.238356990144997	0.675202022074419	1.87446577130852	0.315160909191718	0.330996869967723	0.32236035557535	0.32236035557535	0.123096606341253	0.123096606341253	0.20790026362647	0.32236035557535	0.123096606341253	0.107260645565249	0.20790026362647	0.20790026362647
"Unidentified_sp1_M_PL_093"	2.02030398029447	0.618262754821565	0.292641165971259	0.361330978691142	1.44430322548472	0.502729189449952	0.472741363787577	1.90968982036313	0.371040664762885	0.081299470205507	0.081299470205507	0.111287295867882	0.111287295867882	0.259753368895004	0.081299470205507	0.111287295867882	0.649936451468123	0.259753368895004	0.259753368895004
"Lygistorrhina_sp1_M_PL_093"	1.90370537149585	1.80336723550156	0.369663650821106	0.379486857287835	0.280618990156804	0.735716864452103	0.496495304951584	0.371040664762886	1.56936822158261	0.0853845428897629	0.085384542889763	0.324606102390281	0.324606102390281	0.244762119192324	0.0853845428897629	0.324606102390281	0.126278545570562	0.244762119192324	0.244762119192324
"Cratopus_aurostriatus"	0.83424946550749	0.352824667857096	0.394630110695575	3.03216387265685	0.122973988546145	0.348352635592535	0.96708106672605	0.162598940411014	0.170769085779526	1.68223687134779	0.682236871347792	0.0635084402142772	0.0635084402142772	0.107260645565249	0.682236871347792	0.0635084402142772	0.0553382948457652	0.107260645565249	0.107260645565249
