"Cavendishia_melastomoides"	"Dendropanax_sp1_M_SD_019"	"Xylosma_flexuosa"	"Prunus_anularis"	"Maytenus_sp1_M_SD_019"	"Solanum_cordovense"	"Miconia_sp1_M_SD_019"	"Blakea_grasilis"	"Ossaea_micrantha"	"Beilschmiedia_costaricensis"	"Trophis_mexicana"	"Guarea_tonduzii"	"Ilex_lamprophylla"	"Eugenia_sp1_M_SD_019"	"Hieronyma_guatemalensis"	"Zanthoxylum_culantrillo"	"Nectandra_davidsoniana"	"Witheringia_solanacea"	"Matayba_apetala"	"Palicourea_galeottiana"	"Symplocarpon_brenesii"	"Trema_micrantha"	"Cestrum_sp1_M_SD_019"	"Ocotea_sp1_M_SD_019"	"Ocotea_tonduzii"	"Prunus_sp1_M_SD_019"	"Unidentified_sp1_M_SD_019"	"Beilschmiedia_sp2_M_SD_019"	"Cestrum_racemosum"	"Concostegia_xalapensis"	"Gonzalagunia_rosea"	"Piper_sp1_M_SD_019"	"Solanum_umbellatum"	"Citharexylum_macradenium"	"Clibadium_sp1_M_SD_019"	"Clusia_alata"	"Concostegia_bernouliana"	"Dipholis_parvifolia"	"Guatteria_consanguinea"	"Hampea_appendiculata"	"Hasseltia_floribunda"	"Lycianthes_multiflora"	"Nectandra_gentlei"	"Nectandra_hypoglauca"	"Symplocos_sp2_M_SD_019"	"Witheringia_coccoloboides"	"Xylosma_chloranthum"	"Acnistus_arborescens"	"Anthurium_sp1_M_SD_019"	"Ardisia_palmana"	"Besleria_triflora"	"Bunchosia_sp1_M_SD_019"	"Cecropia_obtusifolia"	"Chamaedorea_sp1_M_SD_019"	"Citharexylum_integerrimum"	"Drymonia_conchocalyx"	"Guettarda_poasana"	"Neea_amplifolia"	"Ossaea_sp1_M_SD_019"	"Palicourea_sp1_M_SD_019"	"Phoebe_mexicana"	"Phytolacca_rivinoides"	"Phytolacca_sp1_M_SD_019"	"Piper_auritum"	"Solanum_hispidum"	"Stemmadenia_glabra"	"Burmeistera_sp1_M_SD_019"	"Cavendishia_capitulata"	"Cavendishia_complectans"	"Cepahaelis_elata"	"Concostegiaspeciosa_sp1_M_SD_019"	"Dendropanax_querceti"	"Mappia_sp1_M_SD_019"	"Ocotea_bernouliana"	"Prunus_cornifolia"	"Rapanea_myricoides"	"Rubus_rosaefolia"	"Schefflera_robusta"	"Unidentified_sp4_M_SD_019"	"Xylosma_intermedium"	"Bunchosia_pilosa"	"Casearia_sylvestris"	"Clibadium_sp2_M_SD_019"	"Concostegia_puberrula"	"Coussarea_sp1_M_SD_019"	"Dendropanax_arboreus"	"Epiphyte_sp1_M_SD_019"	"Faramea_quercetorum"	"Guarea_glabra"	"Hamelia_patens"	"Hoffmannia_sp2_M_SD_019"	"Meliosma_idiopoda"	"Ocotea_austinii"	"Oreopanax_oerstedianum"	"Oreopanax_xalapensis"	"Paullinia_sp1_M_SD_019"	"Psychotria_parasitica"	"Psychotria_sp3_M_SD_019"	"Satyria_sp1_M_SD_019"	"Siparuna_sp1_M_SD_019"	"Symplocos_limoncillo"	"Unidentified_sp3_M_SD_019"	"Unidentified_sp7_M_SD_019"	"Urera_elata"	"Viburnum_costraricanum"	"Witheringia_maculata"	"Alloplectus_tetragonus"	"Anthurium_sp2_M_SD_019"	"Anthurium_sp3_M_SD_019"	"Ardisia_compressa"	"Beilschmiedia_sp1_M_SD_019"	"Besleria_formosa"	"Besleria_sp1_M_SD_019"	"Bocconia_frutescens"	"Campelia_zanonia"	"Cavendishia_sp1_M_SD_019"	"Cestrum_megalophyllum"	"Chione_costaricensis"	"Columbrina_celtififolia"	"Coussarea_austin-smithii"	"Cupania_glabra"	"Daphnopsis_americana"	"Dendropanax_gonatopodus"	"Didymopanax_pittieri"	"Drymonia_rubra"	"Erythroxylon_amplum"	"Eugenia_sp2_M_SD_019"	"Ficus_pertusa"	"Ficus_tuerckheimii"	"Gaiadendron_punctatum"	"Guarea_tuisiana"	"Hoffmannia_sp1_M_SD_019"	"Hoffmannia_sp3_M_SD_019"	"Lasiacis_sp1_M_SD_019"	"Liana_sp1_M_SD_019"	"Linociera_dominguensis"	"Lycianthes_synanthera"	"Malvaviscus_arboreus"	"Mappia_racemosa"	"Marcgravia_brownei"	"Nectandra_salicina"	"Nectandra_sp1_M_SD_019"	"Nectandra_sp2_M_SD_019"	"Ocotea_klotzschtana"	"Ocotea_sp2_M_SD_019"	"Ocotea_sp3_M_SD_019"	"Ocotea_wachenheimii"	"Oreopanax_sp1_M_SD_019"	"Perrotettia_longistylis"	"Persea_sp1_M_SD_019"	"Persea_sp2_M_SD_019"	"Persea_veraguensis"	"Phoebe_neurophylla"	"Picramnia_carpinterae"	"Psychotria_acuminata"	"Psychotria_sp1_M_SD_019"	"Psychotria_sp2_M_SD_019"	"Sapium_oligoneuron"	"Smilax_sp1_M_SD_019"	"Solanum_nudum"	"Symplocos_sp1_M_SD_019"	"Tabernaemontana_sp1_M_SD_019"	"Torrubia_costaricana"	"Tournefortia_glabra"	"Unidentified_sp2_M_SD_019"	"Unidentified_sp5_M_SD_019"	"Unidentified_sp6_M_SD_019"	"Unidentified_sp8_M_SD_019"	"Witheringia_sp1_M_SD_019"	"Aulacorhynchus_prasinus"	"Myadestes_melanops"	"Turdus_plebejus"	"Pharomachrus_mocinno"	"Chiroxiphia_linearis"	"Semnornis_frantzii"	"Procnias_tricarunculata"	"Chlorospingus_ophthalmicus"	"Chamaepetes_unicolor"	"Elaenia_frantzii"	"Ramphastos_sulfuratus"	"Chlorophonia_callophrys"	"Tityra_semifasciata"	"Trogon_aurantiiventris"	"Catharus_ustulatus"	"Phainoptila_melanoxantha"	"Psilhorinus_morio"	"Tangara_dowii"	"Turdus_assimilis"	"Columba_fasciata"	"Megarhynchus_pitangua"	"Turdus_grayi"	"Mionectes_olivaceus"	"Momotus_momota"	"Myiarchus_tuberculifer"	"Myiozetetes_similis"	"Atlapetes_gutturalis"	"Euphonia_hirundinacea"	"Myiodynastes_luteiventris"	"Piculus_rubiginosus"	"Melanerpes_aurifrons"	"Melozone_leucotis"	"Thrauphis_episcopus"	"Columba_flavirostris"	"Dacnis_venusta"	"Elaenia_flavogaster"	"Icterus_galbula"	"Pheucticus_ludovicianus"	"Piranga_rubra"	"Tangara_icterocephala"
"Cavendishia_melastomoides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0166666666666667	0.0166666666666667	0.0166666666666667	0	0.0166666666666667	0	0	0.0166666666666667	0	0.0166666666666667	0	0	0.0166666666666667	0.0166666666666667	0.0166666666666667	0	0.0166666666666667	0	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0
"Dendropanax_sp1_M_SD_019"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0	0	0.0238095238095238	0	0.0238095238095238	0.0238095238095238	0	0	0	0.0238095238095238	0	0	0	0.0238095238095238	0	0.0238095238095238	0	0.0238095238095238	0	0	0	0	0.0238095238095238	0	0	0
"Xylosma_flexuosa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0.025	0.025	0	0.025	0	0.025	0	0.025	0.025	0	0.025	0.025	0	0	0	0.025	0	0.025	0	0	0	0	0.025	0.025	0	0	0.025	0	0	0.025	0	0.025	0	0.025	0.025	0	0.025	0.025	0
"Prunus_anularis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0263157894736842	0	0.0263157894736842	0	0	0	0	0.0263157894736842	0	0.0263157894736842	0	0	0.0263157894736842	0	0	0	0.0263157894736842	0	0	0.0263157894736842	0.0263157894736842	0	0	0.0263157894736842	0	0.0263157894736842	0	0	0.0263157894736842	0.0263157894736842	0.0263157894736842	0	0	0.0263157894736842	0.0263157894736842	0.0263157894736842	0	0.0263157894736842	0.0263157894736842	0.0263157894736842
"Maytenus_sp1_M_SD_019"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0294117647058824	0	0.0294117647058824	0.0294117647058824	0.0294117647058824	0	0	0.0294117647058824	0	0.0294117647058824	0	0	0	0	0.0294117647058824	0	0.0294117647058824	0	0.0294117647058824	0.0294117647058824	0.0294117647058824	0.0294117647058824	0	0.0294117647058824	0.0294117647058824	0	0.0294117647058824	0	0	0	0	0	0.0294117647058824	0.0294117647058824	0	0	0	0	0	0
"Solanum_cordovense"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03125	0.03125	0.03125	0.03125	0.03125	0.03125	0.03125	0	0.03125	0	0.03125	0	0.03125	0.03125	0.03125	0	0	0	0.03125	0	0.03125	0.03125	0	0	0	0	0	0	0.03125	0	0	0	0	0	0	0	0	0	0	0
"Miconia_sp1_M_SD_019"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0	0.0333333333333333	0	0	0	0.0333333333333333	0	0	0.0333333333333333	0	0	0	0.0333333333333333	0.0333333333333333	0	0	0	0	0.0333333333333333	0.0333333333333333	0	0	0	0.0333333333333333	0.0333333333333333	0.0333333333333333	0.0333333333333333	0	0	0	0.0333333333333333	0	0	0	0	0.0333333333333333	0.0333333333333333	0	0
"Blakea_grasilis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0357142857142857	0.0357142857142857	0.0357142857142857	0.0357142857142857	0.0357142857142857	0	0.0357142857142857	0.0357142857142857	0	0.0357142857142857	0	0.0357142857142857	0	0.0357142857142857	0	0	0	0.0357142857142857	0.0357142857142857	0.0357142857142857	0	0	0	0	0	0	0	0	0.0357142857142857	0	0	0	0	0	0	0	0	0	0	0
"Ossaea_micrantha"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0357142857142857	0.0357142857142857	0.0357142857142857	0.0357142857142857	0.0357142857142857	0.0357142857142857	0.0357142857142857	0	0.0357142857142857	0	0	0.0357142857142857	0.0357142857142857	0.0357142857142857	0.0357142857142857	0	0	0	0.0357142857142857	0.0357142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Beilschmiedia_costaricensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0416666666666667	0.0416666666666667	0.0416666666666667	0	0	0	0	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0	0	0	0	0	0.0416666666666667	0	0	0	0.0416666666666667	0	0	0	0	0.0416666666666667	0	0	0	0	0.0416666666666667	0	0	0	0	0	0	0	0
