"Crataegus_monogyna"	"Juniperus_communis"	"Juniperus_sabina"	"Rosa_canina"	"Berberis_vulgaris"	"Juniperus_phoenicea"	"Hedera_helix"	"Lonicera_arborea"	"Taxus_baccata"	"Prunus_prostrata"	"Rhamnus_myrtifolius"	"Rhamnus_saxatilis"	"Turdus_merula"	"Turdus_viscivorus"	"Turdus_iliacus"	"Turdus_torquatus"
"Crataegus_monogyna"	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0.125	0.125	0.125
"Juniperus_communis"	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0.125	0.125	0.125
"Juniperus_sabina"	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0.125	0.125	0.125
"Rosa_canina"	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0.125	0.125	0.125
"Berberis_vulgaris"	0	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0.166666666666667	0.166666666666667	0
"Juniperus_phoenicea"	0	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0.166666666666667	0	0.166666666666667
"Hedera_helix"	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0
"Lonicera_arborea"	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0.25
"Taxus_baccata"	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0
"Prunus_prostrata"	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0
"Rhamnus_myrtifolius"	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0
"Rhamnus_saxatilis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0
"Turdus_merula"	0.0454545454545455	0.0454545454545455	0.0454545454545455	0.0454545454545455	0.0454545454545455	0.0454545454545455	0.0454545454545455	0.0454545454545455	0.0454545454545455	0.0454545454545455	0.0454545454545455	0	0	0	0	0
"Turdus_viscivorus"	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0	0.0625	0	0	0	0	0	0	0
"Turdus_iliacus"	0.0833333333333333	0.0833333333333333	0.0833333333333333	0.0833333333333333	0.0833333333333333	0	0	0	0	0	0	0.0833333333333333	0	0	0	0
"Turdus_torquatus"	0.0833333333333333	0.0833333333333333	0.0833333333333333	0.0833333333333333	0	0.0833333333333333	0	0.0833333333333333	0	0	0	0	0	0	0	0
