"Nephrosperma_vanhoutteanum"	"Phoenicophorium_borsigianum"	"Erythroxylum_sechellarum"	"Syzygium_wrightii"	"Dillenia_ferruginea"	"Chrysobalanus_icaco"	"Mimusops_sechellarum"	"Roscheria_melanochaetes"	"Dracaena_reflexa"	"Paragenipa_wrightii"	"Northea_hornei"	"Apis_mellifera"	"Lasioglossum_mahense"	"Nectarinia_dussumieri"	"Phelsuma_sp1_M_PL_120"	"Unidentified_sp2_M_PL_120"	"Unidentified_sp4_M_PL_120"	"Neophyllomyza_approximatonervis"	"Xylocopa_caffra"	"Dichaetomyia_fasciculifera"	"Ornidia_obesa"	"Lygistorrhina_sp1_M_PL_120"	"Eagris_sabadius"	"Hemipyrellia_germana"	"Unidentified_sp3_M_PL_120"	"Cratopus_aurostriatus"	"Megachile_seychellensis"	"Rhynchium_brunneum"	"Scaptodrosophila_sp1_M_PL_120"	"Unidentified_sp1_M_PL_120"
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0	0	0	0	0	0	0.0833333333333333	0.0833333333333333	0	0.0833333333333333	0.0833333333333333	0	0	0	0.0833333333333333	0	0	0	0	0	0	0.0833333333333333	0	0	0
"Phoenicophorium_borsigianum"	0	0	0	0	0	0	0	0	0	0	0	0.0833333333333333	0.0833333333333333	0	0.0833333333333333	0	0.0833333333333333	0	0	0	0	0.0833333333333333	0	0	0	0.0833333333333333	0	0	0	0
"Erythroxylum_sechellarum"	0	0	0	0	0	0	0	0	0	0	0	0.125	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0.125	0
"Syzygium_wrightii"	0	0	0	0	0	0	0	0	0	0	0	0.0714285714285714	0.0714285714285714	0.0714285714285714	0	0	0	0	0.0714285714285714	0	0.0714285714285714	0	0.0714285714285714	0.0714285714285714	0	0	0	0	0	0
"Dillenia_ferruginea"	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0	0	0	0	0	0
"Chrysobalanus_icaco"	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0	0.166666666666667	0	0	0	0	0	0	0.166666666666667	0	0	0	0	0	0	0	0	0
"Mimusops_sechellarum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Roscheria_melanochaetes"	0	0	0	0	0	0	0	0	0	0	0	0.0833333333333333	0.0833333333333333	0	0	0.0833333333333333	0	0.0833333333333333	0	0	0	0	0	0	0.0833333333333333	0	0	0	0	0.0833333333333333
"Dracaena_reflexa"	0	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0	0	0	0	0.166666666666667	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0
"Paragenipa_wrightii"	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Northea_hornei"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
