"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"	"C14"	"C15"	"C16"	"C17"	"C18"	"C19"	"C20"	"C21"	"C22"	"C23"	"C24"
"R1"	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"R2"	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"R3"	0	0	0	0	0	0	0	0	0	0	0	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0	0	0
"R4"	0	0	0	0	0	0	0	0	0	0	0	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0	0	0
"R5"	0	0	0	0	0	0	0	0	0	0	0	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0	0	0
"R6"	0	0	0	0	0	0	0	0	0	0	0	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0	0	0
"R7"	0	0	0	0	0	0	0	0	0	0	0	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0	0	0
"R8"	0	0	0	0	0	0	0	0	0	0	0	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0	0	0
"R9"	0	0	0	0	0	0	0	0	0	0	0	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0238095238095238	0	0	0
"R10"	0	0	0	0	0	0	0	0	0	0	0	0.0208333333333333	0.0208333333333333	0.0208333333333333	0.0208333333333333	0.0208333333333333	0.0208333333333333	0.0208333333333333	0.0208333333333333	0.0208333333333333	0.0208333333333333	0.0208333333333333	0.0208333333333333	0.0208333333333333	0.0208333333333333	0.0208333333333333	0.0208333333333333	0.0208333333333333	0.0208333333333333	0.0208333333333333	0.0208333333333333	0.0208333333333333	0.0208333333333333	0.0208333333333333	0.0208333333333333
