"Clethrionomys_glareolus"	"Apodemus_uralensis"	"Microtus_arvalis"	"Sorex_araneus"	"Crocidura_suaveolens"	"Arvicola_terrestris"	"Cricetus_cricetus"	"Microtus_oeconomus"	"Allocricetulus_eversmanni"	"Micromys_minutus"	"Lagurus_lagurus"	"Sicista_subtilis"	"Ctenophthalmus_wagneri"	"Nosopsyllus_consimilis"	"Megabothris_turbidus"	"Amphipsylla_rossica"	"Nosopsyllus_mokrzeckyi"	"Leptopsylla_taschenbergi"	"Amalaraeus_penicilliger"	"Peromyscopsylla_bidentata"	"Ctenophthalmus_breviatus"	"Palaeopsylla_soricis"	"Corrodopsylla_birulai"	"Megabothris_walkeri"	"Leptopsylla_segnis"	"Hystrichopsylla_talpae"
"Clethrionomys_glareolus"	0	0	0	0	0	0	0	0	0	0	0	0	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385
"Apodemus_uralensis"	0	0	0	0	0	0	0	0	0	0	0	0	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0	0.0384615384615385	0.0384615384615385	0.0384615384615385
"Microtus_arvalis"	0	0	0	0	0	0	0	0	0	0	0	0	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0	0.0416666666666667	0.0416666666666667	0.0416666666666667
"Sorex_araneus"	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05	0.05	0.05	0	0	0.05	0	0.05	0.05	0.05	0.05	0	0.05
"Crocidura_suaveolens"	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0.125	0	0	0	0	0	0.125	0	0	0.125	0	0	0
"Arvicola_terrestris"	0	0	0	0	0	0	0	0	0	0	0	0	0.0833333333333333	0	0.0833333333333333	0.0833333333333333	0	0	0.0833333333333333	0	0.0833333333333333	0	0	0.0833333333333333	0	0
"Cricetus_cricetus"	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0
"Microtus_oeconomus"	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0.125	0.125	0	0	0	0	0	0	0	0.125	0	0
"Allocricetulus_eversmanni"	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0
"Micromys_minutus"	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0
"Lagurus_lagurus"	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0
