"Sideroxylon_cinereum"	"Croton_fothergillifolius"	"Dodonaea_viscosa"	"Trochetia_blackburniana"	"Psiadia_terebinthina"	"Erythroxylum_macrocarpum"	"Claoxylon_linostachys"	"Apis_mellifera"	"Chaetocnema_sp1_M_PL_072"	"Fannia_pusio"	"Stomoxys_calcitrans"	"Stomorhina_lunata"	"Stomoxys_niger"	"Musca_domestica"	"Ophyra_capensis"	"Dysauxes_florida"	"Melanostoma_annulipes"	"Nacoleia_sp2_M_PL_072"	"Pachycerina_crinicornis"	"Nacoleia_sp1_M_PL_072"	"Orchisia_costata"	"Ceratitis_roas"	"Chrysomya_megacephala"	"Diptera_sp1_M_PL_072"	"Diptera_sp2_M_PL_072"	"Eristalinus_flaveolus"	"Graphomya_maculata"	"Henotesia_narcissus"	"Homoneura_sp1_M_PL_072"	"Homoneura_sp2_M_PL_072"	"Limnophora_quaterna"	"Lygistorrhina_sp1_M_PL_072"	"Orthellia_albigena"	"Paragus_borbonicus"	"Phorinia_sp1_M_PL_072"	"Sapromyza_sp1_M_PL_072"	"Technomyrmex_albipes"	"Unidentified_sp1_M_PL_072"
"Eristalinus_flaveolus"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Graphomya_maculata"	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Henotesia_narcissus"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Homoneura_sp1_M_PL_072"	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Homoneura_sp2_M_PL_072"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Limnophora_quaterna"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lygistorrhina_sp1_M_PL_072"	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Orthellia_albigena"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Paragus_borbonicus"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phorinia_sp1_M_PL_072"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sapromyza_sp1_M_PL_072"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Technomyrmex_albipes"	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_PL_072"	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
