"Syzygium_glomeratum"	"Stillingia_lineata"	"Badula_insularis"	"Aphloia_theiformis"	"Syzygium_petrinese"	"Diospyros_revaughanii"	"Pleurostylia_leucocarpa"	"Calophyllum_eputamen"	"Pandanus_rigidifolius"	"Turraea_rigida"	"Xyris_sp1_M_PL_071"	"Apis_mellifera"	"Stomorhina_lunata"	"Musca_domestica"	"Chrysomya_megacephala"	"Ophyra_capensis"	"Paragus_borbonicus"	"Eristalinus_flaveolus"	"Ornidia_obesa"	"Phelsuma_cepediana"	"Polistes_hebraeus"	"Phorinia_sp1_M_PL_071"	"Trirhithrum_sp1_M_PL_071"	"Sepsis_lateralis"	"Episyrphus_sp1_M_PL_071"	"Graphomya_maculata"	"Lygistorrhina_sp1_M_PL_071"	"Syritta_sp1_M_PL_071"	"Lecithoceridae_sp1_M_PL_071"	"Nacoleia_sp1_M_PL_071"	"Pachycerina_crinicornis"	"Paleorhiza_sp1_M_PL_071"	"Scolia_carniflex"	"Simulium_sp1_M_PL_071"	"Simulium_sp2_M_PL_071"	"Zizeeria_knysa"	"Zosterops_mauritianus"
"Syzygium_glomeratum"	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0.0625	0.0625	0	0.0625	0.0625	0	0	0	0.0625	0	0	0.0625	0	0	0	0.0625	0	0	0	0	0	0	0	0
"Stillingia_lineata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0.0625	0.0625	0	0	0	0	0	0	0.0625	0.0625	0	0.0625	0	0	0	0	0.0625	0	0	0	0.0625	0	0
"Badula_insularis"	0	0	0	0	0	0	0	0	0	0	0	0.0555555555555556	0.0555555555555556	0.0555555555555556	0.0555555555555556	0	0	0.0555555555555556	0.0555555555555556	0	0	0.0555555555555556	0.0555555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0.0555555555555556	0
"Aphloia_theiformis"	0	0	0	0	0	0	0	0	0	0	0	0.0555555555555556	0.0555555555555556	0.0555555555555556	0.0555555555555556	0.0555555555555556	0.0555555555555556	0.0555555555555556	0.0555555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0555555555555556	0	0	0	0
"Syzygium_petrinese"	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0.125	0.125	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0
"Diospyros_revaughanii"	0	0	0	0	0	0	0	0	0	0	0	0.125	0.125	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0
"Pleurostylia_leucocarpa"	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0.0625	0	0.0625	0.0625	0	0	0	0	0	0.0625	0	0	0	0.0625	0.0625	0	0	0	0	0	0.0625	0	0	0
"Calophyllum_eputamen"	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0	0	0.1	0	0.1	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pandanus_rigidifolius"	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0.166666666666667	0	0	0	0	0	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Turraea_rigida"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
"Xyris_sp1_M_PL_071"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
