"Apodemus_agrarius"	"Microtus_fortis"	"Apodemus_peninsulae"	"Crocidura_suaveolens"	"Tamias_sibiricus"	"Megabothris_calcarifer"	"Ctenophthalmus_congeneroides"	"Neopsylla_bidentatiformis"	"Stenoponia_sidimi"	"Nosopsyllus_fasciatus"	"Ceratophyllus_anisus"	"Rhadinopsylla_insolita"	"Peromyscopsylla_ostsibirica"	"Hystrichopsylla_microti"
"Apodemus_agrarius"	0	0	0	0	0	0.0555555555555556	0.0555555555555556	0.0555555555555556	0.0555555555555556	0.0555555555555556	0.0555555555555556	0.0555555555555556	0.0555555555555556	0.0555555555555556
"Microtus_fortis"	0	0	0	0	0	0.125	0.125	0.125	0	0	0	0.125	0	0
"Apodemus_peninsulae"	0	0	0	0	0	0.125	0.125	0.125	0	0.125	0	0	0	0
"Crocidura_suaveolens"	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0
"Tamias_sibiricus"	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0
"Megabothris_calcarifer"	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_congeneroides"	0.166666666666667	0.166666666666667	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_bidentatiformis"	0.166666666666667	0.166666666666667	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0
"Stenoponia_sidimi"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nosopsyllus_fasciatus"	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0
"Ceratophyllus_anisus"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_insolita"	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0
"Peromyscopsylla_ostsibirica"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hystrichopsylla_microti"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
