"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"C1"	"C2"	"C3"
"R1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0.166666666666667	0.166666666666667
"R2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25
"R3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25
"R4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25
"R5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25
"R6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25
"R7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25
"R8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25
"R9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25
"R10"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25
"R11"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25
"R12"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
"R13"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25
"R14"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
"R15"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
"R16"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
"R17"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
"C1"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C2"	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0	0.0416666666666667	0	0	0	0	0	0	0
"C3"	0.0294117647058824	0.0294117647058824	0.0294117647058824	0.0294117647058824	0.0294117647058824	0.0294117647058824	0.0294117647058824	0.0294117647058824	0.0294117647058824	0.0294117647058824	0.0294117647058824	0.0294117647058824	0.0294117647058824	0.0294117647058824	0.0294117647058824	0.0294117647058824	0.0294117647058824	0	0	0
