"Echium_wildpretii"	"Pimpinella_cumbrae"	"Pterocephalus_lasiospermus"	"Mentha_longifolia"	"Erysimum_scoparium"	"Spartocytisus_supranubius"	"Tolpis_webbii"	"Argyranthemum_teneriffae"	"Scrophularia_glabrata"	"Nepeta_teydea"	"Adenocarpus_viscosus"	"Anastoechus_latifrons"	"Anthophora_alluaudi"	"Apis_mellifera"	"Euodynerus_reflexus"	"Geron_hesperidon"	"Eristalis_tenax"	"Megachile_canariensis"	"Anthrax_anthrax"	"Eucera_gracilipes"	"Hyleaus_canariensis"	"Lasioglossum_viride"	"Linnaemyia_soror"	"Cephalodromia_sp1_M_PL_008"	"Cyclyrius_webbianus"	"Estheria_simonyi"	"Lasioglossum_actifrons"	"Melecta_curvispina"	"Osmia_canariensis"	"Andrena_wollestoni"	"Colletes_dimidiatus"	"Gasteruption_sp1_M_PL_008"	"Lucilia_sericata"	"Macroglossum_stellatarum"	"Scaeva_albomaculata"	"Stomorhina_lunata"	"Unidentified_sp1_M_PL_008"	"Anthidium_manicatum"	"Bibio_elmoi"	"Dermasothes_gracile"	"Drosophila_sp1_M_PL_008"	"Lasioglossum_chalcodes"	"Leptochilus_eatoni"	"Nyctia_lugubris"	"Peleteria_ruficornis"	"Phylloscopus_collybita"	"Serinus_canarius"	"Tachina_canariensis"	"Tachysphex_unicolor"
"Scaeva_albomaculata"	0	0	0.25	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Stomorhina_lunata"	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_PL_008"	0.25	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthidium_manicatum"	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bibio_elmoi"	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dermasothes_gracile"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drosophila_sp1_M_PL_008"	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lasioglossum_chalcodes"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Leptochilus_eatoni"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nyctia_lugubris"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Peleteria_ruficornis"	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phylloscopus_collybita"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Serinus_canarius"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tachina_canariensis"	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tachysphex_unicolor"	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
