"Entacmaea_quadricolor"	"Heteractis_crispa"	"Heteractis_magnifica"	"Stichodactyla_mertensii"	"Heteractis_aurora"	"Heteractis_malu"	"Amphiprion_clarkii"	"Amphiprion_perideraion"	"Amphiprion_ocellaris"	"Amphiprion_sandaracinos"	"Premnas_biaculeatus"
"Entacmaea_quadricolor"	0	0	0	0	0	0	0.25	0	0	0	0.25
"Heteractis_crispa"	0	0	0	0	0	0	0.25	0.25	0	0	0
"Heteractis_magnifica"	0	0	0	0	0	0	0	0.25	0.25	0	0
"Stichodactyla_mertensii"	0	0	0	0	0	0	0.25	0	0	0.25	0
"Heteractis_aurora"	0	0	0	0	0	0	0.5	0	0	0	0
"Heteractis_malu"	0	0	0	0	0	0	0.5	0	0	0	0
"Amphiprion_clarkii"	0.1	0.1	0	0.1	0.1	0.1	0	0	0	0	0
"Amphiprion_perideraion"	0	0.25	0.25	0	0	0	0	0	0	0	0
"Amphiprion_ocellaris"	0	0	0.5	0	0	0	0	0	0	0	0
"Amphiprion_sandaracinos"	0	0	0	0.5	0	0	0	0	0	0	0
"Premnas_biaculeatus"	0.5	0	0	0	0	0	0	0	0	0	0
