"Entacmaea_quadricolor"	"Heteractis_aurora"	"Heteractis_crispa"	"Heteractis_magnifica"	"Stichodactyla_mertensii"	"Amphiprion_melanopus"	"Amphiprion_clarkii"	"Amphiprion_perideraion"	"Amphiprion_ocellaris"	"Amphiprion_sandaracinos"
"Entacmaea_quadricolor"	0	0	0	0	0	0.5	0	0	0	0
"Heteractis_aurora"	0	0	0	0	0	0	0.5	0	0	0
"Heteractis_crispa"	0	0	0	0	0	0	0.25	0.25	0	0
"Heteractis_magnifica"	0	0	0	0	0	0	0	0.25	0.25	0
"Stichodactyla_mertensii"	0	0	0	0	0	0	0.25	0	0	0.25
"Amphiprion_melanopus"	0.5	0	0	0	0	0	0	0	0	0
"Amphiprion_clarkii"	0	0.166666666666667	0.166666666666667	0	0.166666666666667	0	0	0	0	0
"Amphiprion_perideraion"	0	0	0.25	0.25	0	0	0	0	0	0
"Amphiprion_ocellaris"	0	0	0	0.5	0	0	0	0	0	0
"Amphiprion_sandaracinos"	0	0	0	0	0.5	0	0	0	0	0
