"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"C1"	"C2"	"C3"	"C4"
"R1"	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0
"R2"	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0
"R3"	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0
"R4"	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0
"R5"	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0
"R6"	0	0	0	0	0	0	0	0	0	0.166666666666667	0.166666666666667	0.166666666666667	0
"R7"	0	0	0	0	0	0	0	0	0	0	0	0	0.5
"R8"	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0
"R9"	0	0	0	0	0	0	0	0	0	0	0	0.5	0
"C1"	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0	0.0714285714285714	0	0	0	0	0
"C2"	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0	0.0714285714285714	0	0	0	0	0
"C3"	0	0	0	0	0	0.25	0	0	0.25	0	0	0	0
"C4"	0	0	0	0	0	0	0.5	0	0	0	0	0	0
