"C._nigrescens"	"H._guatemalensis"	"M._curema"	"D._peruvianus"	"C._trimaculatum"	"L._argentiventris"	"D._latifrons"	"P._sphenops"	"G._maculatus"	"E._picta"	"Cornutushaptor_nigrescens"	"Neotetraonchus_sp."	"Ligophorus_mugilinus"	"Aristocleidus_hastatus"	"Crassicutis_cichlasomae"	"Neoapocreadium_marina"	"Paracryptogonimus_sp."	"Pseudoacanthostomum_panamense"	"Pseudacaenodera_cristata"	"Saccocoelioides_sp."	"Saccocoelioides_sogandaresi"	"Ascocotye_(Phagicola)_longa"	"Centrocestus_formosanus"	"Cladocystis_trifolium"	"Clinostomum_complanatum"	"Diplostomum_(Austrodiplostomum)_compactum"	"Echinochasmus_leopoldinae"	"Haplorchis_sp."	"Metadena_sp."	"Posthodiplostomum_minimum"	"Tylodelphys_sp."	"Parvitaenia_cochlearii"	"Proteocephalus_chamelensis"	"Proteocephalus_sp."	"Contracaecum_sp."	"Hysterothylacium_perezi"	"Gnathostoma_sp."	"Pseudoleptorhynchoides_lamothei"	"Floridosentis_mugilis"	"Neoechinorhynchus_golvani"	"Southwellina_hispida"	"Argulus_sp."	"Ergasilus_sp."
"C._nigrescens"	0	0	0	0	0	0	0	0	0	0	0.0454545454545455	0	0	0	0	0	0.0454545454545455	0.0454545454545455	0	0	0	0.0454545454545455	0	0	0	0.0454545454545455	0.0454545454545455	0	0	0	0	0	0	0.0454545454545455	0.0454545454545455	0	0	0	0	0.0454545454545455	0.0454545454545455	0	0.0454545454545455
"H._guatemalensis"	0	0	0	0	0	0	0	0	0	0	0	0.0555555555555556	0	0	0	0	0	0.0555555555555556	0	0	0	0	0	0	0.0555555555555556	0.0555555555555556	0	0	0.0555555555555556	0	0	0	0	0	0	0.0555555555555556	0	0.0555555555555556	0	0	0	0.0555555555555556	0.0555555555555556
"M._curema"	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	0	0.0625	0	0	0	0.0625	0	0	0.0625	0.0625	0	0	0	0	0	0	0	0	0.0625	0	0	0	0.0625	0	0	0	0.0625
"D._peruvianus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0555555555555556	0	0.0555555555555556	0	0.0555555555555556	0.0555555555555556	0	0	0.0555555555555556	0	0	0	0	0	0.0555555555555556	0	0	0	0	0	0	0.0555555555555556	0	0	0	0	0	0	0.0555555555555556	0.0555555555555556
"C._trimaculatum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0416666666666667	0	0	0.0416666666666667	0	0	0	0.0416666666666667	0	0.0416666666666667	0.0416666666666667	0.0416666666666667	0	0	0	0.0416666666666667	0	0	0	0	0.0416666666666667	0	0	0	0	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667
"L._argentiventris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05	0	0	0	0	0	0	0	0.05	0.05	0	0.05	0	0	0	0	0	0.05	0	0	0	0	0.05	0.05	0.05	0.05
"D._latifrons"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0.05	0	0.05	0	0	0.05	0	0.05	0	0	0	0	0.05	0	0	0.05	0	0	0	0	0.05	0	0.05	0.05
"P._sphenops"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0.05	0.05	0.05	0	0	0.05	0.05	0	0	0.05	0	0	0	0	0.05	0	0	0	0	0	0	0.05	0.05
"G._maculatus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0416666666666667	0	0	0	0.0416666666666667	0	0	0.0416666666666667	0.0416666666666667	0	0	0.0416666666666667	0	0	0.0416666666666667	0	0	0.0416666666666667	0	0.0416666666666667	0	0	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667
"E._picta"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0384615384615385	0	0	0	0.0384615384615385	0	0	0.0384615384615385	0.0384615384615385	0	0	0	0	0.0384615384615385	0.0384615384615385	0.0384615384615385	0	0.0384615384615385	0	0.0384615384615385	0	0	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385
