"Sorex_araneus"	"Apodemus_uralensis"	"Clethrionomys_glareolus"	"Microtus_agrestis"	"Clethrionomys_rutilus"	"Microtus_arvalis"	"Sorex_caecutiens"	"Arvicola_terrestris"	"Sicista_betulina"	"Hystrichopsylla_talpae"	"Amalaraeus_penicilliger"	"Rhadinopsylla_integella"	"Megabothris_walkeri"	"Amphipsylla_sibirica"	"Corrodopsylla_birulai"	"Ctenophthalmus_assimilis"	"Ceratophyllus_sciurorum"
"Sorex_araneus"	0	0	0	0	0	0	0	0	0	0.02	0.02	0.02	0	0	0.02	0.02	0
"Apodemus_uralensis"	0	0	0	0	0	0	0	0	0	0	0.025	0.025	0.025	0	0.025	0	0
"Clethrionomys_glareolus"	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0.02	0	0.02	0.02
"Microtus_agrestis"	0	0	0	0	0	0	0	0	0	0.0142857142857143	0.0142857142857143	0.0142857142857143	0.0142857142857143	0.0142857142857143	0.0142857142857143	0.0142857142857143	0
"Clethrionomys_rutilus"	0	0	0	0	0	0	0	0	0	0.0166666666666667	0	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0
"Microtus_arvalis"	0	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0.02	0.02	0.02
"Sorex_caecutiens"	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0	0	0.0333333333333333	0	0	0.0333333333333333
"Arvicola_terrestris"	0	0	0	0	0	0	0	0	0	0.0333333333333333	0	0	0	0.0333333333333333	0	0.0333333333333333	0
"Sicista_betulina"	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0	0.0333333333333333	0	0	0	0.0333333333333333
"Hystrichopsylla_talpae"	0.02	0	0	0.02	0.02	0.02	0	0.02	0	0	0	0	0	0	0	0	0
"Amalaraeus_penicilliger"	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0	0	0.0166666666666667	0	0.0166666666666667	0	0	0	0	0	0	0	0
"Rhadinopsylla_integella"	0.025	0.025	0	0.025	0.025	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_walkeri"	0	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0	0	0.0166666666666667	0	0	0	0	0	0	0	0
"Amphipsylla_sibirica"	0	0	0.02	0.02	0.02	0	0.02	0.02	0	0	0	0	0	0	0	0	0
"Corrodopsylla_birulai"	0.02	0.02	0	0.02	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_assimilis"	0.0166666666666667	0	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0	0.0166666666666667	0	0	0	0	0	0	0	0	0
"Ceratophyllus_sciurorum"	0	0	0.025	0	0	0.025	0.025	0	0.025	0	0	0	0	0	0	0	0
