"Berberis_vulgaris"	"Crataegus_monogyna"	"Hedera_helix"	"Taxus_baccata"	"Rosa_canina"	"Lonicera_arborea"	"Viscum_album"	"Juniperus_communis"	"Turdus_torquatus"	"Turdus_merula"	"Turdus_viscivorus"	"Turdus_iliacus"	"Turdus_philomelos"
"Berberis_vulgaris"	0	0	0	0	0	0	0	0	0.02	0.02	0.02	0.02	0.02
"Crataegus_monogyna"	0	0	0	0	0	0	0	0	0.02	0.02	0.02	0.02	0.02
"Hedera_helix"	0	0	0	0	0	0	0	0	0.025	0.025	0.025	0.025	0
"Taxus_baccata"	0	0	0	0	0	0	0	0	0.025	0.025	0.025	0.025	0
"Rosa_canina"	0	0	0	0	0	0	0	0	0.0333333333333333	0.0333333333333333	0.0333333333333333	0	0
"Lonicera_arborea"	0	0	0	0	0	0	0	0	0.05	0.05	0	0	0
"Viscum_album"	0	0	0	0	0	0	0	0	0.05	0	0.05	0	0
"Juniperus_communis"	0	0	0	0	0	0	0	0	0.1	0	0	0	0
"Turdus_torquatus"	0.0125	0.0125	0.0125	0.0125	0.0125	0.0125	0.0125	0.0125	0	0	0	0	0
"Turdus_merula"	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0	0	0	0	0	0	0
"Turdus_viscivorus"	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0	0.0166666666666667	0	0	0	0	0	0
"Turdus_iliacus"	0.025	0.025	0.025	0.025	0	0	0	0	0	0	0	0	0
"Turdus_philomelos"	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0
