"Nephrosperma_vanhoutteanum"	"Phoenicophorium_borsigianum"	"Roscheria_melanochaetes"	"Erythroxylum_sechellarum"	"Dillenia_ferruginea"	"Dillenia_suffruticosa"	"Excoecaria_benthiamiana"	"Memecylon_eleagni"	"Gastonia_crassa"	"Psychotria_pervillei"	"Syzygium_wrightii"	"Apis_mellifera"	"Lasioglossum_mahense"	"Neophyllomyza_approximatonervis"	"Forcipomyia_sp1_M_PL_128"	"Unidentified_sp6_M_PL_128"	"Xylocopa_caffra"	"Unidentified_sp1_M_PL_128"	"Mabuya_sechellensis"	"Nectarinia_dussumieri"	"Lygistorrhina_sp1_M_PL_128"	"Ornidia_obesa"	"Phelsuma_sp1_M_PL_128"	"Unidentified_sp7_M_PL_128"	"Cratopus_aurostriatus"	"Unidentified_sp5_M_PL_128"	"Hemipyrellia_germana"	"Rhiparida_seychellensis"	"Unidentified_sp3_M_PL_128"	"Unidentified_sp4_M_PL_128"	"Chalcidoma_disjunctum"	"Polistes_olivaceus"	"Simosyrphus_aegyptius"	"Unidentified_sp2_M_PL_128"
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0	0	0	0	0	0	0.0111111111111111	0.0111111111111111	0.0111111111111111	0.0111111111111111	0	0	0.0111111111111111	0	0	0.0111111111111111	0	0.0111111111111111	0	0.0111111111111111	0	0	0	0	0	0	0	0	0.0111111111111111
"Phoenicophorium_borsigianum"	0	0	0	0	0	0	0	0	0	0	0	0.0125	0.0125	0	0	0.0125	0	0	0	0	0.0125	0	0.0125	0.0125	0	0	0	0	0.0125	0.0125	0	0	0	0
"Roscheria_melanochaetes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.02	0	0	0.02	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0	0	0	0
"Erythroxylum_sechellarum"	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0.0333333333333333	0	0	0	0	0	0	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dillenia_ferruginea"	0	0	0	0	0	0	0	0	0	0	0	0.0166666666666667	0	0	0	0	0.0166666666666667	0	0	0.0166666666666667	0	0.0166666666666667	0	0	0	0	0.0166666666666667	0.0166666666666667	0	0	0	0	0	0
"Dillenia_suffruticosa"	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0	0	0	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0
"Excoecaria_benthiamiana"	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Memecylon_eleagni"	0	0	0	0	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.02	0	0
"Gastonia_crassa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0.0333333333333333	0	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0
"Psychotria_pervillei"	0	0	0	0	0	0	0	0	0	0	0	0.025	0.025	0.025	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Syzygium_wrightii"	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0	0	0	0	0	0	0.0333333333333333	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.0111111111111111	0.0111111111111111	0	0.0111111111111111	0.0111111111111111	0.0111111111111111	0.0111111111111111	0.0111111111111111	0	0.0111111111111111	0.0111111111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lasioglossum_mahense"	0.02	0.02	0	0.02	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neophyllomyza_approximatonervis"	0.0333333333333333	0	0.0333333333333333	0	0	0	0	0	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Forcipomyia_sp1_M_PL_128"	0.05	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp6_M_PL_128"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Xylocopa_caffra"	0	0	0	0	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_PL_128"	0.0333333333333333	0	0.0333333333333333	0	0	0	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mabuya_sechellensis"	0	0	0	0	0	0	0	0	0.05	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nectarinia_dussumieri"	0	0	0	0	0.025	0	0	0	0.025	0.025	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
