"Rutilus_rutilus"	"Carassius_carassius"	"Abramis_brama"	"Alburnus_alburnus"	"Blicca_bjoerkna"	"Esox_lucius"	"Perca_fluviatilis"	"Scardinius_erythrophthalmus"	"Gymnocephalus_cernuus"	"Tinca_tinca"	"Gobio_gobio_gobio"	"Vimba_vimba"	"Anguilla_anguilla"	"Cyprinus_carpio_carpio"	"Lota_lota"	"Sander_lucioperca"	"Leuciscus_idus"	"Aspius_aspius"	"Leuciscus_cephalus"	"Gasterosteus_aculeatus"	"Leuciscus_leuciscus"	"Coregonus_albula"	"Coregonus_lavaretus"	"Osmerus_eperlanus_spirinchus"	"Silurus_glanis"	"Leucaspius_delineatus"	"Osmerus_eperlanus"	"Carassius_auratus_auratus"	"Lampetra_fluviatilis"	"Pelecus_cultratus"	"Coregonus_peled"	"Pungitius_pungitius"	"Zoarces_viviparus"	"Alburnoides_bipunctatus"	"Cobitis_taenia"	"Gadus_morhua_callarias"	"Phoxinus_phoxinus"	"Platichthys_flesus_trachurus"	"Psetta_maxima"	"Salmo_salar"	"Salmo_trutta_morpha_fario"	"Triglopsis_quadricornis"	"Alosa_fallax_fallax"	"Belone_belone"	"Clupea_harengus_membras"	"Cottus_gobio"	"Salmo_trutta"	"Taurulus_bubalis"	"Diplostomum_spathaceum"	"Tylodelphys_clavata"	"Argulus_foliaceus"	"Ergasilus_sieboldi"	"Piscicola_geometra"	"Raphidascaris_acus"	"Ichthyocotylurus_platycephalus"	"Acanthocephalus_anguillae"	"Paracoenogonimus_ovatus"	"Acanthocephalus_lucii"	"Bucephalus_polymorphus"	"Diplozoon_paradoxum"	"Myxobolus_muelleri"	"Posthodiplostomum_cuticola"	"Allocreadium_isoporum"	"Myxobolus_ellipsoides"	"Zschokkella_nova"	"Myxobolus_bramae"	"Myxobolus_dispar"	"Sphaerostomum_bramae"	"Neoechinorhynchus_rutili"	"Ichthyocotylurus_variegatus"	"Myxobolus_oviformis"	"Phyllodistomum_folium"	"Triaenophorus_nodulosus"	"Proteocephalus_longicollis"	"Camallanus_(Camallanus)_lacustris"	"Posthodiplostomum_brevicaudatum"	"Diphyllobothrium_ditremum"	"Ergasilus_briani"	"Myxobolus_cycloides"	"Dactylogyrus_sphyrna"	"Acanthocephalus_clavula"	"Chloromyxum_fluviatile"	"Myxobolus_carassii"	"Myxobolus_macrocapsularis"	"Neodiplostomulum_sp."	"Ornithodiplostomum_scardinii"	"Azygia_lucii"	"Bunodera_luciopercae"	"Dactylogyrus_anchoratus"	"Dactylogyrus_cornu"	"Proteocephalus_percae"	"Proteocephalus_torulosus"	"Hemiclepsis_marginata"	"Henneguya_psorospermica"	"Myxobolus_anurum"	"Ichthyocotylurus_erraticus"	"Phyllodistomum_megalorchis"	"Phyllodistomum_pseudofolium"	"Dactylogyrus_crassus"	"Dactylogyrus_crucifer"	"Dactylogyrus_vastator"	"Khawia_dubius"	"Proteocephalus_sp."	"Achtheres_percarum"	"Myxidium_giardi"	"Myxidium_lieberkuehni"	"Myxidium_pfeifferi"	"Chloromyxum_dubium"	"Chloromyxum_mucronatum"	"Henneguya_lobosa"	"Henneguya_oviperda"	"Myxobolus_gigas"	"Myxobolus_permagnus"	"Myxobolus_rotundus"	"Myxobolus_thelohanellus"	"Thelohanellus_pyriformis"	"Asymphylodora_tincae"	"Parasymphylodora__markewitschi"	"Gyrodactylus_gobii"	"Gyrodactylus_markakulensis"	"Ancyrocephalus_percae"	"Dactylogyrus_amphibothrium"	"Dactylogyrus_difformis"	"Dactylogyrus_formosus"	"Dactylogyrus_fraternus"	"Dactylogyrus_intermedius"	"Dactylogyrus_m?cr?canthus"	"Dactylogyrus_minor"	"Dactylogyrus_nanus"	"Dactylogyrus_parvus"	"Dactylogyrus_wegeneri"	"Tetraonchus_monenteron"	"Bothriocephalus_claviceps"	"Lernaea_cyprinacea"
"Rutilus_rutilus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00294117647058824	0.00294117647058824	0.00294117647058824	0.00294117647058824	0.00294117647058824	0.00294117647058824	0.00294117647058824	0.00294117647058824	0.00294117647058824	0.00294117647058824	0.00294117647058824	0.00294117647058824	0.00294117647058824	0.00294117647058824	0.00294117647058824	0.00294117647058824	0.00294117647058824	0.00294117647058824	0.00294117647058824	0.00294117647058824	0.00294117647058824	0.00294117647058824	0	0	0	0	0	0.00294117647058824	0	0	0.00294117647058824	0.00294117647058824	0	0.00294117647058824	0	0.00294117647058824	0	0.00294117647058824	0	0	0	0	0	0.00294117647058824	0.00294117647058824	0	0	0	0	0	0.00294117647058824	0.00294117647058824	0	0	0	0	0	0	0.00294117647058824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00294117647058824	0	0	0	0	0
"Carassius_carassius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00303030303030303	0.00303030303030303	0.00303030303030303	0.00303030303030303	0.00303030303030303	0.00303030303030303	0.00303030303030303	0.00303030303030303	0.00303030303030303	0.00303030303030303	0.00303030303030303	0.00303030303030303	0.00303030303030303	0.00303030303030303	0.00303030303030303	0.00303030303030303	0.00303030303030303	0.00303030303030303	0.00303030303030303	0	0.00303030303030303	0	0	0.00303030303030303	0	0	0	0	0	0.00303030303030303	0	0	0	0.00303030303030303	0.00303030303030303	0	0	0	0	0	0.00303030303030303	0	0	0	0.00303030303030303	0	0	0	0	0	0.00303030303030303	0	0.00303030303030303	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00303030303030303	0	0	0	0	0	0	0	0	0.00303030303030303	0	0.00303030303030303	0	0	0	0	0.00303030303030303	0	0	0.00303030303030303
"Abramis_brama"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00344827586206897	0.00344827586206897	0.00344827586206897	0.00344827586206897	0.00344827586206897	0.00344827586206897	0.00344827586206897	0.00344827586206897	0.00344827586206897	0.00344827586206897	0.00344827586206897	0.00344827586206897	0.00344827586206897	0.00344827586206897	0.00344827586206897	0.00344827586206897	0.00344827586206897	0.00344827586206897	0	0.00344827586206897	0.00344827586206897	0.00344827586206897	0.00344827586206897	0.00344827586206897	0	0	0	0	0	0.00344827586206897	0	0.00344827586206897	0	0	0	0.00344827586206897	0	0.00344827586206897	0	0	0	0.00344827586206897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00344827586206897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Alburnus_alburnus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00384615384615385	0.00384615384615385	0.00384615384615385	0.00384615384615385	0.00384615384615385	0.00384615384615385	0.00384615384615385	0.00384615384615385	0.00384615384615385	0	0.00384615384615385	0.00384615384615385	0	0.00384615384615385	0.00384615384615385	0.00384615384615385	0.00384615384615385	0.00384615384615385	0	0.00384615384615385	0.00384615384615385	0	0.00384615384615385	0.00384615384615385	0	0	0	0	0	0	0	0	0	0	0.00384615384615385	0	0	0	0	0	0	0	0	0.00384615384615385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00384615384615385	0	0	0.00384615384615385	0	0	0.00384615384615385	0	0.00384615384615385	0	0	0	0
"Blicca_bjoerkna"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00384615384615385	0.00384615384615385	0.00384615384615385	0.00384615384615385	0.00384615384615385	0.00384615384615385	0.00384615384615385	0.00384615384615385	0.00384615384615385	0.00384615384615385	0.00384615384615385	0.00384615384615385	0.00384615384615385	0.00384615384615385	0.00384615384615385	0.00384615384615385	0.00384615384615385	0.00384615384615385	0	0.00384615384615385	0.00384615384615385	0.00384615384615385	0.00384615384615385	0	0	0	0	0	0	0	0	0.00384615384615385	0	0.00384615384615385	0	0.00384615384615385	0	0	0	0	0	0.00384615384615385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Esox_lucius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0.004	0.004	0.004	0.004	0.004	0.004	0.004	0.004	0.004	0.004	0.004	0	0	0.004	0	0	0	0	0	0	0	0	0.004	0.004	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0.004	0	0	0.004	0.004	0	0	0	0	0	0	0	0.004	0	0	0.004	0	0	0	0.004	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0
"Perca_fluviatilis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0.004	0.004	0.004	0.004	0.004	0.004	0	0	0.004	0.004	0	0	0.004	0	0.004	0	0	0	0	0	0.004	0	0	0.004	0	0.004	0.004	0	0	0	0	0	0	0.004	0	0.004	0	0.004	0.004	0	0	0.004	0	0.004	0.004	0	0	0	0.004	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0
"Scardinius_erythrophthalmus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00454545454545455	0.00454545454545455	0.00454545454545455	0.00454545454545455	0.00454545454545455	0.00454545454545455	0	0.00454545454545455	0.00454545454545455	0	0.00454545454545455	0.00454545454545455	0.00454545454545455	0.00454545454545455	0.00454545454545455	0.00454545454545455	0	0.00454545454545455	0.00454545454545455	0	0	0	0	0	0	0	0	0.00454545454545455	0	0	0.00454545454545455	0	0	0	0	0	0	0.00454545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00454545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00454545454545455	0	0	0	0	0.00454545454545455	0	0	0	0	0	0	0	0	0	0	0
"Gymnocephalus_cernuus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00476190476190476	0.00476190476190476	0	0.00476190476190476	0.00476190476190476	0.00476190476190476	0.00476190476190476	0.00476190476190476	0.00476190476190476	0.00476190476190476	0.00476190476190476	0	0	0.00476190476190476	0	0	0	0	0	0	0	0.00476190476190476	0	0.00476190476190476	0.00476190476190476	0	0.00476190476190476	0	0	0	0	0	0.00476190476190476	0	0	0	0.00476190476190476	0	0	0.00476190476190476	0	0	0	0	0	0	0.00476190476190476	0	0.00476190476190476	0.00476190476190476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tinca_tinca"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00476190476190476	0.00476190476190476	0.00476190476190476	0.00476190476190476	0.00476190476190476	0.00476190476190476	0.00476190476190476	0.00476190476190476	0.00476190476190476	0.00476190476190476	0.00476190476190476	0.00476190476190476	0.00476190476190476	0	0.00476190476190476	0.00476190476190476	0.00476190476190476	0.00476190476190476	0	0	0	0	0	0	0	0	0	0	0	0.00476190476190476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00476190476190476	0.00476190476190476	0	0	0	0	0	0	0	0	0	0.00476190476190476	0	0	0	0	0	0	0
