"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"C1"	"C2"	"C3"
"R1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0.0333333333333333	0.0333333333333333
"R2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05
"R3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05
"R4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05
"R5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05
"R6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05
"R7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05
"R8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05
"R9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05
"R10"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05
"R11"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05
"R12"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
"R13"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05
"R14"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
"R15"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
"R16"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
"R17"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
"C1"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C2"	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0	0.00833333333333333	0	0	0	0	0	0	0
"C3"	0.00588235294117647	0.00588235294117647	0.00588235294117647	0.00588235294117647	0.00588235294117647	0.00588235294117647	0.00588235294117647	0.00588235294117647	0.00588235294117647	0.00588235294117647	0.00588235294117647	0.00588235294117647	0.00588235294117647	0.00588235294117647	0.00588235294117647	0.00588235294117647	0.00588235294117647	0	0	0
