"Pistacia_lentiscus"	"Rubus_ulmifolius"	"Rhamnus_lycioides"	"Phillyrea_angustifolia"	"Myrtus_communis"	"Olea_europaea"	"Daphne_gnidium"	"Smilax_aspera"	"Asparagus_aphyllus"	"Asparagus_aculeatus"	"Lonicera_periclymenum"	"Osyris_alba"	"Crataegus_monogyna"	"Tamus_communis"	"Pyrus_bourgaeana"	"Rubia_pregrina"	"Sylvia_atricapilla"	"Turdus_merula"	"Sylvia_borin"	"Sylvia_melanocephala"	"Erithacus_rubecula"	"Cyanopica_cyanus"	"Sylvia_cantillans"	"Turdus_philomelos"	"Ficedula_hypoleuca"	"Sylvia_communis"	"Phoenicurus_phoenicurus"	"Sturnus_unicolor"	"Sylvia_hortensis"	"Luscinia_megarhynchos"	"Muscicapa_striata"	"Saxicola_torquata"	"Sylvia_undata"
"Cyanopica_cyanus"	0.0111111111111111	0.0111111111111111	0.0111111111111111	0.0111111111111111	0.0111111111111111	0.0111111111111111	0	0	0	0	0	0	0.0111111111111111	0.0111111111111111	0.0111111111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sylvia_cantillans"	0.0142857142857143	0.0142857142857143	0.0142857142857143	0.0142857142857143	0.0142857142857143	0	0.0142857142857143	0	0	0	0.0142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Turdus_philomelos"	0.0166666666666667	0	0	0.0166666666666667	0.0166666666666667	0.0166666666666667	0	0	0.0166666666666667	0	0	0.0166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ficedula_hypoleuca"	0.02	0.02	0.02	0.02	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sylvia_communis"	0.02	0.02	0.02	0.02	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phoenicurus_phoenicurus"	0.025	0.025	0.025	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sturnus_unicolor"	0.025	0	0	0	0.025	0.025	0	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sylvia_hortensis"	0.025	0.025	0	0.025	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Luscinia_megarhynchos"	0.0333333333333333	0.0333333333333333	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Muscicapa_striata"	0.0333333333333333	0.0333333333333333	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Saxicola_torquata"	0.0333333333333333	0	0	0	0.0333333333333333	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sylvia_undata"	0.05	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
