"Arvicola_terrestris"	"Apodemus_sylvaticus"	"Apodemus_agrarius"	"Microtus_arvalis"	"Chionomys_gud"	"Spermophilus_pygmaeus"	"Cricetulus_migratorius"	"Microtus_socialis"	"Cricetus_cricetus"	"Microtus_majori"	"Mesocricetus_raddei"	"Amphipsylla_rossica"	"Nosopsyllus_consimilis"	"Ctenophthalmus_wagneri"	"Leptopsylla_taschenbergi"	"Nosopsyllus_mokrzeckyi"	"Ctenophthalmus_proximus"	"Ctenophthalmus_orientalis"	"Citellophilus_tesquorum"	"Megabothris_turbidus"	"Ctenophthalmus_golovi"	"Ctenophthalmus_secundus"	"Paradoxopsyllus_hesperius"	"Ctenophthalmus_chionomydis"	"Rhadinopsylla_ucrainica"	"Amphipsylla_kuznetzovi"	"Callopsylla_caspia"	"Ctenophthalmus_acuminatus"	"Megabothris_walkeri"	"Hystrichopsylla_talpae"
"Arvicola_terrestris"	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	0.01	0	0.01	0.01	0	0.01	0.01	0	0	0	0.01	0	0	0	0	0.01
"Apodemus_sylvaticus"	0	0	0	0	0	0	0	0	0	0	0	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0	0.00769230769230769	0	0	0.00769230769230769	0	0	0.00769230769230769	0.00769230769230769	0
"Apodemus_agrarius"	0	0	0	0	0	0	0	0	0	0	0	0	0.0142857142857143	0.0142857142857143	0.0142857142857143	0.0142857142857143	0.0142857142857143	0.0142857142857143	0	0	0	0.0142857142857143	0	0	0	0	0	0	0	0
"Microtus_arvalis"	0	0	0	0	0	0	0	0	0	0	0	0.0142857142857143	0.0142857142857143	0.0142857142857143	0	0	0	0.0142857142857143	0	0.0142857142857143	0	0	0	0	0	0	0	0	0.0142857142857143	0.0142857142857143
"Chionomys_gud"	0	0	0	0	0	0	0	0	0	0	0	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0	0.00833333333333333	0	0	0.00833333333333333	0	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0	0	0
"Spermophilus_pygmaeus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0
"Cricetulus_migratorius"	0	0	0	0	0	0	0	0	0	0	0	0	0.0166666666666667	0.0166666666666667	0	0.0166666666666667	0	0.0166666666666667	0	0	0	0.0166666666666667	0.0166666666666667	0	0	0	0	0	0	0
"Microtus_socialis"	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0.025	0	0	0	0.025	0	0	0	0.025	0	0	0	0	0	0	0	0
"Cricetus_cricetus"	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Microtus_majori"	0	0	0	0	0	0	0	0	0	0	0	0.025	0	0.025	0.025	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0	0
"Mesocricetus_raddei"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0.05	0	0
"Amphipsylla_rossica"	0.02	0.02	0	0.02	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nosopsyllus_consimilis"	0.0125	0.0125	0.0125	0.0125	0.0125	0	0.0125	0.0125	0.0125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_wagneri"	0.0125	0.0125	0.0125	0.0125	0.0125	0	0.0125	0.0125	0	0.0125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Leptopsylla_taschenbergi"	0.02	0.02	0.02	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nosopsyllus_mokrzeckyi"	0	0.025	0.025	0	0.025	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_proximus"	0.0333333333333333	0.0333333333333333	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_orientalis"	0.0111111111111111	0.0111111111111111	0.0111111111111111	0.0111111111111111	0.0111111111111111	0.0111111111111111	0.0111111111111111	0.0111111111111111	0	0	0.0111111111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Citellophilus_tesquorum"	0	0.05	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_turbidus"	0.0333333333333333	0.0333333333333333	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_golovi"	0.0333333333333333	0	0	0	0.0333333333333333	0	0	0	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_secundus"	0	0.025	0.025	0	0	0	0.025	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Paradoxopsyllus_hesperius"	0	0	0	0	0.05	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_chionomydis"	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_ucrainica"	0.0333333333333333	0.0333333333333333	0	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_kuznetzovi"	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Callopsylla_caspia"	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_acuminatus"	0	0.05	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_walkeri"	0	0.05	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hystrichopsylla_talpae"	0.05	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
