"Hedera_helix"	"Ilex_aquifolium"	"Unidentified_sp1_M_SD_024"	"Solanum_nigrum"	"Sorbus_aucuparia"	"Unidentified_sp2_M_SD_024"	"Fragaria_vespa"	"Rosa_sp1_M_SD_024"	"Vaccinium_myrtillus"	"Prunus_spinosa"	"Taxus_bacatta"	"Unidentified_sp3_M_SD_024"	"Turdus_merula"	"Turdus_iliacus"	"Erithacus_rubecula"	"Garrulus_glandarius"	"Sylvia_atricapilla"	"Turdus_viscivorus"	"Turdus_philomelos"
"Hedera_helix"	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.02	0.02	0	0	0.02	0.02
"Ilex_aquifolium"	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.02	0.02	0.02	0	0.02	0
"Unidentified_sp1_M_SD_024"	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.02	0.02	0.02	0.02	0	0
"Solanum_nigrum"	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0.025	0.025	0	0.025	0	0
"Sorbus_aucuparia"	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0.025	0	0	0	0.025	0.025
"Unidentified_sp2_M_SD_024"	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0	0.025	0.025	0	0.025	0
"Fragaria_vespa"	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0	0.0333333333333333	0	0.0333333333333333	0	0
"Rosa_sp1_M_SD_024"	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0.0333333333333333	0	0.0333333333333333	0	0	0
"Vaccinium_myrtillus"	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0	0	0	0.0333333333333333	0	0.0333333333333333
"Prunus_spinosa"	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0.05	0	0	0
"Taxus_bacatta"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0
"Unidentified_sp3_M_SD_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0
"Turdus_merula"	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0	0	0	0	0	0	0
"Turdus_iliacus"	0.0142857142857143	0.0142857142857143	0.0142857142857143	0.0142857142857143	0.0142857142857143	0	0	0.0142857142857143	0	0	0	0.0142857142857143	0	0	0	0	0	0	0
"Erithacus_rubecula"	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0	0.0166666666666667	0.0166666666666667	0	0	0	0	0	0	0	0	0	0	0	0
"Garrulus_glandarius"	0	0.0166666666666667	0.0166666666666667	0	0	0.0166666666666667	0	0.0166666666666667	0	0.0166666666666667	0.0166666666666667	0	0	0	0	0	0	0	0
"Sylvia_atricapilla"	0	0	0.025	0.025	0	0	0.025	0	0.025	0	0	0	0	0	0	0	0	0	0
"Turdus_viscivorus"	0.025	0.025	0	0	0.025	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0
"Turdus_philomelos"	0.0333333333333333	0	0	0	0.0333333333333333	0	0	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0
