"Salmo_salar"	"Salvelinus_fontinalis"	"Salvelinus_namaycush"	"Coregonus_clupeaformis"	"Esox_lucius"	"Catostomus_catostomus"	"Tetraonchus_monenteron"	"Discocotyle_sagittata"	"Crepidostomum_farionis"	"Crepidostomum_cooperi"	"Phyllodistomum_coregoni"	"Phyllodistomum_lachancei"	"Triaenophorus_crassus"	"Triaenophorus_crassus_(L)"	"Eubothrium_salvelini"	"Diphyllobothrium_sp._(L)"	"Proteocephalus_pinguis"	"Proteocephalus_tumidocollus"	"Proteocephalus_sp.1"	"Proteocephalus_sp.2"	"Raphidascaris_sp."	"Raphidascaris_canadensis"	"Capillaria_salvelini"	"Metabronema_salvelini"	"Metechinorhynchus_lateralis"	"Neoechinorhynchus_crassus"	"Ergasilus_caeruleus"	"Salmincola_extumescens"	"Salmincola_coregonorum"	"Salmincola_edwardsii"	"Salmincola_siscowet"
"Salmo_salar"	0	0	0	0	0	0	0	0.0142857142857143	0	0.0142857142857143	0	0.0142857142857143	0	0	0.0142857142857143	0.0142857142857143	0	0	0	0.0142857142857143	0	0	0	0	0	0	0	0.0142857142857143	0	0	0
"Salvelinus_fontinalis"	0	0	0	0	0	0	0	0.00769230769230769	0.00769230769230769	0	0	0.00769230769230769	0	0	0.00769230769230769	0.00769230769230769	0	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0	0.00769230769230769	0.00769230769230769	0.00769230769230769	0	0	0	0	0.00769230769230769	0
"Salvelinus_namaycush"	0	0	0	0	0	0	0.00769230769230769	0	0.00769230769230769	0.00769230769230769	0	0.00769230769230769	0	0.00769230769230769	0.00769230769230769	0.00769230769230769	0	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0	0.00769230769230769	0	0	0	0	0	0	0	0.00769230769230769
"Coregonus_clupeaformis"	0	0	0	0	0	0	0	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0	0	0.00769230769230769	0	0.00769230769230769	0	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0	0.00769230769230769	0	0	0	0	0.00769230769230769	0.00769230769230769	0	0
"Esox_lucius"	0	0	0	0	0	0	0.02	0	0	0	0	0	0.02	0	0	0	0.02	0	0	0	0	0.02	0	0	0.02	0	0	0	0	0	0
"Catostomus_catostomus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05	0	0	0	0
"Tetraonchus_monenteron"	0	0	0.05	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Discocotyle_sagittata"	0.0333333333333333	0.0333333333333333	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Crepidostomum_farionis"	0	0.0333333333333333	0.0333333333333333	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Crepidostomum_cooperi"	0.0333333333333333	0	0.0333333333333333	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phyllodistomum_coregoni"	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phyllodistomum_lachancei"	0.0333333333333333	0.0333333333333333	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
