"Diplopterys_pubipetala"	"Byrsonima_gardnerana"	"Banisteriopsis_muricata"	"Heteropterys_sp1_M_PL_059"	"Heteropterys_sp2_M_PL_059"	"Dicella_bracteosa"	"Carolus_chasei"	"Stigmaphyllon_paralias"	"Banisteriopsis_stellaris"	"Banisteriopsis_schizoptera"	"Stigmaphyllon_auriculatum"	"Stigmaphyllon_ciliatum"	"Janusia_anisandra"	"Centris_aenea"	"Centris_fuscata"	"Centris_caxiensis"	"Centris_tarsata"	"Centris_flavifrons"	"Centris_trigonoides"	"Centris_obsoleta"	"Epicharis_sp1_M_PL_059"	"Apis_mellifera"	"Centris_sp1_M_PL_059"	"Centris_sp2_M_PL_059"	"Xylocopa_sp1_M_PL_059"	"Xylocopa_grisescens"
"Diplopterys_pubipetala"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0111111111111111	0.0111111111111111	0.0111111111111111	0.0111111111111111	0.0111111111111111	0.0111111111111111	0	0.0111111111111111	0.0111111111111111	0.0111111111111111	0	0	0
"Byrsonima_gardnerana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0	0	0	0.0166666666666667	0	0	0	0
"Banisteriopsis_muricata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0	0.00833333333333333	0.00833333333333333	0.00833333333333333
"Heteropterys_sp1_M_PL_059"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0125	0.0125	0.0125	0.0125	0.0125	0.0125	0	0.0125	0	0	0	0.0125	0
"Heteropterys_sp2_M_PL_059"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0142857142857143	0.0142857142857143	0.0142857142857143	0.0142857142857143	0	0.0142857142857143	0	0.0142857142857143	0.0142857142857143	0	0	0	0
"Dicella_bracteosa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.02	0.02	0.02	0.02	0	0	0	0	0	0	0	0
"Carolus_chasei"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0.025	0.025	0.025	0	0	0	0	0	0	0	0	0
"Stigmaphyllon_paralias"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0
"Banisteriopsis_stellaris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0.025	0.025	0.025	0	0	0	0	0	0	0	0	0
"Banisteriopsis_schizoptera"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0.025	0.025	0.025	0	0	0	0	0	0	0	0	0
"Stigmaphyllon_auriculatum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0.025	0.025	0	0.025	0	0	0	0	0	0	0	0
"Stigmaphyllon_ciliatum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0.0333333333333333	0	0	0.0333333333333333	0	0	0	0	0	0	0	0
"Janusia_anisandra"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0.0333333333333333	0	0.0333333333333333	0	0	0	0	0	0	0	0	0
"Centris_aenea"	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0	0	0	0	0	0	0	0	0	0	0	0	0
"Centris_fuscata"	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0	0	0	0	0	0	0	0	0	0	0	0	0
"Centris_caxiensis"	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Centris_tarsata"	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0
"Centris_flavifrons"	0.0142857142857143	0.0142857142857143	0.0142857142857143	0.0142857142857143	0	0.0142857142857143	0	0	0	0	0.0142857142857143	0.0142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Centris_trigonoides"	0.025	0	0.025	0.025	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Centris_obsoleta"	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Epicharis_sp1_M_PL_059"	0.025	0	0.025	0.025	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.025	0.025	0.025	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Centris_sp1_M_PL_059"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Centris_sp2_M_PL_059"	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Xylocopa_sp1_M_PL_059"	0	0	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Xylocopa_grisescens"	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
