"Acer_rubrum"	"Hamamelis_virginiana"	"Quercus_rubra"	"Vaccinium_sp."	"Quercus_prinus"	"Quercus_alba"	"Carya_glabra"	"Cornus_florida"	"Prunus_serotina"	"Tsuga_canadensis"	"Betula_lenta"	"Castanea_dentata"	"Kalmia_latifolia"	"Fagus_grandifolia"	"Carpinus_caroliniana"	"Lindera_benzoin"	"Liriodendron_tulipifera"	"Sassafras_albidum"	"T01"	"T02"	"T03"	"T04"	"T05"	"T08"	"T11"	"T12"	"N01"	"N06"	"N07"	"N10"	"N11"	"N13"	"N17"	"N18"	"N19"	"L01"	"L02"	"L03"	"L04"	"L05"	"L07"	"L09"	"L10"	"L11"	"L17"	"L20"	"G01"	"G02"	"G03"	"G04"	"G05"	"G08"	"G09"	"G10"	"G16"	"G21"	"G27"	"G28"	"G30"	"G33"	"G39"	"G40"	"G44"	"G45"	"G48"	"G60"	"A01"	"A02"	"A04"	"A06"	"A07"	"A08"	"A14"	"A15"	"A20"
"Acer_rubrum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0037037037037037	0.0037037037037037	0	0.0037037037037037	0	0	0	0	0.0037037037037037	0.0037037037037037	0.0037037037037037	0	0	0.0037037037037037	0	0.0037037037037037	0.0037037037037037	0.0037037037037037	0.0037037037037037	0	0	0	0.0037037037037037	0.0037037037037037	0.0037037037037037	0	0	0.0037037037037037	0.0037037037037037	0.0037037037037037	0.0037037037037037	0.0037037037037037	0.0037037037037037	0.0037037037037037	0.0037037037037037	0.0037037037037037	0	0	0	0	0	0	0	0	0	0	0	0	0.0037037037037037	0	0.0037037037037037	0	0	0.0037037037037037	0	0	0.0037037037037037
"Hamamelis_virginiana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00416666666666667	0.00416666666666667	0.00416666666666667	0	0	0	0	0	0.00416666666666667	0.00416666666666667	0.00416666666666667	0	0	0.00416666666666667	0	0	0.00416666666666667	0.00416666666666667	0.00416666666666667	0	0	0	0.00416666666666667	0.00416666666666667	0	0	0	0.00416666666666667	0.00416666666666667	0.00416666666666667	0	0.00416666666666667	0.00416666666666667	0	0.00416666666666667	0.00416666666666667	0	0	0	0	0	0	0	0.00416666666666667	0	0	0	0	0.00416666666666667	0	0.00416666666666667	0	0	0.00416666666666667	0	0	0.00416666666666667
"Quercus_rubra"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003125	0.003125	0.003125	0.003125	0	0	0	0	0.003125	0.003125	0.003125	0.003125	0	0.003125	0	0	0.003125	0.003125	0.003125	0.003125	0.003125	0	0.003125	0.003125	0.003125	0	0.003125	0.003125	0.003125	0.003125	0.003125	0.003125	0.003125	0	0.003125	0.003125	0	0	0.003125	0	0	0	0.003125	0	0	0	0	0	0.003125	0	0	0.003125	0	0	0	0.003125	0.003125
"Vaccinium_sp."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003125	0.003125	0	0.003125	0.003125	0	0.003125	0	0.003125	0.003125	0	0.003125	0	0.003125	0	0.003125	0.003125	0.003125	0.003125	0.003125	0.003125	0	0.003125	0.003125	0.003125	0	0	0.003125	0.003125	0.003125	0	0.003125	0.003125	0	0.003125	0	0.003125	0	0	0	0	0	0	0.003125	0	0	0	0	0.003125	0	0.003125	0.003125	0	0	0.003125	0.003125	0.003125
"Quercus_prinus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00277777777777778	0.00277777777777778	0.00277777777777778	0.00277777777777778	0.00277777777777778	0	0	0	0.00277777777777778	0.00277777777777778	0.00277777777777778	0	0	0.00277777777777778	0	0	0.00277777777777778	0.00277777777777778	0.00277777777777778	0.00277777777777778	0.00277777777777778	0	0.00277777777777778	0.00277777777777778	0	0	0.00277777777777778	0.00277777777777778	0.00277777777777778	0.00277777777777778	0	0.00277777777777778	0.00277777777777778	0.00277777777777778	0.00277777777777778	0.00277777777777778	0	0.00277777777777778	0.00277777777777778	0	0	0	0.00277777777777778	0.00277777777777778	0.00277777777777778	0.00277777777777778	0	0	0.00277777777777778	0	0.00277777777777778	0.00277777777777778	0	0	0	0.00277777777777778	0.00277777777777778
"Quercus_alba"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0032258064516129	0.0032258064516129	0.0032258064516129	0.0032258064516129	0.0032258064516129	0	0	0	0.0032258064516129	0.0032258064516129	0	0	0	0.0032258064516129	0	0	0.0032258064516129	0.0032258064516129	0.0032258064516129	0.0032258064516129	0	0	0	0.0032258064516129	0	0	0.0032258064516129	0	0.0032258064516129	0.0032258064516129	0	0.0032258064516129	0.0032258064516129	0.0032258064516129	0.0032258064516129	0.0032258064516129	0	0.0032258064516129	0.0032258064516129	0	0	0	0.0032258064516129	0.0032258064516129	0.0032258064516129	0	0	0	0.0032258064516129	0	0.0032258064516129	0.0032258064516129	0	0	0	0.0032258064516129	0.0032258064516129
"Carya_glabra"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00285714285714286	0.00285714285714286	0.00285714285714286	0	0	0	0	0.00285714285714286	0.00285714285714286	0.00285714285714286	0.00285714285714286	0	0.00285714285714286	0	0	0.00285714285714286	0.00285714285714286	0.00285714285714286	0.00285714285714286	0.00285714285714286	0	0.00285714285714286	0.00285714285714286	0.00285714285714286	0	0	0.00285714285714286	0.00285714285714286	0.00285714285714286	0	0.00285714285714286	0.00285714285714286	0.00285714285714286	0.00285714285714286	0.00285714285714286	0	0.00285714285714286	0.00285714285714286	0	0	0	0.00285714285714286	0	0.00285714285714286	0.00285714285714286	0	0	0.00285714285714286	0	0.00285714285714286	0.00285714285714286	0	0.00285714285714286	0	0.00285714285714286	0.00285714285714286
"Cornus_florida"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00357142857142857	0	0.00357142857142857	0.00357142857142857	0	0	0	0	0.00357142857142857	0.00357142857142857	0.00357142857142857	0.00357142857142857	0	0.00357142857142857	0	0	0	0.00357142857142857	0.00357142857142857	0.00357142857142857	0.00357142857142857	0	0.00357142857142857	0.00357142857142857	0	0	0	0	0.00357142857142857	0.00357142857142857	0	0.00357142857142857	0.00357142857142857	0.00357142857142857	0.00357142857142857	0.00357142857142857	0	0	0	0	0	0	0	0.00357142857142857	0	0	0	0.00357142857142857	0	0	0.00357142857142857	0.00357142857142857	0	0.00357142857142857	0	0.00357142857142857	0.00357142857142857
"Prunus_serotina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003125	0.003125	0.003125	0.003125	0.003125	0.003125	0.003125	0.003125	0	0	0.003125	0	0	0.003125	0.003125	0.003125	0.003125	0	0	0.003125	0	0	0	0	0.003125	0.003125	0	0.003125	0.003125	0.003125	0.003125	0.003125	0.003125	0.003125	0.003125	0	0	0	0.003125	0.003125	0	0.003125	0	0	0.003125	0	0	0.003125	0	0.003125	0	0.003125	0.003125
"Tsuga_canadensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00555555555555556	0.00555555555555556	0.00555555555555556	0.00555555555555556	0	0	0	0	0.00555555555555556	0.00555555555555556	0	0	0.00555555555555556	0.00555555555555556	0	0	0.00555555555555556	0	0	0	0	0	0.00555555555555556	0.00555555555555556	0	0	0.00555555555555556	0	0	0	0.00555555555555556	0.00555555555555556	0	0	0	0	0	0.00555555555555556	0	0	0.00555555555555556	0	0	0.00555555555555556	0	0	0	0.00555555555555556
"Betula_lenta"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00416666666666667	0	0	0	0	0	0.00416666666666667	0.00416666666666667	0.00416666666666667	0.00416666666666667	0	0.00416666666666667	0.00416666666666667	0	0	0.00416666666666667	0.00416666666666667	0.00416666666666667	0.00416666666666667	0	0	0	0	0	0.00416666666666667	0	0.00416666666666667	0	0	0	0.00416666666666667	0.00416666666666667	0.00416666666666667	0.00416666666666667	0.00416666666666667	0	0.00416666666666667	0	0	0	0.00416666666666667	0	0	0	0	0	0	0	0.00416666666666667	0	0	0.00416666666666667	0	0.00416666666666667	0.00416666666666667
"Castanea_dentata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00357142857142857	0.00357142857142857	0	0	0	0	0	0.00357142857142857	0.00357142857142857	0.00357142857142857	0.00357142857142857	0.00357142857142857	0	0.00357142857142857	0	0.00357142857142857	0.00357142857142857	0.00357142857142857	0.00357142857142857	0	0	0.00357142857142857	0.00357142857142857	0	0	0	0.00357142857142857	0.00357142857142857	0.00357142857142857	0	0.00357142857142857	0.00357142857142857	0	0.00357142857142857	0	0.00357142857142857	0.00357142857142857	0	0	0	0	0.00357142857142857	0.00357142857142857	0	0	0	0	0	0	0	0	0	0.00357142857142857	0.00357142857142857	0.00357142857142857	0.00357142857142857
"Kalmia_latifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00833333333333333	0	0	0	0	0	0	0.00833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00833333333333333	0.00833333333333333	0	0.00833333333333333	0.00833333333333333	0	0.00833333333333333	0	0.00833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00833333333333333	0.00833333333333333	0	0.00833333333333333	0	0	0.00833333333333333
