"Toddalia_asiatica"	"Molinaea_alternifolia"	"Aphloia_theiformis"	"Psiadia_terebinthina"	"Stillingia_lineata"	"Croton_fothergillifolius"	"Roussea_simplex"	"Erythroxylum_macrocarpum"	"Chassalia_coriacea"	"Bertiera_zaluzania"	"Dodonaea_viscosa"	"Antirhea_borbonica"	"Claoxylon_linostachys"	"Stomorhina_lunata"	"Pachycerina_crinicornis"	"Apis_mellifera"	"Brachymyrmex_sp1_M_PL_062"	"Fannia_pusio"	"Technomyrmex_albipes"	"Chaetocnema_sp1_M_PL_062"	"Chrysomya_megacephala"	"Eristalinus_flaveolus"	"Musca_domestica"	"Allograpta_nasuta"	"Syritta_nigrofemorata"	"Phorinia_sp1_M_PL_062"	"Leptotes_pirithous"	"Lygaeidae_sp1_M_PL_062"	"Lygistorrhina_sp1_M_PL_062"	"Nacoleia_sp1_M_PL_062"	"Polistes_hebraeus"	"Psilopa_iceryae"	"Diptera_sp1_M_PL_062"	"Paragus_borbonicus"	"Stomoxys_niger"	"Episyrphus_sp1_M_PL_062"	"Unidentified_sp7_M_PL_062"	"Graphomya_maculata"	"Sepsis_lateralis"	"Acalyptrate_sp1_M_PL_062"	"Homoneura_sp1_M_PL_062"	"Limnophora_quaterna"	"Pelecophora_intemipta"	"Stomoxys_calcitrans"	"Villa_unifasciata"	"Zosterops_mauritianus"	"Dioxyna_sororcula"	"Henotesia_narcissus"	"Phelsuma_cepediana"	"Pteromalidae_sp1_M_PL_062"	"Tarundia_servillei"	"Cheloninae_sp1_M_PL_062"	"Hyadina_sp1_M_PL_062"	"Ischiodon_aegyptius"	"Mauritiborium_undulatus"	"Panara_naso"	"Pterophoridae_sp1_M_PL_062"	"Sarcophaga_arno"
"Toddalia_asiatica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00526315789473684	0.00526315789473684	0	0.00526315789473684	0.00526315789473684	0.00526315789473684	0	0.00526315789473684	0.00526315789473684	0.00526315789473684	0.00526315789473684	0.00526315789473684	0.00526315789473684	0.00526315789473684	0	0	0	0	0.00526315789473684	0	0	0.00526315789473684	0	0	0	0.00526315789473684	0	0	0	0.00526315789473684	0	0	0	0.00526315789473684	0.00526315789473684	0	0	0	0.00526315789473684	0	0	0	0	0	0
"Molinaea_alternifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00625	0.00625	0.00625	0.00625	0.00625	0.00625	0	0.00625	0.00625	0.00625	0	0	0	0.00625	0	0	0.00625	0	0	0	0.00625	0.00625	0	0	0.00625	0	0	0	0	0	0.00625	0.00625	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aphloia_theiformis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	0.01	0	0	0	0	0.01	0	0.01	0.01	0	0	0	0	0.01	0.01	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Psiadia_terebinthina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00588235294117647	0.00588235294117647	0.00588235294117647	0.00588235294117647	0	0	0	0.00588235294117647	0.00588235294117647	0.00588235294117647	0.00588235294117647	0.00588235294117647	0.00588235294117647	0	0.00588235294117647	0	0	0.00588235294117647	0	0	0.00588235294117647	0.00588235294117647	0	0.00588235294117647	0	0	0	0	0	0	0	0.00588235294117647	0	0	0	0	0	0	0	0	0	0	0	0.00588235294117647	0
"Stillingia_lineata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00909090909090909	0	0.00909090909090909	0.00909090909090909	0.00909090909090909	0.00909090909090909	0	0	0.00909090909090909	0	0	0	0	0	0	0	0	0	0.00909090909090909	0	0	0	0	0	0	0.00909090909090909	0.00909090909090909	0	0	0	0	0	0	0	0	0.00909090909090909	0	0	0.00909090909090909	0	0	0	0	0
"Croton_fothergillifolius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00588235294117647	0.00588235294117647	0	0.00588235294117647	0	0	0.00588235294117647	0.00588235294117647	0.00588235294117647	0.00588235294117647	0	0.00588235294117647	0	0.00588235294117647	0	0	0	0	0	0	0.00588235294117647	0.00588235294117647	0.00588235294117647	0.00588235294117647	0.00588235294117647	0	0	0	0	0	0.00588235294117647	0.00588235294117647	0	0	0	0	0	0	0	0	0	0	0	0	0.00588235294117647
"Roussea_simplex"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	0.01	0	0	0	0	0.01	0.01	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0	0	0	0	0	0	0	0
"Erythroxylum_macrocarpum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00714285714285714	0.00714285714285714	0	0	0	0	0.00714285714285714	0.00714285714285714	0.00714285714285714	0	0.00714285714285714	0.00714285714285714	0.00714285714285714	0.00714285714285714	0	0	0	0	0	0	0	0	0.00714285714285714	0	0	0	0	0	0.00714285714285714	0	0.00714285714285714	0	0	0	0	0	0	0	0	0	0.00714285714285714	0.00714285714285714	0	0	0
"Chassalia_coriacea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0166666666666667	0.0166666666666667	0	0	0	0	0	0	0	0	0	0.0166666666666667	0	0.0166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0166666666666667	0	0	0	0	0.0166666666666667	0	0
"Bertiera_zaluzania"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dodonaea_viscosa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Antirhea_borbonica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Claoxylon_linostachys"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
