"Achyrocline_satureoides"	"Eryngium_stenophyllum"	"Gerardia_genistifolia"	"Baccharis_tandilensis"	"Foeniculum_vulgare"	"Lathyrus_pubescens"	"Eupatorium_bupleurifolium"	"Senecio_madagascariensis"	"Eupatorium_macrocephalum"	"Colletia_paradoxa"	"Spilanthes_stolonifera"	"Verbena_intermedia"	"Senecio_selloi"	"Bidens_pilosa"	"Passiflora_caerulea"	"Rodophiala_bifidum"	"Eupatorium_tenacetifolium"	"Canna_glauca"	"Cynara_cardunculus"	"Gomphrena_perennis"	"Lathyrus_nervosus"	"Melilotus_officinalis"	"Rapistrum_rugosum"	"Spartium_junceum"	"Vernonia_echioides"	"Apis_mellifera"	"Astylus_quadrilineatus"	"Brachygastra_lechiguana"	"Augochlora_semiramis"	"Augochloropsis_erato"	"Allograpta_sp1_M_PL_072_04"	"Polybia_scutellaris"	"Unidentified_sp15_M_PL_072_04"	"Lerodea_eufala"	"Polistes_sp1_M_PL_072_04"	"Toxomerus_sp1_M_PL_072_04"	"Unidentified_sp1_M_PL_072_04"	"Unidentified_sp4_M_PL_072_04"	"Unidentified_sp7_M_PL_072_04"	"Bombus_bellicosus"	"Lucilia_sericata"	"Platycheirus_sp1_M_PL_072_04"	"Unidentified_sp12_M_PL_072_04"	"Unidentified_sp9_M_PL_072_04"	"Vanessa_sp1_M_PL_072_04"	"Xylocopa_augusti"	"Xylocopa_ciliata"	"Agraulis_vanillae"	"Augochlorella_ephyra"	"Chlorion_sp1_M_PL_072_04"	"Corticea_immocerina"	"Mischocyttarus_drewseni"	"Parachytas_sp1_M_PL_072_04"	"Unidentified_sp6_M_PL_072_04"	"Camponotus_sp1_M_PL_072_04"	"Chilicola_sp1_M_PL_072_04"	"Colletes_sp1_M_PL_072_04"	"Discodon_sp2_M_PL_072_04"	"Leioproctus_indigoticus"	"Pampasatyrus_gyrtone"	"Podagritus_sp1_M_PL_072_04"	"Ruizantheda_divaricata"	"Thespieus_catochra"	"Unidentified_sp10_M_PL_072_04"	"Unidentified_sp3_M_PL_072_04"	"Villa_sp1_M_PL_072_04"	"Augochloropsis_sp1_M_PL_072_04"	"Bombus_atratus"	"Campsomeris_sp1_M_PL_072_04"	"Ceratina_montana"	"Ceratina_rupestris"	"Chauliognathus_sp1_M_PL_072_04"	"Chlorostilbon_aureoventris"	"Chrysodina_sp1_M_PL_072_04"	"Cochliomyia_macellaria"	"Colias_lesbia"	"Colletes_cyaneus"	"Discodon_sp1_M_PL_072_04"	"Entypus_ferruginipennis"	"Entypus_sp1_M_PL_072_04"	"Gaesischia_sp1_M_PL_072_04"	"Hedriodiscus_pulcher"	"Leucospis_sp1_M_PL_072_04"	"Megacyllene_insignita"	"Melissoptila_tandilensis"	"Palpada_sp1_M_PL_072_04"	"Paramoecerus_barbicornis"	"Strymon_eurytulus"	"Unidentified_sp11_M_PL_072_04"	"Unidentified_sp13_M_PL_072_04"	"Unidentified_sp14_M_PL_072_04"	"Unidentified_sp2_M_PL_072_04"	"Unidentified_sp5_M_PL_072_04"	"Unidentified_sp8_M_PL_072_04"
"Achyrocline_satureoides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00277777777777778	0	0.00277777777777778	0.00277777777777778	0.00277777777777778	0.00277777777777778	0.00277777777777778	0.00277777777777778	0.00277777777777778	0.00277777777777778	0.00277777777777778	0.00277777777777778	0.00277777777777778	0	0.00277777777777778	0.00277777777777778	0.00277777777777778	0.00277777777777778	0	0	0	0	0.00277777777777778	0.00277777777777778	0.00277777777777778	0	0.00277777777777778	0.00277777777777778	0.00277777777777778	0.00277777777777778	0.00277777777777778	0.00277777777777778	0.00277777777777778	0.00277777777777778	0	0.00277777777777778	0.00277777777777778	0.00277777777777778	0.00277777777777778	0.00277777777777778	0.00277777777777778	0	0	0	0	0	0	0	0	0	0	0	0	0.00277777777777778	0	0	0	0.00277777777777778	0	0	0	0	0	0	0	0.00277777777777778	0	0	0
"Eryngium_stenophyllum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0.004	0.004	0.004	0	0.004	0.004	0.004	0	0.004	0.004	0.004	0.004	0	0	0.004	0	0.004	0.004	0	0	0	0	0	0	0	0.004	0	0.004	0.004	0.004	0.004	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0.004	0	0	0.004	0	0	0	0	0.004	0	0	0	0	0	0.004	0	0	0.004	0	0	0	0	0
"Gerardia_genistifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0.005	0.005	0	0	0.005	0.005	0	0	0	0.005	0.005	0.005	0	0	0	0	0	0.005	0.005	0	0.005	0	0	0	0.005	0	0	0	0	0	0.005	0	0	0	0	0.005	0.005	0	0	0.005	0.005	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0.005	0	0	0	0
"Baccharis_tandilensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00555555555555556	0.00555555555555556	0	0	0	0.00555555555555556	0.00555555555555556	0	0.00555555555555556	0	0	0.00555555555555556	0	0	0.00555555555555556	0	0.00555555555555556	0.00555555555555556	0	0	0	0	0	0.00555555555555556	0	0	0.00555555555555556	0	0	0	0	0.00555555555555556	0	0	0.00555555555555556	0	0	0	0	0.00555555555555556	0	0	0	0	0	0	0	0	0	0	0	0.00555555555555556	0	0	0	0	0	0.00555555555555556	0	0	0.00555555555555556	0	0	0	0	0.00555555555555556	0	0
"Foeniculum_vulgare"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00769230769230769	0	0	0.00769230769230769	0.00769230769230769	0.00769230769230769	0	0.00769230769230769	0	0.00769230769230769	0.00769230769230769	0	0	0.00769230769230769	0	0.00769230769230769	0.00769230769230769	0	0	0	0	0	0	0	0.00769230769230769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00769230769230769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00769230769230769	0
"Lathyrus_pubescens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00909090909090909	0.00909090909090909	0.00909090909090909	0.00909090909090909	0	0	0.00909090909090909	0	0	0.00909090909090909	0	0	0	0.00909090909090909	0.00909090909090909	0	0	0	0	0.00909090909090909	0.00909090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00909090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eupatorium_bupleurifolium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0.01	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0
"Senecio_madagascariensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0.01	0.01	0	0	0	0	0.01	0.01	0	0.01	0	0	0.01	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eupatorium_macrocephalum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0111111111111111	0	0	0	0	0	0.0111111111111111	0	0	0	0	0.0111111111111111	0.0111111111111111	0	0	0	0	0.0111111111111111	0	0.0111111111111111	0.0111111111111111	0	0	0.0111111111111111	0	0	0	0	0	0	0	0	0	0	0	0.0111111111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Colletia_paradoxa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0166666666666667	0	0.0166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0166666666666667	0.0166666666666667	0	0	0	0.0166666666666667	0.0166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
