"Nephrosperma_vanhoutteanum"	"Paragenipa_wrightii"	"Memecylon_eleagni"	"Mimusops_sechellarum"	"Soulamea_terminaloides"	"Apis_mellifera"	"Unidentified_sp2_M_PL_084"	"Rhiparida_seychellensis"	"Lasioglossum_mahense"	"Lygistorrhina_sp1_M_PL_084"	"Unidentified_sp1_M_PL_084"	"Scaptodrosophila_sp1_M_PL_084"	"Xylocopa_caffra"	"Geron_seychellarum"	"Phelsuma_sp1_M_PL_084"	"Polistes_olivaceus"	"Unidentified_sp3_M_PL_084"
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0.0125	0.0125	0.0125	0	0.0125	0.0125	0	0	0.0125	0.0125	0	0.0125
"Paragenipa_wrightii"	0	0	0	0	0	0.025	0	0	0.025	0	0	0	0.025	0	0	0.025	0
"Memecylon_eleagni"	0	0	0	0	0	0.05	0	0	0	0	0	0	0.05	0	0	0	0
"Mimusops_sechellarum"	0	0	0	0	0	0	0	0	0	0	0.05	0.05	0	0	0	0	0
"Soulamea_terminaloides"	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0
"Apis_mellifera"	0.0333333333333333	0.0333333333333333	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp2_M_PL_084"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhiparida_seychellensis"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lasioglossum_mahense"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lygistorrhina_sp1_M_PL_084"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_PL_084"	0.0333333333333333	0	0	0.0333333333333333	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0
"Scaptodrosophila_sp1_M_PL_084"	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Xylocopa_caffra"	0	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Geron_seychellarum"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phelsuma_sp1_M_PL_084"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Polistes_olivaceus"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp3_M_PL_084"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
