"Marmota_caudata"	"Microtus_juldaschi"	"Apodemus_uralensis"	"Alticola_argentatus"	"Cricetulus_migratorius"	"Dryomys_nitedula"	"Rattus_turkestanicus"	"Citellophilus_lebedewi"	"Rhadinopsylla_li"	"Amphipsylla_phaiomydis"	"Oropsylla_silantiewi"	"Callopsylla_caspia"	"Pectinoctenus_nemorosa"	"Frontopsylla_elata"	"Leptopsylla_nana"	"Ceratophyllus_sinicus"	"Amphipsylla_montana"	"Neopsylla_pleskei"	"Amphipsylla_anceps"	"Ceratophyllus_sciurorum"	"Frontopsylla_ambigua"	"Nosopsyllus_simla"	"Frontopsylla_ornata"	"Amphipsylla_primaris"	"Frontopsylla_protera"	"Neopsylla_meridiana"	"Callopsylla_lagomys"	"Rhadinopsylla_altifrons"	"Paraneopsylla_ioffi"	"Leptopsylla_taschenbergi"
"Marmota_caudata"	0	0	0	0	0	0	0	0.0142857142857143	0.0142857142857143	0	0.0142857142857143	0	0	0.0142857142857143	0	0.0142857142857143	0	0	0	0	0.0142857142857143	0	0	0	0	0	0	0	0.0142857142857143	0
"Microtus_juldaschi"	0	0	0	0	0	0	0	0.00588235294117647	0	0.00588235294117647	0	0.00588235294117647	0.00588235294117647	0.00588235294117647	0.00588235294117647	0	0.00588235294117647	0.00588235294117647	0.00588235294117647	0.00588235294117647	0.00588235294117647	0	0.00588235294117647	0.00588235294117647	0.00588235294117647	0.00588235294117647	0.00588235294117647	0.00588235294117647	0	0
"Apodemus_uralensis"	0	0	0	0	0	0	0	0.00625	0	0.00625	0	0.00625	0.00625	0.00625	0.00625	0.00625	0.00625	0.00625	0.00625	0	0.00625	0	0.00625	0	0.00625	0	0	0.00625	0.00625	0.00625
"Alticola_argentatus"	0	0	0	0	0	0	0	0	0	0.0111111111111111	0	0.0111111111111111	0.0111111111111111	0.0111111111111111	0.0111111111111111	0	0.0111111111111111	0.0111111111111111	0.0111111111111111	0	0.0111111111111111	0	0	0	0	0	0	0	0	0
"Cricetulus_migratorius"	0	0	0	0	0	0	0	0.00909090909090909	0	0.00909090909090909	0	0.00909090909090909	0	0	0.00909090909090909	0	0.00909090909090909	0.00909090909090909	0.00909090909090909	0	0	0	0.00909090909090909	0.00909090909090909	0	0.00909090909090909	0	0.00909090909090909	0	0
"Dryomys_nitedula"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0
"Rattus_turkestanicus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0.05	0
"Citellophilus_lebedewi"	0.025	0.025	0.025	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_li"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_phaiomydis"	0	0.025	0.025	0.025	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Oropsylla_silantiewi"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Callopsylla_caspia"	0	0.025	0.025	0.025	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pectinoctenus_nemorosa"	0	0.0333333333333333	0.0333333333333333	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Frontopsylla_elata"	0.025	0.025	0.025	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Leptopsylla_nana"	0	0.025	0.025	0.025	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ceratophyllus_sinicus"	0.05	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_montana"	0	0.025	0.025	0.025	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_pleskei"	0	0.025	0.025	0.025	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_anceps"	0	0.025	0.025	0.025	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ceratophyllus_sciurorum"	0	0.05	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Frontopsylla_ambigua"	0.025	0.025	0.025	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nosopsyllus_simla"	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
