"Fuchsia_regia"	"Spirotheca_rivieri"	"Inga_sp1_M_PL_069_02"	"Aegiphila_obducta"	"Nematanthus_australis"	"Justicia_carnea"	"Vriesea_altodaserrae"	"Vriesea_incurvata"	"Heliconia_farinosa"	"Nidularium_inocentii"	"Clytolaema_rubricauda"	"Thalurania_glaucopis"	"Phaethornis_eurynome"	"Amazilia_versicolor"
"Fuchsia_regia"	0	0	0	0	0	0	0	0	0	0	0.05	0.05	0	0
"Spirotheca_rivieri"	0	0	0	0	0	0	0	0	0	0	0.05	0.05	0	0
"Inga_sp1_M_PL_069_02"	0	0	0	0	0	0	0	0	0	0	0.05	0.05	0	0
"Aegiphila_obducta"	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05	0
"Nematanthus_australis"	0	0	0	0	0	0	0	0	0	0	0.05	0.05	0	0
"Justicia_carnea"	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0
"Vriesea_altodaserrae"	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0.05
"Vriesea_incurvata"	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0
"Heliconia_farinosa"	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0
"Nidularium_inocentii"	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0
"Clytolaema_rubricauda"	0.02	0.02	0.02	0	0.02	0	0.02	0	0	0	0	0	0	0
"Thalurania_glaucopis"	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0.0166666666666667	0	0	0	0.0166666666666667	0	0	0	0	0
"Phaethornis_eurynome"	0	0	0	0.025	0	0.025	0	0.025	0	0.025	0	0	0	0
"Amazilia_versicolor"	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0
