"Buffalo"	"Bushbuck"	"Bushpig"	"common_duiker"	"Giraffe"	"Hippo"	"Impala"	"Klipspringer"	"Kudu"	"Nyala"	"Reedbuck"	"Steenbok"	"Tsessebe"	"Warthog"	"Waterbuck"	"White_Rhino"	"Wildebeest"	"Zebra"	"Lion"	"Leopard"	"Cheetah"	"wild_dog"
"Buffalo"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05	0	0
"Bushbuck"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0.025	0.025	0.025
"Bushpig"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0
"common_duiker"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0.025	0.025	0.025
"Giraffe"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05	0	0
"Hippo"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0
"Impala"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0.025	0.025	0.025
"Klipspringer"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0
"Kudu"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0.025	0.025	0.025
"Nyala"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0.025	0.025	0.025
"Reedbuck"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05	0
"Steenbok"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0.025	0.025	0.025
"Tsessebe"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05	0	0
"Warthog"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0.0333333333333333	0.0333333333333333	0
"Waterbuck"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0.025	0.025	0.025
"White_Rhino"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0
"Wildebeest"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0.0333333333333333	0.0333333333333333	0
"Zebra"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05	0	0
"Lion"	0.00625	0.00625	0.00625	0.00625	0.00625	0.00625	0.00625	0	0.00625	0.00625	0	0.00625	0.00625	0.00625	0.00625	0.00625	0.00625	0.00625	0	0	0	0
"Leopard"	0.00666666666666667	0.00666666666666667	0	0.00666666666666667	0.00666666666666667	0	0.00666666666666667	0.00666666666666667	0.00666666666666667	0.00666666666666667	0.00666666666666667	0.00666666666666667	0.00666666666666667	0.00666666666666667	0.00666666666666667	0	0.00666666666666667	0.00666666666666667	0	0	0	0
"Cheetah"	0	0.01	0	0.01	0	0	0.01	0	0.01	0.01	0.01	0.01	0	0.01	0.01	0	0.01	0	0	0	0	0
"wild_dog"	0	0.0142857142857143	0	0.0142857142857143	0	0	0.0142857142857143	0	0.0142857142857143	0.0142857142857143	0	0.0142857142857143	0	0	0.0142857142857143	0	0	0	0	0	0	0
