"Stillingia_lineata"	"Labourdonnaisia_callophylloides"	"Aphloia_theiformis"	"Gaertnera_sp1_M_PL_081"	"Ochna_mauritiana"	"Croton_grangeroides"	"Syzygium_coriaceum"	"Grangeria_borbonica"	"Phyllanthus_phillyreifolius"	"Croton_fothergillifolius"	"Euodia_chapelieri"	"Cordemoya_integrifolia"	"Smilax_anceps"	"Chaetocnema_sp1_M_PL_081"	"Apis_mellifera"	"Musca_domestica"	"Chrysomya_megacephala"	"Nacoleia_sp1_M_PL_081"	"Technomyrmex_albipes"	"Brachymyrmex_sp1_M_PL_081"	"Stomorhina_lunata"	"Dysauxes_florida"	"Phorinia_sp1_M_PL_081"	"Allograpta_nasuta"	"Villa_unifasciata"	"Ahasverus_advena"	"Episyrphus_sp1_M_PL_081"	"Pachycerina_crinicornis"	"Syritta_nigrofemorata"	"Cheloninae_sp1_M_PL_081"	"Fannia_pusio"	"Lecithoceridae_sp1_M_PL_081"	"Mauritiborium_undulatus"	"Melanostoma_annulipes"	"Melanostoma_bituberculatum"	"Mordellidae_sp1_M_PL_081"	"Nacoleia_sp2_M_PL_081"	"Paragus_borbonicus"	"Pelecophora_intemipta"	"Polistes_hebraeus"	"Sarcophaga_arno"	"Stomoxys_calcitrans"	"Syritta_sp1_M_PL_081"	"Thysanoplusia_orichalcea"
"Stillingia_lineata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00588235294117647	0	0.00588235294117647	0.00588235294117647	0	0.00588235294117647	0	0	0	0.00588235294117647	0.00588235294117647	0.00588235294117647	0.00588235294117647	0	0.00588235294117647	0.00588235294117647	0	0.00588235294117647	0	0.00588235294117647	0	0	0.00588235294117647	0	0.00588235294117647	0.00588235294117647	0	0.00588235294117647	0	0.00588235294117647	0
"Labourdonnaisia_callophylloides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aphloia_theiformis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0125	0.0125	0	0	0.0125	0.0125	0.0125	0	0	0	0.0125	0	0	0	0	0	0	0	0	0	0.0125	0	0	0	0	0	0	0.0125	0	0
"Gaertnera_sp1_M_PL_081"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0111111111111111	0.0111111111111111	0	0.0111111111111111	0.0111111111111111	0	0	0	0	0	0.0111111111111111	0	0	0.0111111111111111	0	0	0	0	0.0111111111111111	0	0	0	0	0	0	0	0.0111111111111111	0	0	0	0.0111111111111111
"Ochna_mauritiana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0125	0	0.0125	0.0125	0.0125	0	0	0.0125	0	0	0.0125	0	0	0	0.0125	0	0	0	0	0	0.0125	0	0	0	0	0	0	0	0	0	0
"Croton_grangeroides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0	0.0333333333333333	0	0	0	0	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Syzygium_coriaceum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0.02	0	0	0.02	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Grangeria_borbonica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0166666666666667	0.0166666666666667	0	0	0	0	0	0	0.0166666666666667	0	0.0166666666666667	0	0.0166666666666667	0	0	0	0	0	0	0	0	0	0	0.0166666666666667	0	0	0	0	0	0	0
"Phyllanthus_phillyreifolius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0	0	0.0333333333333333	0	0	0	0	0	0	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Croton_fothergillifolius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
