"Cordia_lutea"	"Darwiniothamnus_tenuifolius"	"Plumbago_scandens"	"Justicia_galapagana"	"Tournefortia_rufo-sericea"	"Cassia_sp1_M_PL_026"	"Gossypium_sp1_M_PL_026"	"Opuntia_helleri"	"Scalesia_beurii"	"Sida_rhombifolia"	"Clerodendrum_molle_var."	"Cordia_leucophlyctis"	"Diodia_radula"	"Lycopersicon_cheesmanii"	"Mormordica_charantia"	"Vigna_luteola"	"Acacia_insulae-iacobi"	"Avicennia_germinans"	"Bidens_pilosa"	"Cassia_picta"	"Clerodendrum_molle"	"Commicarpus_tuberosus"	"Croton_scouleri"	"Cryptocarpus_pyriformis"	"Gossypium_barbadense"	"Opuntia_echios"	"Prosopis_juliflora"	"Solanum_americanum"	"Tournefortia_psilostachya"	"Tribulus_cistoides"	"Waltheria_ovata"	"Abelmoschus_manihot"	"Abutilon_depauperatum"	"Acacia_macracantha"	"Ageratum_conyzoides"	"Bacopa_monniera"	"Bastardia_viscosa"	"Bougainvillea_sp1_M_PL_026"	"Brassica_campestris"	"Bursera_graveolens"	"Cacabus_miersii"	"Caesalpinia_pulcherrima"	"Canna_sp1_M_PL_026"	"Capsicum_frutescens"	"Cardiospermum_galapageium"	"Carica_papaya"	"Cassia_occidentalis"	"Castela_galapageia"	"Catharanthus_roseus"	"Chicocca_alba"	"Clerodendrum_molle_glabr."	"Coffea_arabica"	"Cordia_sp1_M_PL_026"	"Crotalaria_incana"	"Cucurbita_pepo"	"Cuphea_racemosa"	"Encelia_hispida"	"Euphorbia_cyathophora"	"Galactea_striata"	"Galvezia_leucantha"	"Galvezia_leucantha_pubescen"	"Geoffroea_spinosa"	"Hibiscus_teliaceus"	"Inga_edulis"	"Ipomoea_linearifolia"	"Ipomoea_pes-caprae"	"Ipomoea_sp1_M_PL_026"	"Jaegeria_gracilis"	"Lantana_peducularis"	"Lycopersicon_cheesmanii_minor"	"Macraea_laricifolia"	"Malvastrum_coromandelianum"	"Mentzelia_aspera"	"Miconia_robinsoniana"	"Mirabilis_jalapa"	"Nolana_galapagensis"	"Opuntia_echios_gigantea"	"Opuntia_megasperma"	"Opuntia_sp1_M_PL_026"	"Opuntia_sp2_M_PL_026"	"Parkinsonia_aculeata"	"Passiflora_foetida"	"Persea_maericana"	"Phyla_sp1_M_PL_026"	"Physalis_pubescens"	"Piscidia_carthagenesis"	"Polygonum_opelousanum"	"Portulaca_oleracea"	"Psidium_guajava"	"Psychotria_rufipes"	"Rhynchosia_minima"	"Scalesia_affinis"	"Scalesia_helleri"	"Scalesia_pedunculata"	"Scalesia_sp1_M_PL_026"	"Scaveola_plumieri"	"Sesuvium_portulacastrum"	"Setaria_geniculta"	"Sida_acuta"	"Sida_paniculata"	"Sida_spinosa"	"Sonchus_oleraceus"	"Stachtarpheta_cayanensis"	"Tetramerium_nervosum"	"Vallesia_glabra"	"Xylocopa_darwini"	"Phoebis_sennae"	"Leptotes_parrhasioides"	"Atteva_hysginiella"	"Toxomerus_crockeri"	"Urbanus_dorantes"	"Wasmannia_auropunctata"	"Agrius_cingulatus"	"Utetheisa_galapagensis"	"Euchrombius_ocellus"	"Lepidanthrax_tinctus"	"Manduca_rustica"	"Oxacis_sp1_M_PL_026"	"Unidentified_sp4_M_PL_026"	"Camponotus_planus"	"Disclisioprocta_stellata"	"Monomorium_floricola"	"Paratrechina_longicornis"	"Paratrechina_vaga"	"Psedoplusia_includens"	"Tapinoma_melanocephalum"	"Unidentified_sp2_M_PL_026"	"Unidentified_sp9_M_PL_026"	"Amblycerus_piurae"	"Ammophorus_sp1_M_PL_026"	"Cardiocondyla_nuda"	"Chrysopa_sp1_M_PL_026"	"Cricket_sp1_M_PL_026"	"Darwinysius_marginalis"	"Enyo_lugubris_delanoi"	"Frankliniella_sp1_M_PL_026"	"Goniozus_sp1_M_PL_026"	"Heliothis_cystiphora"	"Hypasclera_collenettei"	"Hypasclera_sp1_M_PL_026"	"Melipotis_indomita"	"Metacanthus_galapagensis"	"Mordellistena_galapagensis"	"Mythenteles_sp1_M_PL_026"	"Naucles_sp1_M_PL_026"	"Olcella_sp1_M_PL_026"	"Ornebius_erraticus"	"Orthoperus_sp1_M_PL_026"	"Perepitragus_fascipes"	"Rhinacloa_sp1_M_PL_026"	"Tetramorium_guineense"	"Unidentified_sp1_M_PL_026"	"Unidentified_sp10_M_PL_026"	"Unidentified_sp11_M_PL_026"	"Unidentified_sp3_M_PL_026"	"Unidentified_sp5_M_PL_026"	"Unidentified_sp6_M_PL_026"	"Unidentified_sp7_M_PL_026"	"Unidentified_sp8_M_PL_026"
"Cordia_lutea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00434782608695652	0.00434782608695652	0	0.00434782608695652	0	0.00434782608695652	0.00434782608695652	0	0.00434782608695652	0.00434782608695652	0	0.00434782608695652	0.00434782608695652	0.00434782608695652	0.00434782608695652	0	0.00434782608695652	0.00434782608695652	0.00434782608695652	0	0	0	0	0.00434782608695652	0	0	0.00434782608695652	0	0	0.00434782608695652	0	0	0	0.00434782608695652	0.00434782608695652	0.00434782608695652	0.00434782608695652	0	0	0	0	0	0	0.00434782608695652	0	0	0.00434782608695652	0	0	0	0	0	0	0
"Darwiniothamnus_tenuifolius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00909090909090909	0	0	0.00909090909090909	0.00909090909090909	0.00909090909090909	0	0	0	0	0.00909090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00909090909090909	0	0	0.00909090909090909	0	0	0	0	0	0	0	0	0.00909090909090909	0	0.00909090909090909	0	0	0	0	0.00909090909090909	0	0	0	0	0	0.00909090909090909
"Plumbago_scandens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0111111111111111	0.0111111111111111	0	0	0	0.0111111111111111	0.0111111111111111	0	0	0	0.0111111111111111	0	0	0	0	0	0	0	0.0111111111111111	0	0	0	0	0	0	0.0111111111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0111111111111111	0	0.0111111111111111	0	0	0	0	0	0	0	0	0	0	0	0
"Justicia_galapagana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0125	0.0125	0.0125	0	0.0125	0.0125	0.0125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0125	0.0125	0	0	0	0
"Tournefortia_rufo-sericea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0142857142857143	0	0	0	0	0.0142857142857143	0	0.0142857142857143	0	0	0	0	0	0	0.0142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0142857142857143	0	0	0	0	0	0	0.0142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0142857142857143	0
"Cassia_sp1_M_PL_026"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0.02	0	0	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gossypium_sp1_M_PL_026"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0.02	0	0	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Opuntia_helleri"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0
"Scalesia_beurii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0
"Sida_rhombifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0.025	0.025	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
