File	N.modules	Modularity	P.Null1	P.Null2
M_GC_10_littlecolorado_N1.txt	6	0.346400	0.000000	0.000000
M_GC_10_littlecolorado_N10.txt	5	0.376200	0.000000	0.000000
M_GC_10_littlecolorado_N100.txt	5	0.364600	0.000000	0.000000
M_GC_10_littlecolorado_N11.txt	5	0.371600	0.000000	0.000000
M_GC_10_littlecolorado_N12.txt	5	0.367000	0.000000	0.000000
M_GC_10_littlecolorado_N13.txt	7	0.352400	0.000000	0.000000
M_GC_10_littlecolorado_N14.txt	5	0.384800	0.000000	0.000000
M_GC_10_littlecolorado_N15.txt	5	0.376200	0.000000	0.000000
M_GC_10_littlecolorado_N16.txt	6	0.365200	0.000000	0.000000
M_GC_10_littlecolorado_N17.txt	5	0.345000	0.000000	0.000000
M_GC_10_littlecolorado_N18.txt	5	0.343000	0.000000	0.000000
M_GC_10_littlecolorado_N19.txt	5	0.389000	0.000000	0.000000
M_GC_10_littlecolorado_N2.txt	5	0.370400	0.000000	0.000000
M_GC_10_littlecolorado_N20.txt	6	0.362400	0.000000	0.000000
M_GC_10_littlecolorado_N21.txt	7	0.345800	0.000000	0.000000
M_GC_10_littlecolorado_N22.txt	5	0.367400	0.000000	0.000000
M_GC_10_littlecolorado_N23.txt	4	0.360800	0.000000	0.000000
M_GC_10_littlecolorado_N24.txt	7	0.365600	0.000000	0.000000
M_GC_10_littlecolorado_N25.txt	5	0.382200	0.000000	0.000000
M_GC_10_littlecolorado_N26.txt	4	0.391400	0.000000	0.000000
M_GC_10_littlecolorado_N27.txt	6	0.337600	0.000000	0.000000
M_GC_10_littlecolorado_N28.txt	5	0.365800	0.000000	0.000000
M_GC_10_littlecolorado_N29.txt	5	0.356600	0.000000	0.000000
M_GC_10_littlecolorado_N3.txt	5	0.356600	0.000000	0.000000
M_GC_10_littlecolorado_N30.txt	5	0.356800	0.000000	0.000000
M_GC_10_littlecolorado_N31.txt	6	0.380400	0.000000	0.000000
M_GC_10_littlecolorado_N32.txt	4	0.367400	0.000000	0.000000
M_GC_10_littlecolorado_N33.txt	6	0.357800	0.000000	0.000000
M_GC_10_littlecolorado_N34.txt	7	0.342400	0.000000	0.000000
M_GC_10_littlecolorado_N35.txt	6	0.351400	0.000000	0.000000
M_GC_10_littlecolorado_N36.txt	6	0.388400	0.000000	0.000000
M_GC_10_littlecolorado_N37.txt	5	0.351200	0.000000	0.000000
M_GC_10_littlecolorado_N38.txt	5	0.360600	0.000000	0.000000
M_GC_10_littlecolorado_N39.txt	4	0.367000	0.000000	0.000000
M_GC_10_littlecolorado_N4.txt	6	0.360400	0.000000	0.000000
M_GC_10_littlecolorado_N40.txt	5	0.370400	0.000000	0.000000
M_GC_10_littlecolorado_N41.txt	5	0.350200	0.000000	0.000000
M_GC_10_littlecolorado_N42.txt	4	0.364600	0.000000	0.000000
M_GC_10_littlecolorado_N43.txt	5	0.350800	0.000000	0.000000
M_GC_10_littlecolorado_N44.txt	5	0.388200	0.000000	0.000000
M_GC_10_littlecolorado_N45.txt	4	0.380000	0.000000	0.000000
M_GC_10_littlecolorado_N46.txt	5	0.359000	0.000000	0.000000
M_GC_10_littlecolorado_N47.txt	5	0.380200	0.000000	0.000000
M_GC_10_littlecolorado_N48.txt	5	0.359400	0.000000	0.000000
M_GC_10_littlecolorado_N49.txt	6	0.370800	0.000000	0.000000
M_GC_10_littlecolorado_N5.txt	5	0.345400	0.000000	0.000000
M_GC_10_littlecolorado_N50.txt	5	0.390000	0.000000	0.000000
