"R1"	"R2"	"R3"	"R4"	"R5"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"
"R1"	1.00201033821751	0.00201033821751184	0.00202903236907222	0.0020256506484571	0.0020256506484571	0.000114843232089488	0.000114843232089488	0.100516910875592	0.000114843232089488	0.000114843232089488	3.38172061512037e-05
"R2"	0.00201033821751184	1.00201033821751	0.00202903236907222	0.0020256506484571	0.0020256506484571	0.000114843232089488	0.000114843232089488	0.100516910875592	0.000114843232089488	0.000114843232089488	3.38172061512037e-05
"R3"	0.000338172061512037	0.000338172061512037	1.00425739687808	0.00258363454995196	0.00258363454995196	0.0168409686632995	0.0168409686632994	0.0169086030756019	0.0168409686632995	0.0168409686632994	0.0167376232813014
"R4"	0.00040513012969142	0.00040513012969142	0.00310036145994236	1.00309519419084	0.00309519419084245	0.0201754804586327	0.0201754804586327	0.020256506484571	0.0201754804586327	0.0201754804586327	5.16726909990393e-05
"R5"	0.00040513012969142	0.00040513012969142	0.00310036145994236	0.00309519419084245	1.00309519419084	0.0201754804586327	0.0201754804586327	0.020256506484571	0.0201754804586327	0.0201754804586327	5.16726909990393e-05
"C1"	3.82810773631626e-05	3.82810773631626e-05	0.0336819373265989	0.0336258007643879	0.0336258007643879	1.00190639765269	0.0019063976526855	0.00191405386815813	0.0019063976526855	0.0019063976526855	0.000561365622109982
"C2"	3.82810773631626e-05	3.82810773631626e-05	0.0336819373265989	0.0336258007643879	0.0336258007643879	0.0019063976526855	1.00190639765269	0.00191405386815813	0.0019063976526855	0.0019063976526855	0.000561365622109981
"C3"	0.0201033821751184	0.0201033821751184	0.0202903236907222	0.020256506484571	0.020256506484571	0.00114843232089488	0.00114843232089488	1.00516910875592	0.00114843232089488	0.00114843232089488	0.000338172061512037
"C4"	3.82810773631626e-05	3.82810773631626e-05	0.0336819373265989	0.0336258007643879	0.0336258007643879	0.0019063976526855	0.0019063976526855	0.00191405386815813	1.00190639765269	0.0019063976526855	0.000561365622109982
"C5"	3.82810773631626e-05	3.82810773631626e-05	0.0336819373265989	0.0336258007643879	0.0336258007643879	0.0019063976526855	0.0019063976526855	0.00191405386815813	0.0019063976526855	1.00190639765269	0.000561365622109982
"C6"	3.38172061512037e-05	3.38172061512037e-05	0.100425739687808	0.000258363454995196	0.000258363454995196	0.00168409686632995	0.00168409686632994	0.00169086030756019	0.00168409686632995	0.00168409686632994	1.00167376232813
