"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"
"R1"	1.0069321559859	0.00189749520597361	0.000634086272976294	0	0	0.000637272636157079	0	0	0.0251733038996476	0.0251733038996476	0.0253634509190517	0.0252681786599463	3.1863631807854e-05
"R2"	0.00379499041194721	1.00377601545989	0.00126183168322282	0	0	0.00126817254595259	0	0	9.48747602986803e-05	9.48747602986803e-05	0.050473267328913	0.0502836755332931	6.34086272976294e-05
"R3"	0.00253634509190517	0.00252366336644565	1.00251418377666	0	0	0.00252681786599463	0	0	6.34086272976294e-05	6.34086272976293e-05	0.100567351066586	0.000189591795619912	0.000126340893299731
"R4"	0	0	0	1.01010101010101	0	0	0.101010101010101	0	0	0	0	0	0
"R5"	0	0	0	0	1.01010101010101	0	0	0.101010101010101	0	0	0	0	0
"R6"	0.00127454527231416	0.00126817254595259	0.00126340893299731	0	0	1.00629488334975	0	0	3.18636318078539e-05	3.18636318078539e-05	0.0505363573198925	9.52722591054833e-05	0.0503147441674873
"C1"	0	0	0	0.101010101010101	0	0	1.01010101010101	0	0	0	0	0	0
"C2"	0	0	0	0	0.101010101010101	0	0	1.01010101010101	0	0	0	0	0
"C3"	0.10069321559859	0.000189749520597361	6.34086272976294e-05	0	0	6.37272636157079e-05	0	0	1.00251733038997	0.00251733038996476	0.00253634509190517	0.00252681786599463	3.1863631807854e-06
"C4"	0.10069321559859	0.000189749520597361	6.34086272976294e-05	0	0	6.37272636157079e-05	0	0	0.00251733038996476	1.00251733038996	0.00253634509190517	0.00252681786599463	3.1863631807854e-06
"C5"	0.0253634509190517	0.0252366336644565	0.0251418377666465	0	0	0.0252681786599463	0	0	0.000634086272976294	0.000634086272976293	1.00567351066586	0.00189591795619912	0.00126340893299731
"C6"	0.0505363573198925	0.050283675533293	9.47958978099559e-05	0	0	9.52722591054833e-05	0	0	0.00126340893299731	0.00126340893299731	0.00379183591239824	1.00377759270966	4.76361295527417e-06
"C7"	0.000127454527231416	0.000126817254595259	0.000126340893299731	0	0	0.100629488334975	0	0	3.1863631807854e-06	3.1863631807854e-06	0.00505363573198925	9.52722591054833e-06	1.00503147441675
