"Neolitsea_dealbata"	"Ficus_destruens"	"Linociera_ramiflora"	"Litsea_leefeana"	"Tieghemopanax_elegans"	"Tieghemopanax_murrayi"	"Archontophoenix_alexandrae"	"Canarium_australianum"	"Cissus_hypoglauca"	"Cryptocarya_hypospodia"	"Cryptocarya_mackinnoniana"	"Cryptocarya_sp1_M_SD_007"	"Dysoxylum_micranthum"	"Elaeocarpus_grahamii"	"Elaeocarpus_largiflorens"	"Endiandra_hypotephra"	"Endiandra_muelleri"	"Ficus_virens"	"Kissodendron_australianum"	"Litsea_bindoniana"	"Myristica_muelleri"	"Notothixos_subarueus"	"Pothos_loureirii"	"Aceratium_megalospermun"	"Antirhea_tenuiflora"	"Cinnamomun_laubatii"	"Cissus_sterculifolius"	"Citronella_emythii"	"Dysoxylum_oppositifolium"	"Elaeocarpus_grandis"	"Eugenia_johnsonii"	"Eugenia_sp1_M_SD_007"	"Ficus_leptoclada"	"Flagellaria_sp1_M_SD_007"	"Glochidion_ferdinandii"	"Gomphandra_australiana"	"Hakea_laurina"	"Piper_sp1_M_SD_007"	"Symplocos_etawellii"	"Terminalia_sericocarpa"	"Tetrasynandra_laxiflora"	"Alphitonia_whitei"	"Breynia_stipitata"	"Calamus_sp1_M_SD_007"	"Cananga_odorata"	"Canthium_coprosmoides"	"Clerodendrum_traceyanum"	"Dendrophthoe_falcata"	"Dysoxylum_sp1_M_SD_007"	"Elaeocarpus_arnhemicus"	"Embelia_sp1_M_SD_007"	"Euodia_xanthoxyloides"	"Freycinetia_excelsa"	"Ganophyllum_faloatum"	"Gmelina_fasciculiflora"	"Helicia_nortoniana"	"Hibbertia_scandens"	"Homalanthus_populifolius"	"Hypaerpa_decumbens"	"Lantana_camara"	"Litsea_glutinosa"	"Melia_asederach"	"Morinda_jasminioides"	"Pilidiostigma_tropicum"	"Planchonella_obovata"	"Planchonella_obovoidea"	"Planchonella_xerocarpa"	"Rauwenhoffia_leichardtii"	"Solanum_torvum"	"Solanum_viride"	"Strychnos_colubrina"	"Symplocos_paucistamineus"	"Ptilinopus_magnificus"	"Ptilinopus_superbus"	"Macropygia_amboinensis"	"Ptilinopus_regina"	"Ducula_spilorrhoa"	"Columba_leucomela"	"Lopholaimus_antarcticus"
"Neolitsea_dealbata"	1.00084611926284	0.000252652809514652	0.000252652809514652	0.000754390237741375	0.000344055415799578	0.000344055415799578	0.000252326390705791	8.48793448132599e-05	0.000176281951098186	8.48793448132599e-05	8.48357117100996e-05	0.000586616773039983	0.000176281951098186	0.000176281951098186	0.000252326390705791	0.000252326390705791	0.000252326390705791	8.48793448132599e-05	0.000176281951098186	0.000176281951098186	8.48793448132599e-05	0.000176281951098186	0.000176281951098186	0.000133988842364481	8.45529260043993e-05	0.00054435695576929	8.45529260043993e-05	8.45529260043993e-05	8.45529260043993e-05	8.45529260043993e-05	8.45529260043993e-05	8.45529260043993e-05	8.45529260043993e-05	8.45529260043993e-05	0.000133988842364481	4.26195275425664e-05	8.45529260043993e-05	8.45529260043993e-05	8.45529260043993e-05	8.45529260043993e-05	8.45529260043993e-05	4.22598172706935e-05	9.17290250937872e-05	4.22598172706935e-05	4.22931087337057e-05	4.22598172706935e-05	4.22598172706935e-05	0.000167773464701392	4.22931087337057e-05	4.22598172706935e-05	4.22598172706935e-05	9.17290250937872e-05	9.17290250937872e-05	0.000167773464701392	4.22931087337057e-05	9.17290250937872e-05	9.17290250937872e-05	9.17290250937872e-05	4.22931087337057e-05	9.17290250937872e-05	3.26418808860603e-07	4.22931087337057e-05	4.22931087337057e-05	4.22598172706935e-05	4.22931087337057e-05	4.22931087337057e-05	9.17290250937872e-05	4.22598172706935e-05	9.17290250937872e-05	9.17290250937872e-05	4.22931087337057e-05	4.22598172706935e-05	0.0203006921921788	0.0202847122899329	0.0201803855206332	0.020132815764167	2.61135047088483e-05	0.0200825538814234	2.82785705700332e-06
"Ficus_destruens"	0.000315816011893314	1.00062928319572	0.00062928319571749	0.000315578306150557	0.000315305895648706	0.000315305895648706	0.000315068189905949	0.000419738585329782	0.000105761285260998	0.000419738585329782	0.00010587650118887	0.000106033695762849	0.000105761285260998	0.000105761285260998	0.000315068189905949	0.000315068189905949	0.000315068189905949	0.000419738585329782	0.000105761285260998	0.000105761285260998	0.000419738585329782	0.000105761285260998	0.000105761285260998	5.29830941599899e-05	0.000105523579518241	5.32883073456167e-05	0.000105523579518241	0.000105523579518241	0.000105523579518241	0.000105523579518241	0.000105523579518241	0.000105523579518241	0.000105523579518241	0.000105523579518241	5.29830941599899e-05	0.000366993196912549	0.000105523579518241	0.000105523579518241	0.000105523579518241	0.000105523579518241	0.000105523579518241	5.27453884172325e-05	2.37705742757383e-07	5.27453884172325e-05	5.27781911010082e-05	5.27453884172325e-05	5.27453884172325e-05	0.000209544610387708	5.27781911010082e-05	5.27453884172325e-05	5.27453884172325e-05	2.37705742757383e-07	2.37705742757383e-07	0.000209544610387708	5.27781911010082e-05	2.37705742757383e-07	2.37705742757383e-07	2.37705742757383e-07	5.27781911010082e-05	2.37705742757383e-07	0.000314215005811541	5.27781911010082e-05	5.27781911010082e-05	5.27453884172325e-05	5.27781911010082e-05	5.27781911010082e-05	2.37705742757383e-07	5.27453884172325e-05	2.37705742757383e-07	2.37705742757383e-07	5.27781911010082e-05	5.27453884172325e-05	0.0253335317284839	0.0253177864402716	5.22952634066242e-05	0.025145353246525	0.0251372004649233	2.04046497843394e-05	3.52921670629568e-06
"Linociera_ramiflora"	0.000315816011893314	0.00062928319571749	1.00062928319572	0.000315578306150557	0.000315305895648706	0.000315305895648706	0.000315068189905949	0.000419738585329782	0.000105761285260998	0.000419738585329782	0.00010587650118887	0.000106033695762849	0.000105761285260998	0.000105761285260998	0.000315068189905949	0.000315068189905949	0.000315068189905949	0.000419738585329782	0.000105761285260998	0.000105761285260998	0.000419738585329782	0.000105761285260998	0.000105761285260998	5.29830941599899e-05	0.000105523579518241	5.32883073456167e-05	0.000105523579518241	0.000105523579518241	0.000105523579518241	0.000105523579518241	0.000105523579518241	0.000105523579518241	0.000105523579518241	0.000105523579518241	5.29830941599899e-05	0.000366993196912549	0.000105523579518241	0.000105523579518241	0.000105523579518241	0.000105523579518241	0.000105523579518241	5.27453884172325e-05	2.37705742757383e-07	5.27453884172325e-05	5.27781911010082e-05	5.27453884172325e-05	5.27453884172325e-05	0.000209544610387708	5.27781911010082e-05	5.27453884172325e-05	5.27453884172325e-05	2.37705742757383e-07	2.37705742757383e-07	0.000209544610387708	5.27781911010082e-05	2.37705742757383e-07	2.37705742757383e-07	2.37705742757383e-07	5.27781911010082e-05	2.37705742757383e-07	0.000314215005811541	5.27781911010082e-05	5.27781911010082e-05	5.27453884172325e-05	5.27781911010082e-05	5.27781911010082e-05	2.37705742757383e-07	5.27453884172325e-05	2.37705742757383e-07	2.37705742757383e-07	5.27781911010082e-05	5.27453884172325e-05	0.0253335317284839	0.0253177864402716	5.22952634066242e-05	0.025145353246525	0.0251372004649233	2.04046497843394e-05	3.52921670629568e-06
"Litsea_leefeana"	0.000942987797176719	0.000315578306150557	0.000315578306150557	1.00094269270197	0.000315465856764765	0.000315465856764765	0.000315170761561793	0.000105928873347161	0.000105816423961368	0.000105928873347161	0.000105874242901401	0.00073304326917035	0.000105816423961368	0.000105816423961368	0.000315170761561793	0.000315170761561793	0.000315170761561793	0.000105928873347161	0.000105816423961368	0.000105816423961368	0.000105928873347161	0.000105816423961368	0.000105816423961368	5.30230174477968e-05	0.000105521328758396	0.000680315346925526	0.000105521328758396	0.000105521328758396	0.000105521328758396	0.000105521328758396	0.000105521328758396	0.000105521328758396	0.000105521328758396	0.000105521328758396	5.30230174477968e-05	5.32009511023359e-05	0.000105521328758396	0.000105521328758396	0.000105521328758396	0.000105521328758396	0.000105521328758396	5.27279222448248e-05	2.95095202972017e-07	5.27279222448248e-05	5.27934065135716e-05	5.27279222448248e-05	5.27279222448248e-05	0.000209649432803396	5.27934065135716e-05	5.27279222448248e-05	5.27279222448248e-05	2.95095202972017e-07	2.95095202972017e-07	0.000209649432803396	5.27934065135716e-05	2.95095202972017e-07	2.95095202972017e-07	2.95095202972017e-07	5.27934065135716e-05	2.95095202972017e-07	4.07544588764281e-07	5.27934065135716e-05	5.27934065135716e-05	5.27279222448248e-05	5.27934065135716e-05	5.27934065135716e-05	2.95095202972017e-07	5.27279222448248e-05	2.95095202972017e-07	2.95095202972017e-07	5.27934065135716e-05	5.27279222448248e-05	0.0253408351265144	0.0253094026775159	6.49209446538437e-05	0.0251579319364076	3.26035671011425e-05	0.0251008776164782	3.5291414300467e-06
"Tieghemopanax_elegans"	0.000430069269749473	0.000315305895648706	0.000315305895648706	0.000315465856764765	1.00042950216683	0.000429502166830044	0.000314898753845336	0.000105825804367815	0.000220022075549153	0.000105825804367815	0.000105771233342252	0.000105985765483874	0.000220022075549153	0.000220022075549153	0.000314898753845336	0.000314898753845336	0.000314898753845336	0.000105825804367815	0.000220022075549153	0.000220022075549153	0.000105825804367815	0.000220022075549153	0.000220022075549153	0.000167324656197058	0.000105418662564445	5.32645222715235e-05	0.000105418662564445	0.000105418662564445	0.000105418662564445	0.000105418662564445	0.000105418662564445	0.000105418662564445	0.000105418662564445	0.000105418662564445	0.000167324656197058	5.31045611554647e-05	0.000105418662564445	0.000105418662564445	0.000105418662564445	0.000105418662564445	0.000105418662564445	5.27212432123502e-05	0.000114603412984708	5.27212432123502e-05	5.26974193520948e-05	5.27212432123502e-05	5.27212432123502e-05	0.000209480091280891	5.26974193520948e-05	5.27212432123502e-05	5.27212432123502e-05	0.000114603412984708	0.000114603412984708	0.000209480091280891	5.26974193520948e-05	0.000114603412984708	0.000114603412984708	0.000114603412984708	5.26974193520948e-05	0.000114603412984708	4.07141803369844e-07	5.26974193520948e-05	5.26974193520948e-05	5.27212432123502e-05	5.26974193520948e-05	5.26974193520948e-05	0.000114603412984708	5.27212432123502e-05	0.000114603412984708	0.000114603412984708	5.26974193520948e-05	5.27212432123502e-05	0.0252947612890055	0.0253061967419281	0.0252127508566357	0.025137610953707	3.25713442695875e-05	2.26841167771472e-05	3.52570777807508e-06
"Tieghemopanax_murrayi"	0.000430069269749473	0.000315305895648706	0.000315305895648706	0.000315465856764765	0.000429502166830044	1.00042950216683	0.000314898753845336	0.000105825804367815	0.000220022075549153	0.000105825804367815	0.000105771233342252	0.000105985765483874	0.000220022075549153	0.000220022075549153	0.000314898753845336	0.000314898753845336	0.000314898753845336	0.000105825804367815	0.000220022075549153	0.000220022075549153	0.000105825804367815	0.000220022075549153	0.000220022075549153	0.000167324656197058	0.000105418662564445	5.32645222715235e-05	0.000105418662564445	0.000105418662564445	0.000105418662564445	0.000105418662564445	0.000105418662564445	0.000105418662564445	0.000105418662564445	0.000105418662564445	0.000167324656197058	5.31045611554647e-05	0.000105418662564445	0.000105418662564445	0.000105418662564445	0.000105418662564445	0.000105418662564445	5.27212432123502e-05	0.000114603412984708	5.27212432123502e-05	5.26974193520948e-05	5.27212432123502e-05	5.27212432123502e-05	0.000209480091280891	5.26974193520948e-05	5.27212432123502e-05	5.27212432123502e-05	0.000114603412984708	0.000114603412984708	0.000209480091280891	5.26974193520948e-05	0.000114603412984708	0.000114603412984708	0.000114603412984708	5.26974193520948e-05	0.000114603412984708	4.07141803369844e-07	5.26974193520948e-05	5.26974193520948e-05	5.27212432123502e-05	5.26974193520948e-05	5.26974193520948e-05	0.000114603412984708	5.27212432123502e-05	0.000114603412984708	0.000114603412984708	5.26974193520948e-05	5.27212432123502e-05	0.0252947612890055	0.0253061967419281	0.0252127508566357	0.025137610953707	3.25713442695875e-05	2.26841167771472e-05	3.52570777807508e-06
"Archontophoenix_alexandrae"	0.000420543984509652	0.000420090919874598	0.000420090919874598	0.00042022768208239	0.000419865005127115	0.000419865005127115	1.0004195487027	0.000140873995597868	0.000140648080850384	0.000140873995597868	0.000140801115474705	0.00014101075780566	0.000140648080850384	0.000140648080850384	0.000419548702699854	0.000419548702699854	0.000419548702699854	0.000140873995597868	0.000140648080850384	0.000140648080850384	0.000140873995597868	0.000140648080850384	0.000140648080850384	7.04821609190053e-05	0.000140331778423123	7.08448993139158e-05	0.000140331778423123	0.000140331778423123	0.000140331778423123	0.000140331778423123	0.000140331778423123	0.000140331778423123	0.000140331778423123	0.000140331778423123	7.04821609190053e-05	7.07081371061235e-05	0.000140331778423123	0.000140331778423123	0.000140331778423123	0.000140331778423123	0.000140331778423123	7.01658584917441e-05	3.16302427261213e-07	7.01658584917441e-05	7.0165919931379e-05	7.01658584917441e-05	7.01658584917441e-05	0.000279216924276731	7.0165919931379e-05	7.01658584917441e-05	7.01658584917441e-05	3.16302427261213e-07	3.16302427261213e-07	0.000279216924276731	7.0165919931379e-05	3.16302427261213e-07	3.16302427261213e-07	3.16302427261213e-07	7.0165919931379e-05	3.16302427261213e-07	5.42217174744494e-07	7.0165919931379e-05	7.0165919931379e-05	7.01658584917441e-05	7.0165919931379e-05	7.0165919931379e-05	3.16302427261213e-07	7.01658584917441e-05	3.16302427261213e-07	3.16302427261213e-07	7.0165919931379e-05	7.01658584917441e-05	0.0336796415670619	0.0336796120760371	6.95865339974669e-05	0.0335060309132077	4.33773739795595e-05	2.71591753014706e-05	4.69337051582351e-06
"Canarium_australianum"	0.000141465574688766	0.000559651447106376	0.000559651447106376	0.000141238497796214	0.00014110107249042	0.00014110107249042	0.000140873995597868	1.0005591491007	0.000140598726085315	0.000559149100701271	0.000140841119591401	0.000140736151391109	0.000140598726085315	0.000140598726085315	0.000140873995597868	0.000140873995597868	0.000140873995597868	0.000559149100701271	0.000140598726085315	0.000140598726085315	0.000559149100701271	0.000140598726085315	0.000140598726085315	7.03910493073092e-05	0.000140371649192763	7.05721789763523e-05	0.000140371649192763	0.000140371649192763	0.000140371649192763	0.000140371649192763	0.000140371649192763	0.000140371649192763	0.000140371649192763	0.000140371649192763	7.03910493073092e-05	0.000488985128286514	0.000140371649192763	0.000140371649192763	0.000140371649192763	0.000140371649192763	0.000140371649192763	7.0163972414757e-05	2.2707689255221e-07	7.0163972414757e-05	7.02076767780056e-05	7.0163972414757e-05	7.0163972414757e-05	5.02346405104921e-07	7.02076767780056e-05	7.0163972414757e-05	7.0163972414757e-05	2.2707689255221e-07	2.2707689255221e-07	5.02346405104921e-07	7.02076767780056e-05	2.2707689255221e-07	2.2707689255221e-07	2.2707689255221e-07	7.02076767780056e-05	2.2707689255221e-07	0.000418777451508508	7.02076767780056e-05	7.02076767780056e-05	7.0163972414757e-05	7.02076767780056e-05	7.02076767780056e-05	2.2707689255221e-07	7.0163972414757e-05	2.2707689255221e-07	2.2707689255221e-07	7.02076767780056e-05	7.0163972414757e-05	0.0336996848534427	0.0336787067590834	4.99569163614863e-05	6.02815686125905e-05	0.0335021961206807	1.45800879338686e-05	4.69470398638002e-06
"Cissus_hypoglauca"	0.000293803251830311	0.000141015047014664	0.000141015047014664	0.000141088565281825	0.00029336276739887	0.00029336276739887	0.000140648080850384	0.000140598726085315	1.00029294644647	0.000140598726085315	0.000140700762462577	0.000140672244352475	0.000292946446469521	0.000292946446469521	0.000140648080850384	0.000140648080850384	0.000140648080850384	0.000140598726085315	0.000292946446469521	0.000292946446469521	0.000140598726085315	0.000292946446469521	0.000292946446469521	0.000222846465356733	0.000140231759921035	7.05404655442281e-05	0.000140231759921035	0.000140231759921035	0.000140231759921035	0.000140231759921035	0.000140231759921035	0.000140231759921035	0.000140231759921035	0.000140231759921035	0.000222846465356733	7.04669472770677e-05	0.000140231759921035	0.000140231759921035	0.000140231759921035	0.000140231759921035	0.000140231759921035	7.01317788082472e-05	0.000152714686548486	7.01317788082472e-05	7.00999811127878e-05	7.01317788082472e-05	7.01317788082472e-05	4.16320929349303e-07	7.00999811127878e-05	7.01317788082472e-05	7.01317788082472e-05	0.000152714686548486	0.000152714686548486	4.16320929349303e-07	7.00999811127878e-05	0.000152714686548486	0.000152714686548486	0.000152714686548486	7.00999811127878e-05	0.000152714686548486	3.66966164279874e-07	7.00999811127878e-05	7.00999811127878e-05	7.01317788082472e-05	7.00999811127878e-05	7.00999811127878e-05	0.000152714686548486	7.01317788082472e-05	0.000152714686548486	0.000152714686548486	7.00999811127878e-05	7.01317788082472e-05	0.0336479909341381	0.0336632538279586	0.0335972310406669	4.99585115219163e-05	2.93572931423899e-05	1.76193772576124e-05	4.69002541541923e-06
"Cryptocarya_hypospodia"	0.000141465574688766	0.000559651447106376	0.000559651447106376	0.000141238497796214	0.00014110107249042	0.00014110107249042	0.000140873995597868	0.000559149100701271	0.000140598726085315	1.0005591491007	0.000140841119591401	0.000140736151391109	0.000140598726085315	0.000140598726085315	0.000140873995597868	0.000140873995597868	0.000140873995597868	0.000559149100701271	0.000140598726085315	0.000140598726085315	0.000559149100701271	0.000140598726085315	0.000140598726085315	7.03910493073092e-05	0.000140371649192763	7.05721789763523e-05	0.000140371649192763	0.000140371649192763	0.000140371649192763	0.000140371649192763	0.000140371649192763	0.000140371649192763	0.000140371649192763	0.000140371649192763	7.03910493073092e-05	0.000488985128286514	0.000140371649192763	0.000140371649192763	0.000140371649192763	0.000140371649192763	0.000140371649192763	7.0163972414757e-05	2.2707689255221e-07	7.0163972414757e-05	7.02076767780056e-05	7.0163972414757e-05	7.0163972414757e-05	5.02346405104921e-07	7.02076767780056e-05	7.0163972414757e-05	7.0163972414757e-05	2.2707689255221e-07	2.2707689255221e-07	5.02346405104921e-07	7.02076767780056e-05	2.2707689255221e-07	2.2707689255221e-07	2.2707689255221e-07	7.02076767780056e-05	2.2707689255221e-07	0.000418777451508508	7.02076767780056e-05	7.02076767780056e-05	7.0163972414757e-05	7.02076767780056e-05	7.02076767780056e-05	2.2707689255221e-07	7.0163972414757e-05	2.2707689255221e-07	2.2707689255221e-07	7.02076767780056e-05	7.0163972414757e-05	0.0336996848534427	0.0336787067590834	4.99569163614863e-05	6.02815686125905e-05	0.0335021961206807	1.45800879338686e-05	4.69470398638002e-06
