"Barnadesia_spinosa"	"Siphocampylus_paramicola"	"Brachyotum_lindenii"	"Disterigma_codonanthum"	"Puya_clava-herculis"	"Siphocampylus_giganteus"	"Macleania_rupestris"	"Guzmania_candelabrum"	"Desfontainea_spinosa"	"Guzmania_bakeri"	"Espeletia_sp1_M_PL_068"	"Gaultheria_erecta"	"Disterigma_sp1_M_PL_068"	"Tillandsia_orbicularis"	"Gaiadendron_punctatum"	"Racinaea_tetrantha"	"Brachyotum_ledifolium"	"Vaccinium_floribundum"	"Bomarea_sp1_M_PL_068"	"Brachyotum_sp1_M_PL_068"	"Fuchsia_corollata"	"Bomarea_linifolia"	"Centropogon_sp1_M_PL_068"	"Elleanthus_sp1_M_PL_068"	"Passiflora_mixta"	"Tillandsia_complanata"	"Tristerix_longebracteatus"	"Gaultheria_insipida"	"Bejaria_aestuans"	"Diplostephium_sp1_M_PL_068"	"Pernettya_prostrata"	"Eriocnemis_mosquera"	"Aglaeactis_cupripennis"	"Pterophanes_cyanopterus"	"Chalcostigma_herrani"	"Metallura_tyrianthina"	"Eriocnemis_derbyi"	"Lafresnaya_lafresnayi"	"Coeligena_lutetiae"	"Ensifera_ensifera"
"Barnadesia_spinosa"	1.00135323243026	0.00135495168088215	0.000333390522277464	0.000433220804051206	0.000333638872539985	0.000518790619420369	0.000434204604493614	0.000433220804051206	0.000265575858999544	0.000264525328739655	7.35450179887109e-07	0.000249855037610598	0.000249119587430711	8.11595622990463e-05	7.35450179887109e-07	0.000432485353871319	0.000333638872539985	0.000249855037610598	0.000516020838538185	8.11595622990463e-05	0.000420506065190083	8.18950124789334e-05	0.000933776895329662	8.18950124789334e-05	8.15673992955239e-05	0.000249119587430711	9.83800442408039e-07	0.000168695475311552	8.11595622990463e-05	8.11595622990463e-05	7.35450179887109e-07	0.0202898905747616	0.0201196407838824	5.90280265444823e-05	0.000102963025184195	0.0201552030157997	0.0201702343084669	0.0200775469977002	3.15159077966604e-05	4.0783699647762e-06
"Siphocampylus_paramicola"	0.000967822629201537	1.00131070767843	0.000341356504847186	0.000412736479595221	0.00047797866683782	0.000713234923240059	0.000652490085204588	0.000412736479595221	0.000190333888729907	0.00018939152961757	0.000103131443618732	0.000281554025924051	0.000178422582305319	5.82090759463999e-05	0.000103131443618732	0.00030960503597649	0.00047797866683782	0.000281554025924051	0.000369407514899624	5.82090759463999e-05	0.00030117185075331	0.000161340519565132	0.000667593137560564	0.000161340519565132	5.85015838657286e-05	0.000178422582305319	0.000239753605609366	0.000223344949977651	5.82090759463999e-05	5.82090759463999e-05	0.000103131443618732	0.0145522689866	0.0144012788225643	0.014385216336562	0.0144384021066225	0.0144256207630703	0.0144300699038287	0.0143460482382898	2.82707733701082e-05	2.92507919328643e-06
"Brachyotum_lindenii"	0.00055565087046244	0.0007964985113101	1.00079254201002	0.000376132023943058	0.000554002181954588	0.00079567470759316	0.000377285930331902	0.000376132023943058	0.000136515711519626	0.000135454924216167	0.000239693734458817	0.000375214020066763	0.000135520285607946	0.000134536920339872	0.000239693734458817	0.000136438289484241	0.000554002181954588	0.000375214020066763	0.000553766279442039	0.000134536920339872	0.000420355507797407	0.000374230654798689	0.000136356149968493	0.000374230654798689	0.000135212985266203	0.000135520285607946	1.15390638884367e-06	0.000240677099726891	0.000134536920339872	0.000134536920339872	0.000239693734458817	0.0336342300849679	0.0334649084180698	6.92343833306204e-05	0.0335571228242344	0.000118003832168924	0.000100980426392454	2.70367725697714e-05	3.18236191037871e-05	6.76064926331014e-06
"Disterigma_codonanthum"	0.000541526005064008	0.000722288839291638	0.000282099017957294	1.00071974652568	0.000102675402572857	0.000512270569412574	0.000720416135100591	0.000719746525678994	0.00033070765451722	0.000329820584732981	0.000180093224806033	0.00049113165342955	0.000311038428623516	0.000101205712483537	0.000180093224806033	0.000539653300872961	0.000102675402572857	0.00049113165342955	0.000330620665400705	0.000101205712483537	0.000211519866591943	0.00028129893728957	0.000330893208256305	0.00028129893728957	0.000101714283903052	0.000311038428623516	6.69609421596422e-07	0.000389925940946013	0.000101205712483537	0.000101205712483537	0.000180093224806033	0.0253014281208842	6.40064534178921e-05	4.01765652957853e-05	0.0252130514728447	0.0251799259367976	0.0251476359474389	3.21787056997042e-05	2.66120935271817e-05	5.08571419515259e-06
"Puya_clava-herculis"	0.000556064787566641	0.00111528355595491	0.000554002181954588	0.000136900536763809	1.00111184104494	0.00111472684401876	0.000695429352451177	0.000136900536763809	0.000136707360642194	0.000135468636008497	6.89952700904671e-07	0.000135943415020705	0.000135253462319801	0.000134511514265393	6.89952700904671e-07	0.000136210584062904	0.00111184104494105	0.000135943415020705	0.000554269350996787	0.000134511514265393	0.000420781387676396	0.000135201466966298	0.000136522124523943	0.000135201466966298	0.000135187451523008	0.000135253462319801	0.000558528815687368	1.43190075531226e-06	0.000134511514265393	0.000134511514265393	6.89952700904671e-07	0.0336278785663482	0.0335040571990632	0.0335117289412421	9.65933781266539e-05	8.90337665289102e-05	0.000105283391741406	3.16046554633916e-05	3.71617390109323e-05	6.7593725761504e-06
"Siphocampylus_giganteus"	0.000432325516183641	0.000832107410446736	0.00039783735379658	0.000341513712941716	0.000557363422009379	1.00138831872489	0.000621167694179663	0.000341513712941716	0.000778527586085517	0.000220481311690305	0.000120127913025148	0.000188732597483267	6.86046844581193e-05	6.77001962318565e-05	0.000120127913025148	0.000221385799916568	0.000557363422009379	0.000188732597483267	0.00043049055622988	6.77001962318565e-05	0.00076896000716105	0.000187828109257005	0.000221411783417803	0.000187828109257005	6.80403982229713e-05	6.86046844581193e-05	0.000279653981237947	0.000121032401251411	6.77001962318565e-05	6.77001962318565e-05	0.000120127913025148	0.0169250490579641	0.016800739563166	0.0167792388742768	0.0168179078235207	0.00010853858715154	0.0168059227004293	2.79141518249339e-05	0.0167413882318564	3.40201991114857e-06
"Macleania_rupestris"	0.000434204604493615	0.000913486119286423	0.000226371558199141	0.000576332908080473	0.000417257611470706	0.000745401233015596	1.00091141669211	0.000576332908080473	0.00026506941096171	0.000264171987686556	0.000144197730760622	0.000393284440571359	0.000249086709810738	8.11235201774425e-05	0.000144197730760622	0.000432135177319851	0.000417257611470706	0.000393284440571359	0.000265222294947632	8.11235201774425e-05	0.000169910920169526	0.000225321250938064	0.000265191107599242	0.000225321250938064	8.15311760577311e-05	0.000249086709810738	0.000335083784032187	0.000312160920393917	8.11235201774425e-05	8.11235201774425e-05	0.000144197730760622	0.0202808800443606	8.40245808861477e-05	0.0201050270419312	0.020187682306487	0.0201555827559954	0.0201353314260024	3.05735973806055e-05	2.69226982546345e-05	4.07655880288656e-06
"Guzmania_candelabrum"	0.000541526005064008	0.000722288839291638	0.000282099017957294	0.000719746525678994	0.000102675402572857	0.000512270569412574	0.000720416135100591	1.00071974652568	0.00033070765451722	0.000329820584732981	0.000180093224806033	0.00049113165342955	0.000311038428623516	0.000101205712483537	0.000180093224806033	0.000539653300872961	0.000102675402572857	0.00049113165342955	0.000330620665400705	0.000101205712483537	0.000211519866591943	0.00028129893728957	0.000330893208256305	0.00028129893728957	0.000101714283903052	0.000311038428623516	6.69609421596422e-07	0.000389925940946013	0.000101205712483537	0.000101205712483537	0.000180093224806033	0.0253014281208842	6.40064534178921e-05	4.01765652957853e-05	0.0252130514728447	0.0251799259367976	0.0251476359474389	3.21787056997042e-05	2.66120935271817e-05	5.08571419515259e-06
"Desfontainea_spinosa"	0.000442626431665906	0.00044411240703645	0.000136515711519626	0.000440943539356294	0.000136707360642194	0.00155705517217103	0.00044178235160285	0.000440943539356294	1.00155423491463	0.000439290417700607	6.47163123988152e-07	0.000136187387882942	0.000135540224758954	0.000134534266227255	6.47163123988152e-07	0.000440296376232306	0.000136707360642194	0.000136187387882942	0.00044062469986899	0.000134534266227255	0.00111728473763158	0.000135181429351243	0.000440286190965824	0.000135181429351243	0.000135210317816337	0.000135540224758954	8.38812246556217e-07	1.65312165568698e-06	0.000134534266227255	0.000134534266227255	6.47163123988152e-07	0.0336335665568138	0.000106742573470652	5.0328734793373e-05	9.06028373583413e-05	0.000120715023803859	0.0335231766620687	2.98731979565092e-05	0.033448334907945	6.76051589081684e-06
"Guzmania_bakeri"	0.000661313321849137	0.000662870353661496	0.00020318238632425	0.000659641169465962	0.000203202954012745	0.000661443935070915	0.000660429969216389	0.000659641169465962	0.00065893562655091	1.00065783256844	7.6823206193206e-07	0.000203271478578463	0.000202503246516531	0.000201462877554673	7.6823206193206e-07	0.00065887293740403	0.000203202954012745	0.000203271478578463	0.000658783845149817	0.000201462877554673	3.09470377824199e-06	0.000202231109616605	0.000659321676179634	0.000202231109616605	0.000202475253823792	0.000202503246516531	7.88799750426898e-07	1.80860102379014e-06	0.000201462877554673	0.000201462877554673	7.6823206193206e-07	0.0503657193886682	7.61021366116365e-05	4.73279850256139e-05	0.000107552488670488	0.00012484427542297	0.0502006659976249	4.46732321238491e-05	3.30917432621537e-05	1.01237626911896e-05
