"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"R18"	"R19"	"R20"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"
"R1"	1.00114019117877	0.000194078414995402	0.000194653655193788	0.00114019117876731	0.000946112763771904	0.000194653655193788	5.75240198386146e-07	0.000194078414995402	0.000194078414995402	0.000194078414995402	0.000946112763771904	0.000946112763771904	5.75240198386146e-07	0.000195273206286511	0.000195273206286511	0.000946112763771904	0.000947426774286598	0.001141505189282	0.000195848446484897	0.000194078414995402	4.02668138870302e-05	0.012614836850292	3.6938515815426e-05	0.012614836850292	0.012614836850292	0.012614836850292	0.012614836850292	0.012614836850292	0.0126150969747011	0.0126150969747011	1.36806292440235e-05
"R2"	0.000776313659981608	1.00077425972401	0.00077533562653427	0.000776313659981608	2.05393596692809e-06	0.00077533562653427	1.07590251959047e-06	0.00077425972401468	0.00077425972401468	0.00077425972401468	2.05393596692809e-06	2.05393596692809e-06	1.07590251959047e-06	0.000777319685984946	0.000777319685984946	2.05393596692809e-06	4.37533725447276e-06	0.000778635061269153	0.000778395588504536	0.00077425972401468	7.53131763713326e-05	2.73858128923745e-05	6.22749383977104e-05	2.73858128923745e-05	2.73858128923745e-05	2.73858128923745e-05	2.73858128923745e-05	2.73858128923745e-05	0.0503268820609542	0.0503268820609542	5.4433896069338e-05
"R3"	0.000519076413850102	0.000516890417689514	1.00099591226772	0.000519076413850102	2.18599616058814e-06	0.000995912267719102	0.000479021850029588	0.000516890417689514	0.000516890417689514	0.000516890417689514	2.18599616058814e-06	2.18599616058814e-06	0.000479021850029588	0.000519661924957069	0.000519661924957069	2.18599616058814e-06	0.000482447461066145	0.000999337878755659	0.000998683774986657	0.000516890417689514	0.0335315295020711	2.91466154745085e-05	6.198074379847e-05	2.91466154745085e-05	2.91466154745085e-05	2.91466154745085e-05	2.91466154745085e-05	2.91466154745085e-05	0.0335978771498184	0.0335978771498184	4.59567717475866e-05
"R4"	0.00114019117876731	0.000194078414995402	0.000194653655193788	1.00114019117877	0.000946112763771904	0.000194653655193788	5.75240198386146e-07	0.000194078414995402	0.000194078414995402	0.000194078414995402	0.000946112763771904	0.000946112763771904	5.75240198386146e-07	0.000195273206286511	0.000195273206286511	0.000946112763771904	0.000947426774286598	0.001141505189282	0.000195848446484897	0.000194078414995402	4.02668138870302e-05	0.012614836850292	3.6938515815426e-05	0.012614836850292	0.012614836850292	0.012614836850292	0.012614836850292	0.012614836850292	0.0126150969747011	0.0126150969747011	1.36806292440235e-05
"R5"	0.0012614836850292	6.84645322309363e-07	1.09299808029407e-06	0.0012614836850292	1.00126079903971	1.09299808029407e-06	4.08352757984706e-07	6.84645322309363e-07	6.84645322309363e-07	6.84645322309363e-07	0.0012607990397069	0.0012607990397069	4.08352757984706e-07	1.25771305369994e-06	1.25771305369994e-06	0.0012607990397069	0.00126177725329731	0.00126246189861962	1.66606581168465e-06	6.84645322309363e-07	2.85846930589294e-05	0.0168106538627586	2.84930416213312e-05	0.0168106538627586	0.0168106538627586	0.0168106538627586	0.0168106538627586	0.0168106538627586	4.45019459501086e-05	4.45019459501086e-05	9.62069689186901e-08
"R6"	0.000519076413850102	0.000516890417689514	0.000995912267719102	0.000519076413850102	2.18599616058814e-06	1.00099591226772	0.000479021850029588	0.000516890417689514	0.000516890417689514	0.000516890417689514	2.18599616058814e-06	2.18599616058814e-06	0.000479021850029588	0.000519661924957069	0.000519661924957069	2.18599616058814e-06	0.000482447461066145	0.000999337878755659	0.000998683774986657	0.000516890417689514	0.0335315295020711	2.91466154745085e-05	6.198074379847e-05	2.91466154745085e-05	2.91466154745085e-05	2.91466154745085e-05	2.91466154745085e-05	2.91466154745085e-05	0.0335978771498184	0.0335978771498184	4.59567717475866e-05
"R7"	4.60192158708917e-06	2.15180503918093e-06	0.00143706555008876	4.60192158708917e-06	2.45011654790824e-06	0.00143706555008876	1.00143491374505	2.15180503918093e-06	2.15180503918093e-06	2.15180503918093e-06	2.45011654790824e-06	2.45011654790824e-06	0.00143491374504958	4.34640290131685e-06	4.34640290131685e-06	2.45011654790824e-06	0.00143859170868949	0.00144074351372867	0.0014392601479509	2.15180503918093e-06	0.100443962153471	3.26682206387765e-05	6.13923545999892e-05	3.26682206387765e-05	3.26682206387765e-05	3.26682206387765e-05	3.26682206387765e-05	3.26682206387765e-05	0.000139867327546761	0.000139867327546761	2.90025231040838e-05
"R8"	0.000776313659981608	0.00077425972401468	0.00077533562653427	0.000776313659981608	2.05393596692809e-06	0.00077533562653427	1.07590251959047e-06	1.00077425972401	0.00077425972401468	0.00077425972401468	2.05393596692809e-06	2.05393596692809e-06	1.07590251959047e-06	0.000777319685984946	0.000777319685984946	2.05393596692809e-06	4.37533725447276e-06	0.000778635061269153	0.000778395588504536	0.00077425972401468	7.53131763713326e-05	2.73858128923745e-05	6.22749383977104e-05	2.73858128923745e-05	2.73858128923745e-05	2.73858128923745e-05	2.73858128923745e-05	2.73858128923745e-05	0.0503268820609542	0.0503268820609542	5.4433896069338e-05
"R9"	0.000776313659981608	0.00077425972401468	0.00077533562653427	0.000776313659981608	2.05393596692809e-06	0.00077533562653427	1.07590251959047e-06	0.00077425972401468	1.00077425972401	0.00077425972401468	2.05393596692809e-06	2.05393596692809e-06	1.07590251959047e-06	0.000777319685984946	0.000777319685984946	2.05393596692809e-06	4.37533725447276e-06	0.000778635061269153	0.000778395588504536	0.00077425972401468	7.53131763713326e-05	2.73858128923745e-05	6.22749383977104e-05	2.73858128923745e-05	2.73858128923745e-05	2.73858128923745e-05	2.73858128923745e-05	2.73858128923745e-05	0.0503268820609542	0.0503268820609542	5.4433896069338e-05
"R10"	0.000776313659981608	0.00077425972401468	0.00077533562653427	0.000776313659981608	2.05393596692809e-06	0.00077533562653427	1.07590251959047e-06	0.00077425972401468	0.00077425972401468	1.00077425972401	2.05393596692809e-06	2.05393596692809e-06	1.07590251959047e-06	0.000777319685984946	0.000777319685984946	2.05393596692809e-06	4.37533725447276e-06	0.000778635061269153	0.000778395588504536	0.00077425972401468	7.53131763713326e-05	2.73858128923745e-05	6.22749383977104e-05	2.73858128923745e-05	2.73858128923745e-05	2.73858128923745e-05	2.73858128923745e-05	2.73858128923745e-05	0.0503268820609542	0.0503268820609542	5.4433896069338e-05
"R11"	0.0012614836850292	6.84645322309363e-07	1.09299808029407e-06	0.0012614836850292	0.0012607990397069	1.09299808029407e-06	4.08352757984706e-07	6.84645322309363e-07	6.84645322309363e-07	6.84645322309363e-07	1.00126079903971	0.0012607990397069	4.08352757984706e-07	1.25771305369994e-06	1.25771305369994e-06	0.0012607990397069	0.00126177725329731	0.00126246189861962	1.66606581168465e-06	6.84645322309363e-07	2.85846930589294e-05	0.0168106538627586	2.84930416213312e-05	0.0168106538627586	0.0168106538627586	0.0168106538627586	0.0168106538627586	0.0168106538627586	4.45019459501086e-05	4.45019459501086e-05	9.62069689186901e-08
"R12"	0.0012614836850292	6.84645322309363e-07	1.09299808029407e-06	0.0012614836850292	0.0012607990397069	1.09299808029407e-06	4.08352757984706e-07	6.84645322309363e-07	6.84645322309363e-07	6.84645322309363e-07	0.0012607990397069	1.00126079903971	4.08352757984706e-07	1.25771305369994e-06	1.25771305369994e-06	0.0012607990397069	0.00126177725329731	0.00126246189861962	1.66606581168465e-06	6.84645322309363e-07	2.85846930589294e-05	0.0168106538627586	2.84930416213312e-05	0.0168106538627586	0.0168106538627586	0.0168106538627586	0.0168106538627586	0.0168106538627586	4.45019459501086e-05	4.45019459501086e-05	9.62069689186901e-08
"R13"	4.60192158708917e-06	2.15180503918093e-06	0.00143706555008876	4.60192158708917e-06	2.45011654790824e-06	0.00143706555008876	0.00143491374504958	2.15180503918093e-06	2.15180503918093e-06	2.15180503918093e-06	2.45011654790824e-06	2.45011654790824e-06	1.00143491374505	4.34640290131685e-06	4.34640290131685e-06	2.45011654790824e-06	0.00143859170868949	0.00144074351372867	0.0014392601479509	2.15180503918093e-06	0.100443962153471	3.26682206387765e-05	6.13923545999892e-05	3.26682206387765e-05	3.26682206387765e-05	3.26682206387765e-05	3.26682206387765e-05	3.26682206387765e-05	0.000139867327546761	0.000139867327546761	2.90025231040838e-05
"R14"	0.000390546412573023	0.000388659842992473	0.000389746443717802	0.000390546412573023	1.88656958054991e-06	0.000389746443717802	1.08660072532921e-06	0.000388659842992473	0.000388659842992473	0.000388659842992473	1.88656958054991e-06	1.88656958054991e-06	1.08660072532921e-06	1.00172875364557	0.00172875364556578	1.88656958054991e-06	0.000505699156639047	0.00089435899963152	0.00172984024629111	0.000388659842992473	7.60620507730448e-05	2.51542610739989e-05	0.0251362993166584	2.51542610739989e-05	2.51542610739989e-05	2.51542610739989e-05	2.51542610739989e-05	2.51542610739989e-05	0.0252628897945107	0.0252628897945107	0.0251210344872041
"R15"	0.000390546412573023	0.000388659842992473	0.000389746443717802	0.000390546412573023	1.88656958054991e-06	0.000389746443717802	1.08660072532921e-06	0.000388659842992473	0.000388659842992473	0.000388659842992473	1.88656958054991e-06	1.88656958054991e-06	1.08660072532921e-06	0.00172875364556578	1.00172875364557	1.88656958054991e-06	0.000505699156639047	0.00089435899963152	0.00172984024629111	0.000388659842992473	7.60620507730448e-05	2.51542610739989e-05	0.0251362993166584	2.51542610739989e-05	2.51542610739989e-05	2.51542610739989e-05	2.51542610739989e-05	2.51542610739989e-05	0.0252628897945107	0.0252628897945107	0.0251210344872041
"R16"	0.0012614836850292	6.84645322309363e-07	1.09299808029407e-06	0.0012614836850292	0.0012607990397069	1.09299808029407e-06	4.08352757984706e-07	6.84645322309363e-07	6.84645322309363e-07	6.84645322309363e-07	0.0012607990397069	0.0012607990397069	4.08352757984706e-07	1.25771305369994e-06	1.25771305369994e-06	1.00126079903971	0.00126177725329731	0.00126246189861962	1.66606581168465e-06	6.84645322309363e-07	2.85846930589294e-05	0.0168106538627586	2.84930416213312e-05	0.0168106538627586	0.0168106538627586	0.0168106538627586	0.0168106538627586	0.0168106538627586	4.45019459501086e-05	4.45019459501086e-05	9.62069689186901e-08
"R17"	0.000947426774286598	1.09383431361819e-06	0.000180917797899804	0.000947426774286598	0.00094633293997298	0.000180917797899804	0.000179823963586186	1.09383431361819e-06	1.09383431361819e-06	1.09383431361819e-06	0.00094633293997298	0.00094633293997298	0.000179823963586186	0.000252849578319524	0.000252849578319524	0.00094633293997298	1.00137720278257	0.00137829661688689	0.00043267354190571	1.09383431361819e-06	0.012587677451033	0.0126177725329731	0.0125522939507051	0.0126177725329731	0.0126177725329731	0.0126177725329731	0.0126177725329731	0.0126177725329731	7.10992303851824e-05	7.10992303851824e-05	2.12959497540904e-05
"R18"	0.0009132041514256	0.000155727012253831	0.000299801363626698	0.0009132041514256	0.00075747713917177	0.000299801363626698	0.000144074351372867	0.000155727012253831	0.000155727012253831	0.000155727012253831	0.00075747713917177	0.00075747713917177	0.000144074351372867	0.000357743599852608	0.000357743599852608	0.00075747713917177	0.00110263729350951	1.00125836430576	0.000501817951225475	0.000155727012253831	0.0100852045961007	0.0100996951889569	0.0100542901482436	0.0100996951889569	0.0100996951889569	0.0100996951889569	0.0100996951889569	0.0100996951889569	0.010122255796499	0.010122255796499	2.79235390171399e-05
"R19"	0.000313357514375836	0.000311358235401814	0.000599210264991994	0.000313357514375836	1.99927897402158e-06	0.000599210264991994	0.00028785202959018	0.000311358235401814	0.000311358235401814	0.000311358235401814	1.99927897402158e-06	1.99927897402158e-06	0.00028785202959018	0.00138387219703289	0.00138387219703289	1.99927897402158e-06	0.000692277667049136	0.00100363590245095	1.00167172422662	0.000311358235401814	0.0201496420713126	2.66570529869544e-05	0.0201213179242467	2.66570529869544e-05	2.66570529869544e-05	2.66570529869544e-05	2.66570529869544e-05	2.66570529869544e-05	0.0202382853011179	0.0202382853011179	0.0201026280943841
"R20"	0.000776313659981608	0.00077425972401468	0.00077533562653427	0.000776313659981608	2.05393596692809e-06	0.00077533562653427	1.07590251959047e-06	0.00077425972401468	0.00077425972401468	0.00077425972401468	2.05393596692809e-06	2.05393596692809e-06	1.07590251959047e-06	0.000777319685984946	0.000777319685984946	2.05393596692809e-06	4.37533725447276e-06	0.000778635061269153	0.000778395588504536	1.00077425972401	7.53131763713326e-05	2.73858128923745e-05	6.22749383977104e-05	2.73858128923745e-05	2.73858128923745e-05	2.73858128923745e-05	2.73858128923745e-05	2.73858128923745e-05	0.0503268820609542	0.0503268820609542	5.4433896069338e-05
"C1"	4.60192158708917e-05	2.15180503918093e-05	0.0143706555008876	4.60192158708917e-05	2.45011654790824e-05	0.0143706555008876	0.0143491374504958	2.15180503918093e-05	2.15180503918093e-05	2.15180503918093e-05	2.45011654790824e-05	2.45011654790824e-05	0.0143491374504958	4.34640290131685e-05	4.34640290131685e-05	2.45011654790824e-05	0.0143859170868949	0.0144074351372867	0.014392601479509	2.15180503918093e-05	1.00443962153471	0.000326682206387765	0.000613923545999892	0.000326682206387765	0.000326682206387765	0.000326682206387765	0.000326682206387765	0.000326682206387765	0.00139867327546761	0.00139867327546761	0.000290025231040838
"C2"	0.012614836850292	6.84645322309363e-06	1.09299808029407e-05	0.012614836850292	0.012607990397069	1.09299808029407e-05	4.08352757984706e-06	6.84645322309363e-06	6.84645322309363e-06	6.84645322309363e-06	0.012607990397069	0.012607990397069	4.08352757984706e-06	1.25771305369994e-05	1.25771305369994e-05	0.012607990397069	0.0126177725329731	0.0126246189861962	1.66606581168465e-05	6.84645322309363e-06	0.000285846930589294	1.00143987196092	0.000284930416213312	0.00143987196091936	0.00143987196091936	0.00143987196091936	0.00143987196091936	0.00143987196091936	0.000445019459501086	0.000445019459501086	9.62069689186901e-07
"C3"	5.91016253046816e-05	2.49099753590842e-05	3.7188446279082e-05	5.91016253046816e-05	3.41916499455974e-05	3.7188446279082e-05	1.22784709199978e-05	2.49099753590842e-05	2.49099753590842e-05	2.49099753590842e-05	3.41916499455974e-05	3.41916499455974e-05	1.22784709199978e-05	0.0201090394533267	0.0201090394533267	3.41916499455974e-05	0.0200836703211282	0.0201085802964873	0.0201213179242467	2.49099753590842e-05	0.000859492964399849	0.000455888665941299	1.00186001001313	0.000455888665941299	0.000455888665941299	0.000455888665941299	0.000455888665941299	0.000455888665941299	0.00161914839834047	0.00161914839834047	0.00140787833115127
"C4"	0.012614836850292	6.84645322309363e-06	1.09299808029407e-05	0.012614836850292	0.012607990397069	1.09299808029407e-05	4.08352757984706e-06	6.84645322309363e-06	6.84645322309363e-06	6.84645322309363e-06	0.012607990397069	0.012607990397069	4.08352757984706e-06	1.25771305369994e-05	1.25771305369994e-05	0.012607990397069	0.0126177725329731	0.0126246189861962	1.66606581168465e-05	6.84645322309363e-06	0.000285846930589294	0.00143987196091936	0.000284930416213312	1.00143987196092	0.00143987196091936	0.00143987196091936	0.00143987196091936	0.00143987196091936	0.000445019459501086	0.000445019459501086	9.62069689186902e-07
"C5"	0.012614836850292	6.84645322309363e-06	1.09299808029407e-05	0.012614836850292	0.012607990397069	1.09299808029407e-05	4.08352757984706e-06	6.84645322309363e-06	6.84645322309363e-06	6.84645322309363e-06	0.012607990397069	0.012607990397069	4.08352757984706e-06	1.25771305369994e-05	1.25771305369994e-05	0.012607990397069	0.0126177725329731	0.0126246189861962	1.66606581168465e-05	6.84645322309363e-06	0.000285846930589294	0.00143987196091936	0.000284930416213312	0.00143987196091936	1.00143987196092	0.00143987196091936	0.00143987196091936	0.00143987196091936	0.000445019459501086	0.000445019459501086	9.62069689186901e-07
"C6"	0.012614836850292	6.84645322309363e-06	1.09299808029407e-05	0.012614836850292	0.012607990397069	1.09299808029407e-05	4.08352757984706e-06	6.84645322309363e-06	6.84645322309363e-06	6.84645322309363e-06	0.012607990397069	0.012607990397069	4.08352757984706e-06	1.25771305369994e-05	1.25771305369994e-05	0.012607990397069	0.0126177725329731	0.0126246189861962	1.66606581168465e-05	6.84645322309363e-06	0.000285846930589294	0.00143987196091936	0.000284930416213312	0.00143987196091936	0.00143987196091936	1.00143987196092	0.00143987196091936	0.00143987196091936	0.000445019459501086	0.000445019459501086	9.62069689186901e-07
"C7"	0.012614836850292	6.84645322309363e-06	1.09299808029407e-05	0.012614836850292	0.012607990397069	1.09299808029407e-05	4.08352757984706e-06	6.84645322309363e-06	6.84645322309363e-06	6.84645322309363e-06	0.012607990397069	0.012607990397069	4.08352757984706e-06	1.25771305369994e-05	1.25771305369994e-05	0.012607990397069	0.0126177725329731	0.0126246189861962	1.66606581168465e-05	6.84645322309363e-06	0.000285846930589294	0.00143987196091936	0.000284930416213312	0.00143987196091936	0.00143987196091936	0.00143987196091936	1.00143987196092	0.00143987196091936	0.000445019459501086	0.000445019459501086	9.62069689186902e-07
