"Clethrionomys_rutilus"	"Clethrionomys_rufocanus"	"Microtus_agrestis"	"Microtus_oeconomus"	"Sorex_araneus"	"Tamias_sibiricus"	"Apodemus_peninsulae"	"Sicista_betulina"	"Sorex_caecutiens"	"Peromyscopsylla_silvatica"	"Amalaraeus_penicilliger"	"Megabothris_rectangulatus"	"Hystrichopsylla_talpae"	"Neopsylla_acanthina"	"Neopsylla_mana"	"Ctenophthalmus_uncinatus"	"Peromyscopsylla_ostsibirica"	"Palaeopsylla_soricis"	"Corrodopsylla_birulai"	"Ceratophyllus_indages"	"Megabothris_calcarifer"	"Amphipsylla_sibirica"	"Catallagia_dacenkoi"	"Catallagia_ioffi"	"Neopsylla_pleskei"	"Ctenophyllus_armatus"	"Megabothris_turbidus"
"Clethrionomys_rutilus"	1.00593954738835	0.00138595399049404	0.000543203091242873	0.00126595117663285	0.0003610740303248	0.000361978966314627	0.000121197118235879	0.000121197118235879	9.07221181720602e-07	0.00724758767050555	0.00720838171452024	0.00727182709415273	0.00720838171452024	0.00720638166762255	0.00718528248134534	0.00720838171452024	0.00722448843733065	1.8144423634412e-05	0.00720333618286158	0.00720338142966107	0.00720638166762256	2.30992331749007e-05	0.00718528248134534	0.00718528248134534	0.00718528248134534	1.80989483157313e-05	2.10991862772142e-05
"Clethrionomys_rufocanus"	0.0032338926444861	1.00489172263574	0.000703153397292377	0.000707822729708897	1.16078014212074e-06	1.16368932871036e-06	0.000281045653888108	0.000281045653888108	2.91653302040388e-09	0.0168065301025088	0.0167712946104373	0.0168627392332865	0.0167712946104373	3.4896278670049e-05	2.30992331749007e-05	0.0167712946104373	5.83347252464616e-05	5.83306604080775e-08	2.31572721820068e-05	2.31574176413362e-05	3.4896278670049e-05	0.0167481953772624	2.30992331749007e-05	2.30992331749007e-05	2.30992331749007e-05	5.81844664355182e-08	1.17970454951483e-05
"Microtus_agrestis"	0.0025349477591334	0.00140630679458475	1.00251364091887	0.00252386447743429	9.09899413368784e-07	9.12179834160995e-07	0.000560212892779334	0.000560212892779334	2.28617943057484e-09	0.0335007309882041	4.15452162845083e-05	0.03361277356676	4.15452162845083e-05	6.01711776653338e-05	1.81067697080958e-05	4.15452162845083e-05	0.0334772925416277	4.57235886114967e-08	1.81522646787642e-05	1.81523786998038e-05	6.01711776653339e-05	2.34384465764126e-05	1.81067697080957e-05	1.81067697080957e-05	1.81067697080957e-05	4.56089917080497e-08	4.20644079572381e-05
"Microtus_oeconomus"	0.00295388607880998	0.000707822729708897	0.00126193223871714	1.00461275132844	1.06027400390541e-06	1.06293129860021e-06	0.000281245928013438	0.000281245928013438	2.66400503493822e-09	0.0168185064952036	3.28962317723624e-05	0.0168747556808063	3.28962317723624e-05	0.0167646450417512	2.10991862772142e-05	3.28962317723624e-05	0.0168067094497084	5.32801006987643e-08	2.11521999774094e-05	2.11523328421442e-05	0.0167646450417512	1.17970454951483e-05	2.10991862772141e-05	2.10991862772142e-05	2.10991862772141e-05	5.31465649300105e-08	0.016743545855474
"Sorex_araneus"	0.0025275182122736	3.48234042636223e-06	1.36484912005318e-06	3.18082201171623e-06	1.00503872241174	9.09506373614105e-07	3.04519217294477e-07	3.04519217294477e-07	0.00252522292063251	1.82102491942097e-05	1.8111740523346e-05	1.82711530376686e-05	1.8111740523346e-05	1.81067152164353e-05	1.805370151624e-05	1.8111740523346e-05	1.81522101871037e-05	0.0505044584126501	0.0502699898221031	1.80991768349207e-05	1.81067152164353e-05	5.80390071060371e-08	1.805370151624e-05	1.805370151624e-05	1.805370151624e-05	4.54753186807052e-08	5.30137001952705e-08
"Tamias_sibiricus"	0.00253385276420239	3.49106798613109e-06	1.36826975124149e-06	3.18879389580063e-06	9.09506373614104e-07	1.00755758684878	3.0528241369239e-07	3.0528241369239e-07	2.28519189350277e-09	1.82558883388049e-05	1.81571327821669e-05	1.83169448215434e-05	1.81571327821669e-05	1.81520948806613e-05	1.80989483157313e-05	1.81571327821669e-05	1.81977038723694e-05	4.57038378700555e-08	1.8144423634412e-05	0.0503959782907548	1.81520948806613e-05	5.81844664355182e-08	1.80989483157313e-05	1.80989483157313e-05	1.80989483157313e-05	0.0503778793424391	5.31465649300105e-08
"Apodemus_peninsulae"	0.0016967596553023	0.00168627392332865	0.001680638678338	0.00168747556808063	6.09038434588954e-07	6.1056482738478e-07	1.00167432057123	0.00167432057122561	1.53024732308783e-09	0.000124370159291676	4.02242772123986e-05	0.100459234273537	4.02242772123986e-05	4.02443046249317e-05	1.21197118235879e-05	4.02242772123986e-05	9.6265593902865e-05	3.06049464617565e-08	1.21501637453173e-05	1.21502400649571e-05	4.02443046249317e-05	2.81045653888108e-05	1.21197118235879e-05	1.21197118235879e-05	1.21197118235879e-05	3.0528241369239e-08	2.81245928013438e-05
"Sicista_betulina"	0.0016967596553023	0.00168627392332865	0.001680638678338	0.00168747556808063	6.09038434588954e-07	6.1056482738478e-07	0.00167432057122561	1.00167432057123	1.53024732308783e-09	0.000124370159291676	4.02242772123986e-05	0.100459234273537	4.02242772123986e-05	4.02443046249317e-05	1.21197118235879e-05	4.02242772123986e-05	9.6265593902865e-05	3.06049464617565e-08	1.21501637453173e-05	1.21502400649571e-05	4.02443046249317e-05	2.81045653888108e-05	1.21197118235879e-05	1.21197118235879e-05	1.21197118235879e-05	3.0528241369239e-08	2.81245928013438e-05
"Sorex_caecutiens"	1.27010965440884e-05	1.74991981224232e-08	6.85853829172451e-09	1.59840302096293e-08	0.00505044584126501	4.57038378700555e-09	1.53024732308782e-09	1.53024732308782e-09	1.00503781519056	9.15087899206519e-08	9.10137714741006e-08	9.18148393852695e-08	9.10137714741006e-08	9.09885186755541e-08	9.07221181720602e-08	9.10137714741006e-08	9.12171366186115e-08	0.100756303811119	0.000252613014181423	9.09506373614105e-08	9.09885186755541e-08	2.91653302040387e-10	9.07221181720601e-08	9.07221181720602e-08	9.07221181720602e-08	2.28519189350278e-10	2.66400503493822e-10
"Peromyscopsylla_silvatica"	0.0253665568467694	0.0252097951537633	0.0251255482411531	0.0252277597428054	9.10512459710486e-06	9.12794416940246e-06	3.1092539822919e-05	3.1092539822919e-05	2.2877197480163e-08	1.00185933388141	0.00060135294432536	0.00186555238937514	0.00060135294432536	0.000601652354142729	0.000181189691762639	0.00060135294432536	0.00143917062884783	4.57543949603259e-07	0.000181644947992494	0.000181646088971109	0.000601652354142729	0.000420163252562721	0.000181189691762639	0.000181189691762639	0.000181189691762639	4.56397208470123e-07	0.00042046266238009
