"Aphloia_theiformis"	"Stillingia_lineata"	"Syzygium_coriaceum"	"Molinaea_macrantha"	"Casearia_coriacea"	"Gaertnera_sp1_M_PL_082"	"Syzygium_petrinese"	"Croton_grangeroides"	"Labourdonnaisia_callophylloides"	"Phyllanthus_phillyreifolius"	"Cordemoya_integrifolia"	"Erythroxylum_macrocarpum"	"Musca_domestica"	"Apis_mellifera"	"Technomyrmex_albipes"	"Brachymyrmex_sp1_M_PL_082"	"Chaetocnema_sp1_M_PL_082"	"Eristalinus_flaveolus"	"Chrysomya_megacephala"	"Dysauxes_florida"	"Villa_unifasciata"	"Panara_naso"	"Paragus_borbonicus"	"Stomorhina_lunata"	"Melanostoma_annulipes"	"Nacoleia_sp1_M_PL_082"	"Phorinia_sp1_M_PL_082"	"Sarcophaga_arno"	"Allograpta_nasuta"	"Episyrphus_sp1_M_PL_082"	"Hippotion_eson"	"Leptotes_pirithous"	"Lygaeidae_sp1_M_PL_082"	"Macroglossum_milvus"	"Mordellidae_sp1_M_PL_082"	"Ornidia_obesa"	"Orthellia_albigena"	"Stomoxys_calcitrans"	"Syritta_sp1_M_PL_082"
"Aphloia_theiformis"	1.00580900086009	0.000636006018893166	0.000631681020482348	0.000240582447529015	0.000687093871007385	0.0003578167167472	0.000596289541973672	0.000211905039415307	0.00014525732883738	0.000453258748702471	0.000120411473304637	0.000211707034026729	0.00725497058370207	0.007228809125292	0.00721747342587046	0.00720540604015958	0.00722468839827818	0.0072289434471237	0.00719071006633244	1.6128676287893e-05	0.0072015273529187	0.0071843500061435	1.36229266308007e-05	0.00719925724469285	0.0071843500061435	1.21685685163272e-05	1.54252351629811e-05	2.12672987382735e-05	6.36006018893166e-06	5.11166738210285e-06	5.11166738210285e-06	6.36006018893166e-06	0.0071843500061435	0.0071843500061435	0.0071843500061435	1.71773467751846e-05	6.36006018893166e-06	5.11166738210285e-06	6.36006018893166e-06
"Stillingia_lineata"	0.000890408426450432	1.0064202920743	0.000379715938059758	6.35680348306033e-07	0.000254625824545596	0.000128985963716722	0.000632748779619249	0.000127860945774207	0.000505587443728554	0.000632339111270936	4.90075545123952e-07	0.000127319837647284	0.0101220343633218	5.56664541040051e-05	1.9070410449181e-05	1.90172581242569e-05	2.94045327074371e-05	0.0100895858244809	0.010070562980932	1.69088137512256e-05	1.27257058025716e-05	6.36006018893165e-06	0.0100894822929295	2.21787796794129e-05	6.36006018893166e-06	6.08665121276742e-06	0.0100768497029685	0.0100800216402335	0.010064202920743	1.8426566245246e-06	1.8426566245246e-06	0.010064202920743	6.36006018893166e-06	6.36006018893165e-06	6.36006018893166e-06	6.3656456136399e-06	0.010064202920743	1.8426566245246e-06	0.010064202920743
"Syzygium_coriaceum"	0.00294784476225096	0.00126571979353253	1.00292871698099	9.87294845810106e-07	0.000842532442842605	0.000424034301475516	0.000422892666614034	0.000421160734845936	1.81419547353797e-06	0.000423204093682195	1.06262293233624e-06	0.000421040211523962	0.0335178378609473	5.88400044043928e-05	2.96188453743032e-05	0.0334520132667158	6.3757375940174e-05	0.0334857337757222	3.37132319514035e-05	2.25027730351751e-05	4.21193450871434e-05	2.10560340160782e-05	1.27479077090022e-05	3.16283506814291e-05	2.10560340160782e-05	2.00923065956871e-05	2.11212798089692e-05	2.32295146006761e-05	1.26571979353253e-05	6.05763287822166e-06	6.05763287822166e-06	1.26571979353253e-05	2.10560340160783e-05	2.10560340160782e-05	2.10560340160783e-05	2.10633110710651e-05	1.26571979353253e-05	6.05763287822166e-06	1.26571979353253e-05
"Molinaea_macrantha"	0.00336815426540621	6.35680348306033e-06	2.96188453743032e-06	1.0033475316697	2.30364196577693e-06	3.18069317312764e-06	2.84542443070687e-06	6.04218637545735e-06	4.89539989438875e-07	0.00335693396844872	1.52809960386312e-06	2.68192389323335e-06	9.17665994015801e-05	2.42568868861874e-05	0.100425950091092	2.41569742374825e-05	9.1685976231787e-05	2.42781333214576e-05	2.41218127877321e-05	6.73400855814896e-05	2.4115835802046e-05	2.40582447529015e-05	8.8045034302547e-08	2.41293803636692e-05	2.40582447529015e-05	1.34835937009602e-07	6.7202247403805e-05	1.34703645598275e-07	6.35680348306033e-08	4.54384739018235e-08	4.54384739018235e-08	6.35680348306033e-08	2.40582447529015e-05	2.40582447529015e-05	2.40582447529015e-05	5.75910491444231e-08	6.35680348306033e-08	4.54384739018235e-08	6.35680348306033e-08
"Casearia_coriacea"	0.00240482854852585	0.00063656456136399	0.000631899332131954	5.75910491444232e-07	1.00490211914574	0.00050745664987273	0.000506951194343563	1.22253433181811e-06	0.000505279831410413	2.11884594989423e-06	4.10060741591044e-07	1.58348610778487e-06	6.46653749645976e-05	0.0251849174775602	1.72773147433269e-05	3.82406578462498e-05	2.46036444954626e-05	0.0251671592821034	2.35429923888245e-05	8.31280633918214e-08	0.0251397303254187	1.71773467751846e-05	3.16296371841605e-05	2.98511266337737e-05	1.71773467751846e-05	7.30216358272707e-06	6.40802253263779e-06	1.9039425472229e-05	6.36564561363991e-06	7.24938071246757e-06	7.24938071246757e-06	6.3656456136399e-06	1.71773467751846e-05	1.71773467751846e-05	1.71773467751846e-05	0.0251225529786435	6.3656456136399e-06	7.24938071246757e-06	6.3656456136399e-06
"Gaertnera_sp1_M_PL_082"	0.000715633433494399	0.00018426566245246	0.00018172898634665	4.54384739018235e-07	0.000289975228498703	1.00574035393017	0.000470313191655967	0.000422751576341147	0.00028894018788373	0.000423721815727118	0.000240959280671151	0.00114191242302955	0.014453119031496	0.0144062852291397	1.36315421705471e-05	1.11693002603245e-05	0.014457556840269	2.02613375973167e-05	6.95432400662746e-06	2.25661555259139e-05	1.23610480945704e-05	5.11166738210285e-06	1.62896660187111e-05	1.6869497173502e-05	5.11166738210285e-06	0.0144057830892939	1.0317092939067e-05	1.36004864159238e-05	1.8426566245246e-06	0.0143677193418596	0.0143677193418596	1.8426566245246e-06	5.11166738210285e-06	5.11166738210285e-06	5.11166738210285e-06	7.24938071246757e-06	1.8426566245246e-06	0.0143677193418596	1.8426566245246e-06
"Syzygium_petrinese"	0.00208701339690785	0.00158187194904812	0.000317169499960526	7.11356107676718e-07	0.000506951194343562	0.000823048085397941	1.00332735637375	0.000316295045973893	0.000505008922353621	0.000318115453509603	9.03551274729657e-07	0.000316565272387309	0.0251636976668558	0.0251477732036606	2.13406832303016e-05	2.54795552146927e-05	5.42130764837794e-05	5.39720545637629e-05	3.0725958039823e-05	1.69054772693218e-05	2.75810184079309e-05	1.49072385493418e-05	4.10691656081623e-05	0.025098091147893	1.49072385493418e-05	2.23100055376428e-05	2.21810285606733e-05	0.0250990026288341	1.58187194904812e-05	1.17578297913992e-05	1.17578297913992e-05	1.58187194904812e-05	1.49072385493418e-05	1.49072385493418e-05	1.49072385493418e-05	1.26737798585891e-05	1.58187194904812e-05	1.17578297913992e-05	1.58187194904812e-05
"Croton_grangeroides"	0.000988890183938099	0.000426203152580691	0.000421160734845936	2.01406212515245e-06	1.63004577575747e-06	0.000986420344796009	0.00042172672796519	1.0026529627999	8.50862392037252e-07	0.00265784781141073	0.00055974617990978	0.000981557195372831	0.0335576400674822	3.17816829883407e-05	6.04218637545735e-05	2.11021924753748e-05	0.0335847707945867	2.54049751455756e-05	1.13255328396505e-05	0.0334749223828915	7.10425245823751e-06	7.06350131384356e-06	4.30457464540877e-06	1.76066695129733e-05	7.06350131384357e-06	4.6810292390466e-05	5.74189877540217e-05	1.48051997249367e-05	4.26203152580692e-06	1.40917192113716e-05	1.40917192113716e-05	4.26203152580691e-06	7.06350131384357e-06	7.06350131384357e-06	7.06350131384357e-06	4.07511443939368e-08	4.26203152580691e-06	1.40917192113716e-05	4.26203152580691e-06
"Labourdonnaisia_callophylloides"	0.00101680130186166	0.00252793721864277	2.72129321030695e-06	2.44769994719438e-07	0.00101055966282083	0.00101129065759306	0.00101001784470724	1.27629358805588e-06	1.00351501099336	2.78782001210881e-06	3.6518771184638e-07	1.99705751095793e-06	7.24952720173838e-05	0.050247974863192	7.34309984158313e-06	7.3535762155459e-06	2.19112627107828e-05	5.78969399724942e-05	3.25422386282967e-05	9.82995198440388e-08	3.25268580123897e-05	7.262866441869e-06	0.0502010299218542	3.25133125595501e-05	7.262866441869e-06	1.45135779778851e-05	2.53351285866699e-05	5.05298183041087e-05	2.52793721864277e-05	1.44470093941865e-05	1.44470093941865e-05	2.52793721864277e-05	7.262866441869e-06	7.262866441869e-06	7.262866441869e-06	2.52639915705206e-05	2.52793721864277e-05	1.44470093941865e-05	2.52793721864277e-05
"Phyllanthus_phillyreifolius"	0.00126912449636692	0.00126467822254187	0.000253922456209317	0.000671386793689745	1.69507675991538e-06	0.000593210542017966	0.000254492362807683	0.00159470868684644	1.11512800484352e-06	1.00326999781747	0.000336490308250436	0.000590188210050043	0.0201832426373704	2.40000536780239e-05	0.0201416038106923	1.75292568476933e-05	0.0201894184950261	3.02184159921099e-05	2.17119571994682e-05	0.0201185569125775	9.10755189304732e-06	9.06517497404942e-06	1.27025386256609e-05	1.54274840442415e-05	9.06517497404943e-06	2.81473766495438e-05	0.0200780467385747	1.90090912956108e-05	1.26467822254187e-05	8.47443631454237e-06	8.47443631454237e-06	1.26467822254187e-05	9.06517497404943e-06	9.06517497404943e-06	9.06517497404943e-06	4.23769189978845e-08	1.26467822254187e-05	8.47443631454237e-06	1.26467822254187e-05
