"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"C1"	"C2"	"C3"	"C4"
"R1"	1.00201816786972	1.45296462902907e-06	0.00201962083435041	0.00201816786972138	0.00201816786972138	1.45296462902907e-06	1.45296462902907e-06	1.45296462902907e-06	1.45296462902907e-06	0.00201962083435041	0.033636131162023	0.033636131162023	0.000101707524032035	0.033636131162023
"R2"	4.35889388708721e-06	1.00143988794737	0.0014442468412549	4.35889388708721e-06	4.35889388708721e-06	0.00143988794736781	0.00143988794736781	0.00143988794736781	0.00143988794736781	0.0014442468412549	7.26482314514536e-05	7.26482314514536e-05	0.100792156315747	7.26482314514535e-05
"R3"	0.00151471562576281	0.000361061710313724	1.00187577733608	0.00151471562576281	0.00151471562576281	0.000361061710313724	0.000361061710313724	0.000361061710313724	0.000361061710313724	0.00187577733607653	0.0252452604293801	0.0252452604293801	0.0252743197219607	0.0252452604293801
"R4"	0.00201816786972138	1.45296462902907e-06	0.00201962083435041	1.00201816786972	0.00201816786972138	1.45296462902907e-06	1.45296462902907e-06	1.45296462902907e-06	1.45296462902907e-06	0.00201962083435041	0.033636131162023	0.033636131162023	0.000101707524032035	0.033636131162023
"R5"	0.00201816786972138	1.45296462902907e-06	0.00201962083435041	0.00201816786972138	1.00201816786972	1.45296462902907e-06	1.45296462902907e-06	1.45296462902907e-06	1.45296462902907e-06	0.00201962083435041	0.033636131162023	0.033636131162023	0.000101707524032035	0.033636131162023
"R6"	4.35889388708721e-06	0.00143988794736781	0.0014442468412549	4.35889388708721e-06	4.35889388708721e-06	1.00143988794737	0.00143988794736781	0.00143988794736781	0.00143988794736781	0.0014442468412549	7.26482314514536e-05	7.26482314514536e-05	0.100792156315747	7.26482314514535e-05
"R7"	4.35889388708721e-06	0.00143988794736781	0.0014442468412549	4.35889388708721e-06	4.35889388708721e-06	0.00143988794736781	1.00143988794737	0.00143988794736781	0.00143988794736781	0.0014442468412549	7.26482314514536e-05	7.26482314514536e-05	0.100792156315747	7.26482314514535e-05
"R8"	4.35889388708721e-06	0.00143988794736781	0.0014442468412549	4.35889388708721e-06	4.35889388708721e-06	0.00143988794736781	0.00143988794736781	1.00143988794737	0.00143988794736781	0.0014442468412549	7.26482314514536e-05	7.26482314514536e-05	0.100792156315747	7.26482314514535e-05
"R9"	4.35889388708721e-06	0.00143988794736781	0.0014442468412549	4.35889388708721e-06	4.35889388708721e-06	0.00143988794736781	0.00143988794736781	0.00143988794736781	1.00143988794737	0.0014442468412549	7.26482314514536e-05	7.26482314514536e-05	0.100792156315747	7.26482314514535e-05
"R10"	0.00151471562576281	0.000361061710313724	0.00187577733607653	0.00151471562576281	0.00151471562576281	0.000361061710313724	0.000361061710313724	0.000361061710313724	0.000361061710313724	1.00187577733608	0.0252452604293801	0.0252452604293801	0.0252743197219607	0.0252452604293801
"C1"	0.0201816786972138	1.45296462902907e-05	0.0201962083435041	0.0201816786972138	0.0201816786972138	1.45296462902907e-05	1.45296462902907e-05	1.45296462902907e-05	1.45296462902907e-05	0.0201962083435041	1.0030279782869	0.00302797828689658	0.00101707524032035	0.00302797828689658
"C2"	0.0201816786972138	1.45296462902907e-05	0.0201962083435041	0.0201816786972138	0.0201816786972138	1.45296462902907e-05	1.45296462902907e-05	1.45296462902907e-05	1.45296462902907e-05	0.0201962083435041	0.00302797828689658	1.0030279782869	0.00101707524032035	0.00302797828689658
"C3"	4.35889388708721e-05	0.0143988794736781	0.014442468412549	4.35889388708721e-05	4.35889388708721e-05	0.0143988794736781	0.0143988794736781	0.0143988794736781	0.0143988794736781	0.014442468412549	0.000726482314514535	0.000726482314514535	1.00792156315747	0.000726482314514535
"C4"	0.0201816786972138	1.45296462902907e-05	0.0201962083435041	0.0201816786972138	0.0201816786972138	1.45296462902907e-05	1.45296462902907e-05	1.45296462902907e-05	1.45296462902907e-05	0.0201962083435041	0.00302797828689658	0.00302797828689658	0.00101707524032035	1.0030279782869
