"Cyrtocymura_scorpioides"	"Vernonanthura_aff._lucida"	"Vernonanthura_aff._laxa"	"Vernonanthura_glanduloso-dentata"	"Vernonanthura_membranacea"	"Vernonanthura_mucronulata"	"Vernonanthura_phosphorica"	"Vernonanthura_subverticillata"	"Vernonanthura_westiniana"	"Vernonanthura_mariana"	"Lessingianthus_buddleiifolius"	"Proteopsis_sp._1"	"Lessingianthus_coriaceus"	"Lessingianthus_roseus"	"Lessingianthus_linearis"	"Lessingianthus_vepretorum"	"Lessingianthus_rosmarinifolius"	"Lessingianthus_linearifolius"	"Lessingianthus_carduoides"	"Lessingianthus_brevipetiolatus"	"Lessingianthus_pumillus"	"Lessingianthus_glabratus"	"Lessingianthus_simplex"	"Lessingianthus_aff._simplex"	"Eremanthus_sp._03"	"Chresta_sp._01"	"Lessingianthus_tomentellus"	"Chresta_sphaerocephala"	"Lessingianthus_sp._01"	"Eremanthus_erythropappus"	"Lessingianthus_psilophyllus"	"Lessingianthus_warmingianus"	"Lepidaploa_spixiana"	"Echinocoryne_schwenkiaefolia"	"Lessingianthus_rubricaulis"	"Lepidaploa_lilacina"	"Lepidaploa_aff._rufogrisea"	"Lessingianthus_virgulatus"	"Echinocoryne_holosericea"	"Stilpnopappus_bicolor"	"Lessingianthus_hovaefolius"	"Lepidaploa_rufogrisea"	"Chrysolaena_herbacea"	"Centratherum_punctatum"	"Vernonanthura_ferruginea"	"Lepidaploa_sp._01"	"Lepidaploa_salzmannii"	"Lepidaploa_aurea"	"Minasia_sp._06"	"Proteopsis_argenica"	"Minasia_sp._02"	"Minasia_sp._04"	"Eremanthus_polycephalus"	"Minasia_sp._01"	"Piptolepis_sp._02"	"Piptolepis_sp._01"	"Piptolepis_sp._03"	"Minasia_sp._05"	"Minasia_scapigera"	"Minasia_alpestris"	"Lychnophora_tomentosa"	"Lychnophora_cipoensis"	"Eremanthus_crotonoides"	"Lychnophora_markgravii"	"Lychnophora_pseudovillosissima"	"Anteremanthus_hatschbachii"	"Lychnophora_candelabrum"	"Lychnophora_villosissima"	"Eremanthus_bicolor"	"Lychnophora_passerina"	"Eremanthus_aff._glomerulatus"	"Eremanthus_elaegnus"	"Lychnophora_aff._pohlii"	"Lychnophora_salicifolia"	"Lychnophora_pohlii"	"Lychnophora_diamantiana"	"Lychnophora_pinaster"	"Eremanthus_glomerulatus"	"Lychnophora_rosmarinifolia"	"Lychnophora_granmogolense"	"Eremanthus_incanus"	"Tomoplagia_argentiniensis"	"Tomoplagia_pseudopenicillata"	"Tomoplagia_fiebrigi"	"Tomoplagia_reimoseri"	"Tomoplagia_minuta"	"Tomoplagia_grandis"	"Tomoplagia_achromoptera"	"Tomoplagia_brasiliensis"	"Dictyotripeta_atacta"	"Tomoplagia_cipoensis"	"Tomoplagia_tripuntacta"	"Tomoplagia_incompleta"	"Xanthaciura_biocellata"	"Dictyotrypeta_sp._1"	"Dictyotrypeta_sp._2"	"Tomoplagia_sp._1"	"Tomoplagia_dimorphica"	"Tomoplagia_variabilis"	"Tetreuaresta_sp._1"	"Tomoplagia_formosa"	"Tomoplagia_punctata"	"Tetreuaresta_sp._2"	"Dictyotrypeta_sp._3"	"Tomoplagia_bicolor"	"Tetreuaresta_sp._3"	"Trupanea_sp._1"	"Acrotaeniini_n._gen.1_sp._1"	"Tomoplagia_interrupta"	"Tomoplagia_aczeli"	"Xanthaciura_chrysura"	"Tomoplagia_voluta"	"Acrotaeniini_n._gen.2_sp._1"	"Tomoplagia_rupestris"	"Tomoplagia_sp._2"	"Tetreuaresta_sp._4"
"Cyrtocymura_scorpioides"	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0505050505050505	0.0505050505050505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Vernonanthura_aff._lucida"	0	1.00566146453006	0.000633157207406069	0.000633157207406069	0.000633157207406069	0.000633157207406069	0.000633157207406069	0.000634927266345188	1.77005893911939e-06	0.000635351968872312	1.7274411949929e-13	2.85308226555558e-13	9.01716456699009e-11	9.02694829320812e-11	2.11265089834093e-13	2.43605346764241e-10	1.52742602351982e-10	2.42343235884401e-10	2.42343235884401e-10	2.42343235884401e-10	8.96006335324191e-11	8.96006335324191e-11	8.96006335324191e-11	8.96006335324191e-11	8.96006335324191e-11	8.96006335324191e-11	1.5333586383216e-10	2.90547322846255e-10	5.9326148017837e-13	5.9326148017837e-13	4.25145181468661e-07	2.90505004285966e-10	2.90505004285966e-10	2.90505004285966e-10	2.89911742805788e-10	2.89911742805788e-10	2.89911742805788e-10	4.24902838232777e-07	2.00904370753547e-10	3.65009199555596e-13	4.2692676156486e-07	2.90398171904455e-10	2.90881347296777e-10	5.96242693646603e-13	2.00311109273368e-10	2.00311109273368e-10	2.00311109273368e-10	4.86429098667429e-13	8.63832321089788e-13	2.00716655096815e-10	6.81538642094252e-16	8.98712043733305e-11	2.7193049337831e-13	2.71252379553512e-13	2.70570840911418e-13	2.70570840911418e-13	2.70570840911418e-13	2.70570840911418e-13	2.70570840911418e-13	2.70570840911418e-13	2.70570840911418e-13	2.70570840911418e-13	2.70570840911418e-13	4.05545823446938e-13	4.25413598318732e-07	1.3497498253552e-13	3.55880377601612e-10	7.12225275111445e-10	4.07907107955327e-13	5.12446115521767e-16	4.266446927211e-13	9.02746745352878e-13	3.57547362348029e-10	3.57014062638873e-10	3.55972664773596e-10	8.03372704753553e-13	2.90247561209843e-13	4.11147160500458e-13	5.11276305150844e-13	1.20899599290615e-13	9.2473530391108e-13	0	0	0.0502830732265028	0.0506525765924855	5.31017681735817e-05	8.63720597496447e-15	2.2685565530753e-12	8.57111732778691e-12	8.59401994508965e-12	6.3379526950228e-12	1.06919821646387e-08	2.15041520477806e-08	2.12351263561752e-05	6.52587628196207e-11	7.30018399111193e-12	3.20497774837389e-08	1.06731690391215e-08	1.06731690391215e-08	9.72858197334858e-12	9.69604490989256e-12	2.98121346823302e-14	1.35965246689155e-14	1.3630772841885e-14	5.68198765913978e-11	6.748749126776e-12	1.02489223104353e-14	1.4224392270428e-08	1.42184555387378e-08	3.6976767857335e-14	1.422148975737e-14	1.78595914604296e-11	2.0317329284689e-11	3.57893413605591e-11	6.04497996453077e-12	2.3118382597777e-14
"Vernonanthura_aff._laxa"	0	0.00126631441481214	1.00125998284274	0.00125998284273808	0.00125998284273808	0.00125998284273808	0.00125998284273808	0.00126350526002692	3.52241728884759e-06	0.0012643504180559	3.43760797803586e-13	5.67763370845561e-13	1.79441574883103e-10	1.79636271034842e-10	4.20417528769846e-13	4.8477464006084e-10	3.03957778680444e-10	4.82263039409958e-10	4.82263039409958e-10	4.82263039409958e-10	1.78305260729514e-10	1.78305260729514e-10	1.78305260729514e-10	1.78305260729514e-10	1.78305260729514e-10	1.78305260729514e-10	3.05138369025999e-10	5.78189172464047e-10	1.18059034555496e-12	1.18059034555496e-12	8.46038911122635e-07	5.78104958529072e-10	5.78104958529072e-10	5.78104958529072e-10	5.76924368183518e-10	5.76924368183518e-10	5.76924368183518e-10	8.45556648083226e-07	3.99799697799558e-10	7.26368307115636e-13	8.49584255514071e-07	5.77892362089866e-10	5.78853881120586e-10	1.18652296035674e-12	3.98619107454003e-10	3.98619107454003e-10	3.98619107454003e-10	9.67993906348184e-13	1.71902631896868e-12	3.99426143642663e-10	1.35626189776756e-15	1.78843696702928e-10	5.41141681822836e-13	5.39792235311489e-13	5.38435973413722e-13	5.38435973413722e-13	5.38435973413722e-13	5.38435973413722e-13	5.38435973413722e-13	5.38435973413722e-13	5.38435973413722e-13	5.38435973413722e-13	5.38435973413722e-13	8.07036188659406e-13	8.46573060654278e-07	2.68600215245685e-13	7.08201951427208e-10	1.41732829747178e-09	8.117351448311e-13	1.01976776988832e-15	8.49022938514988e-13	1.79646602325223e-12	7.11519251072578e-10	7.10457984651357e-10	7.08385602899456e-10	1.59871168245957e-12	5.77592646807587e-13	8.18182849395912e-13	1.01743984725018e-12	2.40590202588325e-13	1.84022325478305e-12	0	0	6.33157207406069e-05	0.100798627419046	0.000105672518665428	1.71880398901793e-14	4.51442754061985e-12	1.7056523482296e-11	1.71020996907284e-11	1.26125258630954e-11	2.12770445076311e-08	4.27932625750834e-08	4.22579014487886e-05	1.29864938011045e-10	1.45273661423127e-11	6.37790571926405e-08	2.12396063878518e-08	2.12396063878518e-08	1.93598781269637e-11	1.92951293706862e-11	5.9326148017837e-14	2.70570840911418e-14	2.71252379553512e-14	1.13071554416882e-10	1.34300107622842e-11	2.03953553977663e-14	2.83065406181518e-08	2.82947265220882e-08	7.35837680360965e-14	2.83007646171663e-14	3.55405870062549e-11	4.04314852765311e-11	7.12207893075126e-11	1.20295101294162e-11	4.60055813695762e-14
"Vernonanthura_glanduloso-dentata"	0	0.00126631441481214	0.00125998284273808	1.00125998284274	0.00125998284273808	0.00125998284273808	0.00125998284273808	0.00126350526002692	3.52241728884759e-06	0.0012643504180559	3.43760797803586e-13	5.67763370845561e-13	1.79441574883103e-10	1.79636271034842e-10	4.20417528769846e-13	4.8477464006084e-10	3.03957778680444e-10	4.82263039409958e-10	4.82263039409958e-10	4.82263039409958e-10	1.78305260729514e-10	1.78305260729514e-10	1.78305260729514e-10	1.78305260729514e-10	1.78305260729514e-10	1.78305260729514e-10	3.05138369025999e-10	5.78189172464047e-10	1.18059034555496e-12	1.18059034555496e-12	8.46038911122635e-07	5.78104958529072e-10	5.78104958529072e-10	5.78104958529072e-10	5.76924368183518e-10	5.76924368183518e-10	5.76924368183518e-10	8.45556648083226e-07	3.99799697799558e-10	7.26368307115636e-13	8.49584255514071e-07	5.77892362089866e-10	5.78853881120586e-10	1.18652296035674e-12	3.98619107454003e-10	3.98619107454003e-10	3.98619107454003e-10	9.67993906348184e-13	1.71902631896868e-12	3.99426143642663e-10	1.35626189776756e-15	1.78843696702928e-10	5.41141681822836e-13	5.39792235311489e-13	5.38435973413722e-13	5.38435973413722e-13	5.38435973413722e-13	5.38435973413722e-13	5.38435973413722e-13	5.38435973413722e-13	5.38435973413722e-13	5.38435973413722e-13	5.38435973413722e-13	8.07036188659406e-13	8.46573060654278e-07	2.68600215245685e-13	7.08201951427208e-10	1.41732829747178e-09	8.117351448311e-13	1.01976776988832e-15	8.49022938514988e-13	1.79646602325223e-12	7.11519251072578e-10	7.10457984651357e-10	7.08385602899456e-10	1.59871168245957e-12	5.77592646807587e-13	8.18182849395912e-13	1.01743984725018e-12	2.40590202588325e-13	1.84022325478305e-12	0	0	6.33157207406069e-05	0.100798627419046	0.000105672518665428	1.71880398901793e-14	4.51442754061985e-12	1.7056523482296e-11	1.71020996907284e-11	1.26125258630954e-11	2.12770445076311e-08	4.27932625750834e-08	4.22579014487886e-05	1.29864938011045e-10	1.45273661423127e-11	6.37790571926405e-08	2.12396063878518e-08	2.12396063878518e-08	1.93598781269637e-11	1.92951293706862e-11	5.9326148017837e-14	2.70570840911418e-14	2.71252379553512e-14	1.13071554416882e-10	1.34300107622842e-11	2.03953553977663e-14	2.83065406181518e-08	2.82947265220882e-08	7.35837680360965e-14	2.83007646171663e-14	3.55405870062549e-11	4.04314852765311e-11	7.12207893075126e-11	1.20295101294162e-11	4.60055813695762e-14
"Vernonanthura_membranacea"	0	0.00126631441481214	0.00125998284273808	0.00125998284273808	1.00125998284274	0.00125998284273808	0.00125998284273808	0.00126350526002692	3.52241728884759e-06	0.0012643504180559	3.43760797803586e-13	5.67763370845561e-13	1.79441574883103e-10	1.79636271034842e-10	4.20417528769846e-13	4.8477464006084e-10	3.03957778680444e-10	4.82263039409958e-10	4.82263039409958e-10	4.82263039409958e-10	1.78305260729514e-10	1.78305260729514e-10	1.78305260729514e-10	1.78305260729514e-10	1.78305260729514e-10	1.78305260729514e-10	3.05138369025999e-10	5.78189172464047e-10	1.18059034555496e-12	1.18059034555496e-12	8.46038911122635e-07	5.78104958529072e-10	5.78104958529072e-10	5.78104958529072e-10	5.76924368183518e-10	5.76924368183518e-10	5.76924368183518e-10	8.45556648083226e-07	3.99799697799558e-10	7.26368307115636e-13	8.49584255514071e-07	5.77892362089866e-10	5.78853881120586e-10	1.18652296035674e-12	3.98619107454003e-10	3.98619107454003e-10	3.98619107454003e-10	9.67993906348184e-13	1.71902631896868e-12	3.99426143642663e-10	1.35626189776756e-15	1.78843696702928e-10	5.41141681822836e-13	5.39792235311489e-13	5.38435973413722e-13	5.38435973413722e-13	5.38435973413722e-13	5.38435973413722e-13	5.38435973413722e-13	5.38435973413722e-13	5.38435973413722e-13	5.38435973413722e-13	5.38435973413722e-13	8.07036188659406e-13	8.46573060654278e-07	2.68600215245685e-13	7.08201951427208e-10	1.41732829747178e-09	8.117351448311e-13	1.01976776988832e-15	8.49022938514988e-13	1.79646602325223e-12	7.11519251072578e-10	7.10457984651357e-10	7.08385602899456e-10	1.59871168245957e-12	5.77592646807587e-13	8.18182849395912e-13	1.01743984725018e-12	2.40590202588325e-13	1.84022325478305e-12	0	0	6.33157207406069e-05	0.100798627419046	0.000105672518665428	1.71880398901793e-14	4.51442754061985e-12	1.7056523482296e-11	1.71020996907284e-11	1.26125258630954e-11	2.12770445076311e-08	4.27932625750834e-08	4.22579014487886e-05	1.29864938011045e-10	1.45273661423127e-11	6.37790571926405e-08	2.12396063878518e-08	2.12396063878518e-08	1.93598781269637e-11	1.92951293706862e-11	5.9326148017837e-14	2.70570840911418e-14	2.71252379553512e-14	1.13071554416882e-10	1.34300107622842e-11	2.03953553977663e-14	2.83065406181518e-08	2.82947265220882e-08	7.35837680360965e-14	2.83007646171663e-14	3.55405870062549e-11	4.04314852765311e-11	7.12207893075126e-11	1.20295101294162e-11	4.60055813695762e-14
"Vernonanthura_mucronulata"	0	0.00126631441481214	0.00125998284273808	0.00125998284273808	0.00125998284273808	1.00125998284274	0.00125998284273808	0.00126350526002692	3.52241728884759e-06	0.0012643504180559	3.43760797803586e-13	5.67763370845561e-13	1.79441574883103e-10	1.79636271034842e-10	4.20417528769846e-13	4.8477464006084e-10	3.03957778680444e-10	4.82263039409958e-10	4.82263039409958e-10	4.82263039409958e-10	1.78305260729514e-10	1.78305260729514e-10	1.78305260729514e-10	1.78305260729514e-10	1.78305260729514e-10	1.78305260729514e-10	3.05138369025999e-10	5.78189172464047e-10	1.18059034555496e-12	1.18059034555496e-12	8.46038911122635e-07	5.78104958529072e-10	5.78104958529072e-10	5.78104958529072e-10	5.76924368183518e-10	5.76924368183518e-10	5.76924368183518e-10	8.45556648083226e-07	3.99799697799558e-10	7.26368307115636e-13	8.49584255514071e-07	5.77892362089866e-10	5.78853881120586e-10	1.18652296035674e-12	3.98619107454003e-10	3.98619107454003e-10	3.98619107454003e-10	9.67993906348184e-13	1.71902631896868e-12	3.99426143642663e-10	1.35626189776756e-15	1.78843696702928e-10	5.41141681822836e-13	5.39792235311489e-13	5.38435973413722e-13	5.38435973413722e-13	5.38435973413722e-13	5.38435973413722e-13	5.38435973413722e-13	5.38435973413722e-13	5.38435973413722e-13	5.38435973413722e-13	5.38435973413722e-13	8.07036188659406e-13	8.46573060654278e-07	2.68600215245685e-13	7.08201951427208e-10	1.41732829747178e-09	8.117351448311e-13	1.01976776988832e-15	8.49022938514988e-13	1.79646602325223e-12	7.11519251072578e-10	7.10457984651357e-10	7.08385602899456e-10	1.59871168245957e-12	5.77592646807587e-13	8.18182849395912e-13	1.01743984725018e-12	2.40590202588325e-13	1.84022325478305e-12	0	0	6.33157207406069e-05	0.100798627419046	0.000105672518665428	1.71880398901793e-14	4.51442754061985e-12	1.7056523482296e-11	1.71020996907284e-11	1.26125258630954e-11	2.12770445076311e-08	4.27932625750834e-08	4.22579014487886e-05	1.29864938011045e-10	1.45273661423127e-11	6.37790571926405e-08	2.12396063878518e-08	2.12396063878518e-08	1.93598781269637e-11	1.92951293706862e-11	5.9326148017837e-14	2.70570840911418e-14	2.71252379553512e-14	1.13071554416882e-10	1.34300107622842e-11	2.03953553977663e-14	2.83065406181518e-08	2.82947265220882e-08	7.35837680360965e-14	2.83007646171663e-14	3.55405870062549e-11	4.04314852765311e-11	7.12207893075126e-11	1.20295101294162e-11	4.60055813695762e-14
"Vernonanthura_phosphorica"	0	0.00126631441481214	0.00125998284273808	0.00125998284273808	0.00125998284273808	0.00125998284273808	1.00125998284274	0.00126350526002692	3.52241728884759e-06	0.0012643504180559	3.43760797803586e-13	5.67763370845561e-13	1.79441574883103e-10	1.79636271034842e-10	4.20417528769846e-13	4.8477464006084e-10	3.03957778680444e-10	4.82263039409958e-10	4.82263039409958e-10	4.82263039409958e-10	1.78305260729514e-10	1.78305260729514e-10	1.78305260729514e-10	1.78305260729514e-10	1.78305260729514e-10	1.78305260729514e-10	3.05138369025999e-10	5.78189172464047e-10	1.18059034555496e-12	1.18059034555496e-12	8.46038911122635e-07	5.78104958529072e-10	5.78104958529072e-10	5.78104958529072e-10	5.76924368183518e-10	5.76924368183518e-10	5.76924368183518e-10	8.45556648083226e-07	3.99799697799558e-10	7.26368307115636e-13	8.49584255514071e-07	5.77892362089866e-10	5.78853881120586e-10	1.18652296035674e-12	3.98619107454003e-10	3.98619107454003e-10	3.98619107454003e-10	9.67993906348184e-13	1.71902631896868e-12	3.99426143642663e-10	1.35626189776756e-15	1.78843696702928e-10	5.41141681822836e-13	5.39792235311489e-13	5.38435973413722e-13	5.38435973413722e-13	5.38435973413722e-13	5.38435973413722e-13	5.38435973413722e-13	5.38435973413722e-13	5.38435973413722e-13	5.38435973413722e-13	5.38435973413722e-13	8.07036188659406e-13	8.46573060654278e-07	2.68600215245685e-13	7.08201951427208e-10	1.41732829747178e-09	8.117351448311e-13	1.01976776988832e-15	8.49022938514988e-13	1.79646602325223e-12	7.11519251072578e-10	7.10457984651357e-10	7.08385602899456e-10	1.59871168245957e-12	5.77592646807587e-13	8.18182849395912e-13	1.01743984725018e-12	2.40590202588325e-13	1.84022325478305e-12	0	0	6.33157207406069e-05	0.100798627419046	0.000105672518665428	1.71880398901793e-14	4.51442754061985e-12	1.7056523482296e-11	1.71020996907284e-11	1.26125258630954e-11	2.12770445076311e-08	4.27932625750834e-08	4.22579014487886e-05	1.29864938011045e-10	1.45273661423127e-11	6.37790571926405e-08	2.12396063878518e-08	2.12396063878518e-08	1.93598781269637e-11	1.92951293706862e-11	5.9326148017837e-14	2.70570840911418e-14	2.71252379553512e-14	1.13071554416882e-10	1.34300107622842e-11	2.03953553977663e-14	2.83065406181518e-08	2.82947265220882e-08	7.35837680360965e-14	2.83007646171663e-14	3.55405870062549e-11	4.04314852765311e-11	7.12207893075126e-11	1.20295101294162e-11	4.60055813695762e-14
"Vernonanthura_subverticillata"	0	0.000634927266345188	0.000631752630013462	0.000631752630013462	0.000631752630013462	0.000631752630013462	0.000631752630013462	1.00231043449365	0.00167868186363722	0.00231197994211419	6.28597940932482e-13	1.03820705598409e-12	3.28125269693051e-10	3.28481289346463e-10	7.68771758167854e-13	8.86454600133437e-10	5.5581449376932e-10	8.81861909496003e-10	8.81861909496003e-10	8.81861909496003e-10	3.26047415726682e-10	3.26047415726682e-10	3.26047415726682e-10	3.26047415726682e-10	3.26047415726682e-10	3.26047415726682e-10	5.57973310786974e-10	1.05727158420204e-09	2.15881701765375e-12	2.15881701765375e-12	1.54705923676705e-06	1.05711759134869e-09	1.05711759134869e-09	1.05711759134869e-09	1.05495877433104e-09	1.05495877433104e-09	1.05495877433104e-09	1.54617737485755e-06	7.31070175622012e-10	1.32823063341965e-12	1.5535422220248e-06	1.05672883938864e-09	1.05848706454619e-09	2.16966534437563e-12	7.28911358604358e-10	7.28911358604358e-10	7.28911358604358e-10	1.77006505760242e-12	3.14339625523519e-12	7.30387097809325e-10	2.48004845738398e-15	3.27031994964264e-10	9.89526871941144e-13	9.87059286038822e-13	9.84579237581439e-13	9.84579237581439e-13	9.84579237581439e-13	9.84579237581439e-13	9.84579237581439e-13	9.84579237581439e-13	9.84579237581439e-13	9.84579237581439e-13	9.84579237581439e-13	1.47573920496646e-12	1.54803597785529e-06	4.91159967385023e-13	1.29501179679559e-09	2.59171393337627e-09	1.48433167447704e-12	1.86473828451889e-15	1.55251580274695e-12	3.28500181052271e-12	1.30107778145661e-09	1.29913715910693e-09	1.29534762024621e-09	2.92338997977595e-12	1.0561807826861e-12	1.49612188976359e-12	1.86048146586379e-12	4.39941107077486e-13	3.36501589536579e-12	0	0	3.17463633172594e-05	0.050540210401077	0.0503604559091167	3.14298970466241e-14	8.25504209512548e-12	3.11894073115451e-11	3.1272747561391e-11	2.30631527450356e-11	3.89070145638524e-08	7.82513797744037e-08	7.72724231749474e-05	2.37469871941913e-10	2.6564612668393e-11	1.16625817376697e-07	3.883855555062e-08	3.883855555062e-08	3.54013011520483e-11	3.52829021515398e-11	1.08483267218782e-13	4.94763435970572e-14	4.96009691476795e-14	2.06761639892102e-10	2.45579983692511e-11	3.72947656903778e-14	5.17610887023204e-08	5.17394855512136e-08	1.34554624521124e-13	5.17505267582317e-14	6.49892016611746e-11	7.39326547880273e-11	1.30233702610465e-10	2.19970553538743e-11	8.41253973841449e-14
"Vernonanthura_westiniana"	0	3.54011787823878e-06	3.52241728884759e-06	3.52241728884759e-06	3.52241728884759e-06	3.52241728884759e-06	3.52241728884759e-06	0.00335736372727445	1.00335384130999	0.00335960946617247	9.13435084061377e-13	1.50865074112263e-12	4.76808964502999e-10	4.77326307658084e-10	1.11712598756586e-12	1.28813456020603e-09	8.07671208858197e-10	1.28146077958205e-09	1.28146077958205e-09	1.28146077958205e-09	4.73789570723851e-10	4.73789570723851e-10	4.73789570723851e-10	4.73789570723851e-10	4.73789570723851e-10	4.73789570723851e-10	8.1080825254795e-10	1.53635399594004e-09	3.13704368975255e-12	3.13704368975255e-12	2.24807956241146e-06	1.53613022416832e-09	1.53613022416832e-09	1.53613022416832e-09	1.53299318047856e-09	1.53299318047856e-09	1.53299318047856e-09	2.24679810163188e-06	1.06234065344447e-09	1.93009295972366e-12	2.25750018853552e-06	1.53556531668742e-09	1.5381202479718e-09	3.15280772839452e-12	1.05920360975471e-09	1.05920360975471e-09	1.05920360975471e-09	2.57213620885665e-12	4.5677661915017e-12	1.06134805197599e-09	3.60383501700039e-15	4.752202932256e-10	1.43791206205945e-12	1.43432633676616e-12	1.43072250174916e-12	1.43072250174916e-12	1.43072250174916e-12	1.43072250174916e-12	1.43072250174916e-12	1.43072250174916e-12	1.43072250174916e-12	1.43072250174916e-12	1.43072250174916e-12	2.14444222127352e-12	2.24949889505629e-06	7.13719719524361e-13	1.88182164216398e-09	3.76609956928077e-09	2.15692820412297e-12	2.70970879914946e-15	2.25600866697891e-12	4.7735375977932e-12	1.89063631184064e-09	1.88781633356251e-09	1.88230963759295e-09	4.24806827709233e-12	1.53476891856462e-12	2.17406093013127e-12	2.7035230844774e-12	6.39292011566648e-13	4.88980853594854e-12	0	0	1.77005893911939e-07	0.000281793383107807	0.100615239299568	4.56717542030688e-14	1.19956566496311e-11	4.53222911407943e-11	4.54433954320535e-11	3.35137796269759e-11	5.65369846200738e-08	1.13709496973724e-07	0.000112286944901106	3.4507480587278e-10	3.86018591944733e-11	1.69472577560754e-07	5.64375047133881e-08	5.64375047133881e-08	5.1442724177133e-11	5.12706749323934e-11	1.57640386419726e-13	7.18956031029726e-14	7.20767003400078e-14	3.00451725367323e-10	3.5685985976218e-11	5.41941759829893e-14	7.5215636786489e-08	7.51842445803391e-08	1.95525481006152e-13	7.52002888992971e-14	9.44378163160943e-11	1.07433824299523e-10	1.89246615913418e-10	3.19646005783324e-11	1.22245213398713e-13
"Vernonanthura_mariana"	0	0.000423567979248208	0.000421450139351967	0.000421450139351967	0.000421450139351967	0.000421450139351967	0.000421450139351967	0.00154131996140946	0.00111986982205749	1.00221125044345	2.72488492193419e-10	4.50048364539681e-10	1.42237755116704e-07	1.42392084700421e-07	3.33251898524025e-10	3.84265778901471e-07	2.40937876954832e-07	3.82274911185536e-07	3.82274911185536e-07	3.82274911185536e-07	1.41337034230705e-07	1.41337034230705e-07	1.41337034230705e-07	1.41337034230705e-07	1.41337034230705e-07	1.41337034230705e-07	2.4187369420105e-07	4.58312573201869e-07	9.35817246218358e-10	9.35817246218358e-10	0.00067062872992426	4.58245819434978e-07	4.58245819434978e-07	4.58245819434978e-07	4.5731000218876e-07	4.5731000218876e-07	4.5731000218876e-07	0.000670246455013074	3.16908785204273e-07	5.75769564323956e-10	0.000673439014150097	4.5807730085015e-07	4.58839467079023e-07	9.40519845445586e-10	3.15972967958055e-07	3.15972967958055e-07	3.15972967958055e-07	7.67298661390536e-10	1.36261869500377e-09	3.16612680443011e-07	1.07506662162573e-12	1.4176383567949e-07	4.28946179683835e-10	4.27876515407042e-10	4.26801448785416e-10	4.26801448785416e-10	4.26801448785416e-10	4.26801448785416e-10	4.26801448785416e-10	4.26801448785416e-10	4.26801448785416e-10	4.26801448785416e-10	4.26801448785416e-10	6.39712484955815e-10	0.000671052133643977	2.12911036170399e-10	5.61369659210233e-07	1.12347205728157e-06	6.43437201358292e-10	8.08338192661171e-13	6.72994075623948e-10	1.42400273992964e-09	5.63999179458895e-07	5.63157946576083e-07	5.61515234020047e-07	1.26724902487083e-09	4.57839725868136e-10	6.48548096219486e-10	8.06492920792879e-10	1.9070837035135e-10	1.45868773635325e-09	0	0	2.11783989624104e-05	0.0337160111481573	0.0335960946617247	1.3624424609671e-11	3.57844629614458e-09	1.3520175643786e-08	1.35563024866226e-08	9.99755695572076e-09	1.68656513868382e-05	3.39208882153691e-05	0.0334965241022558	1.02939897084019e-07	1.15153912864791e-08	5.05556748732888e-05	1.68359753537524e-05	1.68359753537524e-05	1.53459732278107e-08	1.52946489026341e-08	4.70259922722793e-11	2.14473089841918e-11	2.15013324325147e-11	8.96283042449373e-08	1.06455518085199e-08	1.61667638532234e-11	2.24377143104579e-05	2.24283496439702e-05	5.83275641963183e-11	2.24331358541316e-11	2.8171917876851e-08	3.20487808107695e-08	5.64545044555015e-08	9.5354185175675e-09	3.64671934088312e-11
