"Stillingia_lineata"	"Gaertnera_sp1_M_PL_080"	"Aphloia_theiformis"	"Syzygium_coriaceum"	"Euodia_chapelieri"	"Warneckea_trinervis"	"Nacoleia_sp1_M_PL_080"	"Chaetocnema_sp1_M_PL_080"	"Chrysomya_megacephala"	"Apis_mellifera"	"Villa_unifasciata"	"Brachymyrmex_sp1_M_PL_080"	"Phorinia_sp1_M_PL_080"	"Stomorhina_lunata"	"Ahasverus_advena"	"Allograpta_nasuta"	"Syritta_nigrofemorata"	"Episyrphus_sp1_M_PL_080"	"Lecithoceridae_sp1_M_PL_080"	"Mauritiborium_undulatus"	"Melanostoma_bituberculatum"	"Mordellidae_sp1_M_PL_080"	"Musca_domestica"	"Pachycerina_crinicornis"	"Pelecophora_intemipta"	"Polistes_hebraeus"	"Sarcophaga_arno"	"Technomyrmex_albipes"
"Stillingia_lineata"	1.0083455494714	0.000907715990863292	0.000242683082206936	0.000423265611665295	0.000181062563927004	7.33380942388747e-07	2.20014282716624e-05	0.00724250255708016	0.00721381466039583	1.13464498857912e-05	0.00721911692785684	6.0670770551734e-06	0.00720246821051003	1.66487173468058e-05	0.00720246821051004	0.00721381466039583	0.00720246821051004	1.13464498857911e-05	1.13464498857911e-05	0.00720246821051003	6.06707705517341e-06	0.00720246821051004	0.00720246821051004	0.00720246821051004	0.00720246821051004	1.13464498857911e-05	0.00720246821051004	0.00720246821051004
"Gaertnera_sp1_M_PL_080"	0.00158850298401076	1.00703294388403	1.93310948779301e-06	0.00073977678370949	0.000316234402707492	0.000421618937061644	0.0126485681118493	0.0126493761082997	0.0125992582484362	0.0125879117985504	2.98891972157232e-05	4.83277371948252e-08	1.13464498857911e-05	1.85427473299321e-05	1.13464498857911e-05	0.0125992582484362	1.13464498857911e-05	0.0125879117985504	0.0125879117985504	1.13464498857911e-05	4.83277371948252e-08	1.13464498857912e-05	1.13464498857912e-05	1.13464498857912e-05	1.13464498857911e-05	0.0125879117985504	1.13464498857912e-05	1.13464498857912e-05
"Aphloia_theiformis"	0.000849390787724277	3.86621897558602e-06	1.0071384874183	0.00210603032860937	1.47283616560407e-06	1.76251123586719e-06	5.28753370760158e-05	5.89134466241629e-05	6.11540479236823e-06	4.83277371948252e-08	0.0252371800207279	0.0251784621854575	6.06707705517341e-06	0.0252311129436727	6.06707705517341e-06	6.11540479236824e-06	6.06707705517341e-06	4.83277371948252e-08	4.83277371948252e-08	6.06707705517341e-06	0.0251784621854575	6.06707705517341e-06	6.06707705517341e-06	6.06707705517341e-06	6.06707705517341e-06	4.83277371948252e-08	6.06707705517341e-06	6.06707705517341e-06
"Syzygium_coriaceum"	0.00148142964082853	0.00147955356741898	0.00210603032860937	1.00356474837056	0.000629528690956099	0.000839719502637349	0.0251915850791205	0.025181147638244	2.90760598843696e-05	1.84944195927373e-05	0.0251523511077709	5.26507582152342e-05	1.05816402916324e-05	0.0251417694674792	1.05816402916324e-05	2.90760598843696e-05	1.05816402916324e-05	1.84944195927372e-05	1.84944195927372e-05	1.05816402916324e-05	5.26507582152342e-05	1.05816402916324e-05	1.05816402916324e-05	1.05816402916324e-05	1.05816402916324e-05	1.84944195927372e-05	1.05816402916324e-05	1.05816402916324e-05
"Euodia_chapelieri"	0.00253487589497806	0.00252987522165994	5.89134466241629e-06	0.0025181147638244	1.00250908978862	3.1630872697779e-06	9.4892618093337e-05	0.100363591544621	4.97296966634497e-05	3.16234402707492e-05	8.12064091048708e-05	1.47283616560407e-07	1.81062563927004e-05	6.31001527121703e-05	1.81062563927004e-05	4.97296966634496e-05	1.81062563927004e-05	3.16234402707492e-05	3.16234402707492e-05	1.81062563927004e-05	1.47283616560407e-07	1.81062563927004e-05	1.81062563927004e-05	1.81062563927004e-05	1.81062563927004e-05	3.16234402707492e-05	1.81062563927004e-05	1.81062563927004e-05
"Warneckea_trinervis"	1.02673331934424e-05	0.00337295149649315	7.05004494346878e-06	0.00335887801054939	3.1630872697779e-06	1.00334870012856	0.100461003856826	0.000126523490791116	4.22352318004033e-05	4.21618937061644e-05	8.42215394815605e-05	1.76251123586719e-07	7.33380942388746e-08	8.41482013873216e-05	7.33380942388746e-08	4.22352318004033e-05	7.33380942388746e-08	4.21618937061644e-05	4.21618937061643e-05	7.33380942388746e-08	1.76251123586719e-07	7.33380942388746e-08	7.33380942388747e-08	7.33380942388746e-08	7.33380942388746e-08	4.21618937061644e-05	7.33380942388746e-08	7.33380942388746e-08
"Nacoleia_sp1_M_PL_080"	0.000102673331934424	0.0337295149649315	7.05004494346878e-05	0.0335887801054939	3.1630872697779e-05	0.0334870012856087	1.00461003856826	0.00126523490791116	0.000422352318004033	0.000421618937061644	0.000842215394815605	1.76251123586719e-06	7.33380942388746e-07	0.000841482013873215	7.33380942388746e-07	0.000422352318004033	7.33380942388746e-07	0.000421618937061644	0.000421618937061643	7.33380942388746e-07	1.76251123586719e-06	7.33380942388746e-07	7.33380942388747e-07	7.33380942388746e-07	7.33380942388746e-07	0.000421618937061644	7.33380942388746e-07	7.33380942388746e-07
"Chaetocnema_sp1_M_PL_080"	0.0253487589497806	0.0252987522165994	5.89134466241629e-05	0.025181147638244	0.0250908978861551	3.1630872697779e-05	0.00094892618093337	1.00363591544621	0.000497296966634496	0.000316234402707492	0.000812064091048708	1.47283616560407e-06	0.000181062563927004	0.000631001527121703	0.000181062563927004	0.000497296966634496	0.000181062563927004	0.000316234402707492	0.000316234402707492	0.000181062563927004	1.47283616560407e-06	0.000181062563927004	0.000181062563927004	0.000181062563927004	0.000181062563927004	0.000316234402707492	0.000181062563927004	0.000181062563927004
"Chrysomya_megacephala"	0.0504967026227708	0.0503970329937449	1.22308095847365e-05	5.81521197687393e-05	2.48648483317248e-05	2.11176159002016e-05	0.000633528477006049	0.000994593933268992	1.00099065364544	0.00062996291242181	0.000362450306253628	3.05770239618412e-07	0.000360690733019791	1.75957323383689e-06	0.000360690733019791	0.000990653645441602	0.000360690733019791	0.00062996291242181	0.00062996291242181	0.000360690733019791	3.05770239618412e-07	0.000360690733019791	0.000360690733019792	0.000360690733019791	0.000360690733019791	0.00062996291242181	0.000360690733019791	0.000360690733019791
"Apis_mellifera"	0.000158850298401076	0.100703294388403	1.93310948779301e-07	7.3977678370949e-05	3.16234402707492e-05	4.21618937061644e-05	0.00126485681118493	0.00126493761082997	0.00125992582484362	1.00125879117986	2.98891972157232e-06	4.83277371948252e-09	1.13464498857911e-06	1.85427473299321e-06	1.13464498857911e-06	0.00125992582484362	1.13464498857911e-06	0.00125879117985504	0.00125879117985504	1.13464498857911e-06	4.83277371948252e-09	1.13464498857912e-06	1.13464498857912e-06	1.13464498857912e-06	1.13464498857911e-06	0.00125879117985504	1.13464498857912e-06	1.13464498857912e-06
