"Nephrosperma_vanhoutteanum"	"Nepenthes_pervillei"	"Erythroxylum_sechellarum"	"Psychotria_pervillei"	"Canthium_bibracteatum"	"Dillenia_suffruticosa"	"Paragenipa_wrightii"	"Chrysobalanus_icaco"	"Memecylon_eleagni"	"Roscheria_melanochaetes"	"Apis_mellifera"	"Lasioglossum_mahense"	"Hemipyrellia_sp1_M_PL_127"	"Xylocopa_caffra"	"Lygistorrhina_sp1_M_PL_127"	"Megachile_seychellensis"	"Unidentified_sp1_M_PL_127"	"Cratopus_aurostriatus"	"Eristalinus_vicarians"	"Leptotes_pirithous"	"Unidentified_sp2_M_PL_127"
"Nephrosperma_vanhoutteanum"	1.00559364339737	0.000903795904681346	0.000901779172940613	0.000898773242364145	0.000898373129253258	0.000227012610890922	0.000225877547836468	0.000225877547836468	0.000225877547836468	0	0.0203289793052821	0.0201868708358303	1.80759180936269e-05	1.13506305445461e-05	0.0201748674425037	0.0201118728679474	3.00593057646871e-05	0	1.80759180936269e-05	1.80759180936269e-05	0.0201118728679474
"Nepenthes_pervillei"	0.000903795904681345	1.00694059093158	0.000227544699861344	0.000226786217528472	0.000898947385985995	0.000226686314021957	0.000225552882451847	0.000225552882451847	0.000225552882451847	0	0.0202997594206662	3.7000052298762e-05	0.0201388118186315	1.13343157010978e-05	0.0202018351060244	1.80759180936269e-05	7.58482332871145e-06	0	0.0201388118186315	0.0201388118186315	1.80759180936269e-05
"Erythroxylum_sechellarum"	0.00150296528823436	0.000379241166435572	1.0048445521872	0.00149507034657924	0.000376965719436959	0.000376967476316366	0.000375082638934784	0.000375082638934784	0.000375082638934784	0	0.0337574375041306	0.0335996312293338	7.58482332871145e-06	1.88483738158183e-05	5.64924150652465e-05	3.00593057646871e-05	0.0334948184062401	0	7.58482332871145e-06	7.58482332871145e-06	3.00593057646871e-05
"Psychotria_pervillei"	0.00224693310591036	0.000566965543821181	0.00224260551986886	1.00223513016814	0.000563563750558254	0.000563566377092967	0.000560748545207502	0.000560748545207502	0.000560748545207502	0	0.0504673690686752	0.050231448687854	1.13393108764236e-05	2.81783188546483e-05	8.44561605225435e-05	4.49386621182072e-05	7.47535173289622e-05	0	1.13393108764236e-05	1.13393108764236e-05	4.49386621182072e-05
"Canthium_bibracteatum"	0.00224593282313314	0.00224736846496499	0.000565448579155439	0.000563563750558254	1.00223388425418	0.000563315490344562	0.00056049891289284	0.00056049891289284	0.00056049891289284	0	0.0504449021603556	9.19451299624235e-05	4.49473692992998e-05	2.81657745172281e-05	0.0502015602384707	4.49186564626629e-05	1.8848285971848e-05	0	4.49473692992998e-05	4.49473692992998e-05	4.49186564626629e-05
"Dillenia_suffruticosa"	0.000567531527227305	0.000566715785054892	0.000565451214474549	0.000563566377092967	0.000563315490344562	1.00558956830786	0.000561620466319133	0.000561620466319133	0.000561620466319133	0	0.050545841968722	5.83773232150128e-05	1.13343157010978e-05	0.0502794784153929	5.08507207628721e-05	1.13506305445461e-05	1.88483738158183e-05	0	1.13343157010978e-05	1.13343157010978e-05	1.13506305445461e-05
"Paragenipa_wrightii"	0.00112938773918234	0.00112776441225923	0.00112524791680435	0.001121497090415	0.00112099782578568	0.00112324093263827	1.00111762472798	0.00111762472797508	0.00111762472797508	0	0.100586225517757	0.000116170873197875	2.25552882451847e-05	5.61620466319133e-05	0.000101192934318115	2.25877547836467e-05	3.75082638934784e-05	0	2.25552882451847e-05	2.25552882451847e-05	2.25877547836468e-05
"Chrysobalanus_icaco"	0.00112938773918234	0.00112776441225923	0.00112524791680435	0.001121497090415	0.00112099782578568	0.00112324093263827	0.00111762472797508	1.00111762472798	0.00111762472797508	0	0.100586225517757	0.000116170873197875	2.25552882451847e-05	5.61620466319133e-05	0.000101192934318115	2.25877547836467e-05	3.75082638934784e-05	0	2.25552882451847e-05	2.25552882451847e-05	2.25877547836468e-05
"Memecylon_eleagni"	0.00112938773918234	0.00112776441225923	0.00112524791680435	0.001121497090415	0.00112099782578568	0.00112324093263827	0.00111762472797508	0.00111762472797508	1.00111762472798	0	0.100586225517757	0.000116170873197875	2.25552882451847e-05	5.61620466319133e-05	0.000101192934318115	2.25877547836467e-05	3.75082638934784e-05	0	2.25552882451847e-05	2.25552882451847e-05	2.25877547836468e-05
"Roscheria_melanochaetes"	0	0	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0.101010101010101	0	0	0
