"Ambrosia_trifida"	"Helianthis_rigidus"	"Monarda_fistulosa"	"Ruellia_humilis"	"Solidago_altissima"	"Silphium_integrifolium"	"Silphium_laciniatum"	"Hippopsis_lemniscata"	"Mecas_sp."	"Apion_sp."	"Curculionidae_12"	"Mordellistena"	"Mordellidae_23"	"Tomoxia_sp."	"Thomasiniana"	"Tephritidae"	"Mordellidae_64"	"Family_unkn_77"
"Ambrosia_trifida"	1.00621233467907	0.0011831179794241	0.00168550893234337	0	4.51683399238147e-06	0.000506493242004035	0.00050903843417491	0.0201242466935814	5.64094727777314e-05	0.0201804303246595	6.78544141397961e-05	0.0202100082741452	0.0201918752660216	1.27259608543727e-05	0.0201242466935814	2.95779494856025e-05	0	1.27259608543727e-05
"Helianthis_rigidus"	0.00147889747428012	1.00461267211754	0.000844982632146024	0	0.000634039157004942	0.00126203840924192	0.0012683803107959	2.95779494856025e-05	5.98680455884479e-05	5.77440372238033e-05	0.0252418301890208	0.0251730608401623	0.0252397061806561	3.17095077698975e-05	2.95779494856025e-05	0.0251153168029385	0	3.17095077698976e-05
"Monarda_fistulosa"	0.00280918155390561	0.00112664350952803	1.00447415326211	0	0.00168114128537194	4.93285094687319e-06	4.95763914258612e-06	5.61836310781123e-05	0.0335665288396724	0.033538655406482	0.000112593735532706	0.0335668214942202	8.47203023422214e-05	1.23940978564653e-07	5.61836310781123e-05	2.81660877382008e-05	0	1.23940978564653e-07
"Ruellia_humilis"	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0
"Solidago_altissima"	1.12920849809537e-05	0.00126807831400988	0.00252171192805791	0	1.00377150696751	0.00126104195609758	0.00126737885034932	2.25841699619073e-07	0.0502726324126443	8.4282905968216e-05	0.0503150138752896	0.000115984863818463	0.000126664368613478	3.16844712587331e-05	2.25841699619073e-07	3.17019578502471e-05	0	3.16844712587331e-05
"Silphium_integrifolium"	0.00126623310501009	0.00252407681848385	7.39927642030978e-06	0	0.00126104195609758	1.00251481085227	0.00252744809273097	2.53246621002017e-05	6.32987403522225e-05	2.55713046475454e-05	0.0503150807631986	8.86732251096415e-05	0.0502773533274939	6.31862023182742e-05	2.53246621002017e-05	6.31019204620961e-05	0	6.31862023182742e-05
"Silphium_laciniatum"	0.000636298042718637	0.0012683803107959	3.71822935693959e-06	0	0.000633689425174662	0.00126372404636548	1.0062952000466	1.27259608543727e-05	3.18084122372977e-05	1.28499018329374e-05	0.0252839601825119	4.45594096028349e-05	0.0252650016721075	0.025157380001165	1.27259608543727e-05	3.17095077698975e-05	0	0.025157380001165
"Hippopsis_lemniscata"	0.100621233467907	0.00011831179794241	0.000168550893234337	0	4.51683399238147e-07	5.06493242004035e-05	5.0903843417491e-05	1.00201242466936	5.64094727777314e-06	0.00201804303246595	6.78544141397961e-06	0.00202100082741452	0.00201918752660216	1.27259608543727e-06	0.00201242466935814	2.95779494856025e-06	0	1.27259608543727e-06
"Mecas_sp."	0.000141023681944328	0.000119736091176896	0.0503497932595086	0	0.0502726324126443	6.32987403522225e-05	6.36168244745955e-05	2.82047363888657e-06	1.00419195806262	0.00168114691562251	0.00252138038054112	0.00168414031790193	1.0569233547785e-05	1.59042061186489e-06	2.82047363888657e-06	2.99340227942239e-06	0	1.59042061186489e-06
"Apion_sp."	0.0504510758116489	0.000115488074447607	0.0503079831097229	0	8.4282905968216e-05	2.55713046475454e-05	2.56998036658748e-05	0.00100902151623298	0.00168114691562251	1.00268595428656	9.02240748362511e-06	0.00268884148841827	0.00101382977841819	6.4249509164687e-07	0.00100902151623298	2.88720186119017e-06	0	6.4249509164687e-07
