"Dillenia_ferruginea"	"Erythroxylum_sechellarum"	"Campnosperma_seychellarum"	"Craterispermum_microdon"	"Soulamea_terminaloides"	"Excoecaria_benthiamiana"	"Memecylon_eleagni"	"Colea_seychellarum"	"Cinnamomum_verum"	"Lasioglossum_mahense"	"Apis_mellifera"	"Unidentified_sp1_M_PL_100"	"Lygistorrhina_sp1_M_PL_100"	"Scaptodrosophila_sp1_M_PL_100"	"Eristalinus_vicarians"	"Nectarinia_dussumieri"	"Parasarcophaga_hirticeps"	"Phelsuma_sp1_M_PL_100"	"Rhiparida_seychellensis"	"Cratopus_aurostriatus"	"Unidentified_sp2_M_PL_100"	"Unidentified_sp3_M_PL_100"
"Dillenia_ferruginea"	1.00650709470032	0.00148196907217605	0	0.000845628409205112	0	0	0.000633158959656088	0	0.000633158959656088	0.0253263583862435	0.0252420080147726	0	0	4.22814204602556e-05	0	0	0	0.0251626773675079	0	0.0251626773675079	3.70492268044014e-05	3.70492268044014e-05
"Erythroxylum_sechellarum"	0.00148196907217605	1.00650709470032	0	0.000845628409205112	0	0	0.000633158959656088	0	0.000633158959656088	0.0253263583862435	0.0252420080147726	0	0	4.22814204602556e-05	0	0	0	3.70492268044014e-05	0	3.70492268044014e-05	0.0251626773675079	0.0251626773675079
"Campnosperma_seychellarum"	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0.0505050505050505	0	0	0	0	0	0	0.0505050505050505	0	0	0
"Craterispermum_microdon"	0.00169125681841022	0.00169125681841022	0	1.0067142470752	0	0	2.12469449549023e-06	0	2.12469449549023e-06	8.49877798196092e-05	0.0504202751946805	0	0	0.0503357123537599	0	0	0	4.22814204602556e-05	0	4.22814204602556e-05	4.22814204602556e-05	4.22814204602556e-05
"Soulamea_terminaloides"	0	0	0	0	1.0084118779771	0.00168913212391473	0	0	0	0	0	0	0.0337826424782947	0	0.0336137292659032	0	0.0336137292659032	0	0	0	0	0
"Excoecaria_benthiamiana"	0	0	0	0	0.0050673963717442	1.00503361372927	0	0	0	0	0	0	0.100672274585318	0	0.000168913212391473	0	0.000168913212391473	0	0	0	0	0
"Memecylon_eleagni"	0.00253263583862435	0.00253263583862435	0	4.24938899098046e-06	0	0	1.00251574451739	0	0.00251574451738521	0.100629780695408	0.000126844261380767	0	0	2.12469449549023e-07	0	0	0	6.33158959656089e-05	0	6.33158959656089e-05	6.33158959656089e-05	6.33158959656089e-05
"Colea_seychellarum"	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0
"Cinnamomum_verum"	0.00253263583862435	0.00253263583862435	0	4.24938899098046e-06	0	0	0.00251574451738521	0	1.00251574451739	0.100629780695408	0.000126844261380767	0	0	2.12469449549023e-07	0	0	0	6.33158959656089e-05	0	6.33158959656089e-05	6.33158959656089e-05	6.33158959656089e-05
"Lasioglossum_mahense"	0.0253263583862435	0.0253263583862435	0	4.24938899098046e-05	0	0	0.0251574451738521	0	0.0251574451738521	1.00629780695408	0.00126844261380767	0	0	2.12469449549023e-06	0	0	0	0.000633158959656089	0	0.000633158959656089	0.000633158959656089	0.000633158959656089
"Apis_mellifera"	0.0336560106863634	0.0336560106863634	0	0.0336135167964536	0	0	4.22814204602556e-05	0	4.22814204602556e-05	0.00169125681841022	1.00336347637414	0	0	0.00168067583982268	0	0	0	0.000841400267159086	0	0.000841400267159086	0.000841400267159086	0.000841400267159086
"Unidentified_sp1_M_PL_100"	0	0	0.101010101010101	0	0	0	0	0	0	0	0	1.0050505050505	0	0	0	0	0	0	0.00505050505050505	0	0	0
"Lygistorrhina_sp1_M_PL_100"	0	0	0	0	0.050673963717442	0.050336137292659	0	0	0	0	0	0	1.00672274585318	0	0.00168913212391473	0	0.00168913212391473	0	0	0	0	0
"Scaptodrosophila_sp1_M_PL_100"	0.000169125681841022	0.000169125681841022	0	0.10067142470752	0	0	2.12469449549023e-07	0	2.12469449549023e-07	8.49877798196092e-06	0.00504202751946805	0	0	1.00503357123538	0	0	0	4.22814204602556e-06	0	4.22814204602556e-06	4.22814204602556e-06	4.22814204602556e-06
"Eristalinus_vicarians"	0	0	0	0	0.10084118779771	0.000168913212391473	0	0	0	0	0	0	0.00337826424782947	0	1.00336137292659	0	0.00336137292659032	0	0	0	0	0
"Nectarinia_dussumieri"	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0
"Parasarcophaga_hirticeps"	0	0	0	0	0.10084118779771	0.000168913212391473	0	0	0	0	0	0	0.00337826424782947	0	0.00336137292659032	0	1.00336137292659	0	0	0	0	0
"Phelsuma_sp1_M_PL_100"	0.100650709470032	0.000148196907217605	0	8.45628409205112e-05	0	0	6.33158959656088e-05	0	6.33158959656088e-05	0.00253263583862435	0.00252420080147726	0	0	4.22814204602556e-06	0	0	0	1.00251626773675	0	0.00251626773675079	3.70492268044014e-06	3.70492268044014e-06
"Rhiparida_seychellensis"	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0.00505050505050505	0	0	0	0	0	0	1.0050505050505	0	0	0
"Cratopus_aurostriatus"	0.100650709470032	0.000148196907217605	0	8.45628409205111e-05	0	0	6.33158959656088e-05	0	6.33158959656088e-05	0.00253263583862435	0.00252420080147726	0	0	4.22814204602556e-06	0	0	0	0.00251626773675079	0	1.00251626773675	3.70492268044014e-06	3.70492268044014e-06
"Unidentified_sp2_M_PL_100"	0.000148196907217606	0.100650709470032	0	8.45628409205112e-05	0	0	6.33158959656088e-05	0	6.33158959656088e-05	0.00253263583862435	0.00252420080147726	0	0	4.22814204602556e-06	0	0	0	3.70492268044014e-06	0	3.70492268044014e-06	1.00251626773675	0.00251626773675079
"Unidentified_sp3_M_PL_100"	0.000148196907217606	0.100650709470032	0	8.45628409205112e-05	0	0	6.33158959656088e-05	0	6.33158959656088e-05	0.00253263583862435	0.00252420080147726	0	0	4.22814204602556e-06	0	0	0	3.70492268044014e-06	0	3.70492268044014e-06	0.00251626773675079	1.00251626773675
